id,1920,1924,1928,1932,1936,1940,1944,1948,1956,1964,1968,1972,1976,1980,1984,1992
1051,2a00d3,2904d0,92006c,0b00df,0a00eb,0800f6,0e00f0,10ee00,4c139e,d52900,11c325,cb052d,7b057d,910963,b90242,8e224d
1053,1b00e2,1b09da,9d0060,1200ec,0900f4,0b00f2,1c01e0,19e500,4910a5,bd4100,10c823,d1022a,700688,89086c,ae034d,76205f
1055,5802a3,540d9c,960167,2c02d0,2c01d1,2601d7,3303c7,35c900,5c049e,966800,23af25,ba0341,4902b2,6d058c,7e037d,68197b
1057,8f026c,690392,980066,4302b9,3e01be,4101bb,5a00a3,5ba300,7e017e,b54900,21bf1b,d50029,5701a5,7c037f,a40059,6c1e73
1059,920368,000bf3,8f006f,5801a4,60019d,5b00a2,670097,708e00,80007e,8f6f00,46a510,bf033c,5702a4,690491,860375,671780
1061,6a0391,4706b1,81007d,1800e6,1900e5,1f01de,2801d4,22dc00,4906af,cd3100,08e90b,d70126,4d02ae,7d047c,b20a41,7d225d
1063,0005f9,0004fa,0f00ef,0003f4,0500f8,1400ea,0f00ee,0cf200,4b0aa8,a75700,0b638f,4b05ae,3c00c1,3a01c3,4208b3,2a0ac9
1065,0005f9,0601f6,4600b8,0d00f1,0004fa,0004fa,0600f8,0af400,430dae,c53900,0c8e61,970a5d,600598,580498,71038a,541493
1067,670097,2c09c9,7d0080,0500f8,0004fa,0800f6,0600f7,0bf300,280ec7,d32b00,00cb2e,ca0132,630199,7a0480,a1025b,741a6e
1069,3603c4,1d0bd5,750089,0900f4,0f01ee,1b00e2,1301ea,22dc00,621587,e01e00,0fd516,d40227,890371,a30556,c1013c,941d4b
1071,5e019f,4d08a8,950068,3a00c3,3500c8,3200cc,4100bd,41bd00,4700b6,768800,1bc617,a80650,4107b6,57099d,750385,4c218f
1073,3706c1,3c1fa2,83007a,1f00d9,1802e4,2601d7,3001cd,30ce00,7f0f70,b94500,318445,ad0749,850474,820d6f,970066,7f126b
