id,margin,ford,carter,other,hex_color
05113,17.99%, 40.76%, 58.75%, 0.49%,670195
05115,31.47%, 34.15%, 65.62%, 0.23%,5700a7
05117,55.44%, 22.28%, 77.72%,-,3800c6
05119,25.48%, 37.14%, 62.62%, 0.24%,5e009f
05121,48.68%, 25.66%, 74.34%,-,4100bd
05123,30.53%, 34.59%, 65.12%, 0.29%,5800a6
05125,48.86%, 25.55%, 74.41%, 0.04%,4100bd
05127,33.70%, 33.09%, 66.79%, 0.12%,5400aa
05129,8.18%, 45.91%, 54.09%,-,750089
05131,5.69%, 52.79%, 47.11%, 0.10%,860078
05133,39.43%, 30.10%, 69.53%, 0.37%,4c00b1
05135,24.30%, 37.85%, 62.15%,-,60009e
05137,45.48%, 27.06%, 72.54%, 0.40%,4501b8
05139,2.09%, 48.93%, 51.03%, 0.04%,7c0082
05141,42.29%, 28.86%, 71.14%,-,4900b5
05143,4.95%, 47.37%, 52.32%, 0.31%,780085
05145,41.17%, 29.42%, 70.58%,-,4b00b3
05147,56.31%, 21.78%, 78.09%, 0.13%,3700c7
05149,49.93%, 25.04%, 74.96%,-,3f00bf
06001,19.80%, 38.09%, 57.89%, 4.03%,610a93
06003,8.05%, 50.34%, 42.28%, 4.47%,800b6b
06005,4.22%, 46.13%, 50.35%, 3.52%,750880
06007,7.65%, 51.77%, 44.12%, 4.10%,840a70
06009,1.17%, 49.08%, 47.91%, 3.00%,7d077a
06011,7.58%, 52.74%, 45.16%, 2.10%,860573
06013,1.11%, 49.35%, 48.24%, 2.41%,7d067b
06015,5.62%, 45.29%, 50.91%, 3.80%,730981
06017,1.11%, 47.69%, 48.80%, 3.51%,79087c
06019,1.61%, 48.10%, 49.71%, 2.20%,7a057e
06021,7.63%, 52.67%, 45.04%, 2.29%,860572
06023,12.60%, 41.58%, 54.18%, 4.24%,6a0a8a
06025,1.76%, 49.94%, 48.18%, 1.88%,7f047a
06027,18.94%, 58.23%, 39.29%, 2.48%,940664
06029,6.72%, 52.29%, 45.57%, 2.14%,850574
06031,1.21%, 49.65%, 48.44%, 1.91%,7e047b
06033,7.42%, 44.46%, 51.88%, 3.65%,710984
06035,11.35%, 42.97%, 54.32%, 2.72%,6d068a
06037,1.91%, 47.78%, 49.69%, 2.53%,79067e
06039,5.24%, 45.96%, 51.20%, 2.84%,750782
06041,9.67%, 52.52%, 42.86%, 4.62%,850b6d
06043,1.88%, 46.61%, 48.48%, 4.91%,760c7b
