id,1948,1956,1968,1992
5133,2523b6,6e018e,50634a,512082
5135,330ebd,660493,535f4b,582085
5137,550b9d,750088,5e5d42,542384
5139,1f34aa,650c8d,487441,641a78
5141,4c0fa3,7d0180,5b544f,5a1e84
5143,671a7d,9b0162,7c3b47,6c1c75
5145,2d21b0,6f018e,516a43,641b7c
5147,1c558c,5e059b,2b7959,3110bc
5149,2a0fc4,670096,575e51,531f8a
6001,760e79,850078,5f1189,3427a0
6003,c30c2e,cb0033,971453,594b56
6005,630992,7d0180,6b1f73,5a4b57
6007,7d0c74,940168,901953,5e3c61
6009,77097e,93006a,851c5d,5a4859
6011,750584,870077,831367,753651
6013,670b8c,81007c,711576,4b3081
6015,8a0b69,870076,75186e,544663
6017,6d0c84,880175,7c1c65,654452
6019,5e0a95,6e008f,6f1478,672a6b
6021,820676,84007a,891c58,6e414d
6023,780b7b,860078,751374,4d347a
6025,860672,8e006f,861a5d,622a6f
6027,8e0a66,a80055,8a1b58,6f3c51
6029,6a058f,82007b,761b6c,723456
6031,5e0798,6b0092,6d1779,6a3063
6033,920d5f,a50058,7c1769,493f73
6035,5608a0,6c0091,681d78,5e4953
6037,761077,8d0070,790e77,4a2d85
6039,600994,6b0092,6f137b,6e335b
6041,910c61,a80056,7f0b6f,3b2c94
6043,8e0a65,990064,7f1965,5b445d
6045,800d70,91006d,761671,374480
6047,6c068c,750089,681481,5d3868
6049,760780,870076,851662,634552
6051,a50b4d,bc0042,a31643,5b4957
6053,810875,970066,7f126b,4f3577
6055,86096f,8e016f,6f1b73,4a3e73
6057,770f77,980065,831763,643f59
6059,9b075c,aa0252,a1104c,6f3c50
6061,5e0b95,750089,6c167a,6a3c55
6063,530d9d,6a0093,5f1886,5c415f
6065,8d0a66,9e015f,861462,5e3c62
6067,600994,73008b,6a1181,5a336f
6069,8d056b,970066,791273,523f6b
6071,7b0979,91006d,7f1865,5e3a62
6073,7e0779,a40059,8f125b,5b435e
6075,741079,83017a,550e98,2d16b8
6077,7d0977,8b0073,7a176c,603369
6079,880b6b,950168,82106a,584261
6081,900965,9b0063,6f1078,452e89
6083,940961,a40159,880d66,59376c
6085,870b6b,960067,740d7b,48367d
6087,930d5e,a2005c,811168,373094
6089,650890,6f008e,67187e,694350
6091,6e0a85,80007d,751277,5d4658
6093,6c0889,7e017e,751474,524465
6095,5507a1,6a0094,581d88,4b357c
6097,8c0c66,9d0060,7c136d,3d3886
6099,7b0979,7b0082,730f7a,5e3768
6101,850672,a0015c,971551,7f304d
6103,820a72,890074,781c69,5a475b
6105,720f7c,80017c,6d216e,4f5853
6107,770780,850078,851464,742f59
6109,7a0c77,840079,79186d,594261
6111,6b078b,7f007e,821268,5a445e
6113,6f0985,7a0083,610f8b,472d87
6115,77087e,8e006f,7a1d66,6e3657
8001,680393,850277,6f1a73,4c4170
8003,71018b,9e005f,8c1160,563c6a
8005,750286,a0015c,981153,643d5c
