state_index,county_name,d_percent,d_total,r_percent,r_total,o_percent,o_total
5,Johnson,37.1,3034,60.2,4922,2.7,224
5,Lafayette,39.0,1133,58.1,1685,2.9,84
5,Lawrence,36.7,2138,57.6,3357,5.7,335
5,Lee,60.1,2263,38.6,1454,1.2,46
5,Lincoln,38.8,1710,57.0,2513,4.2,183
5,Little River,34.0,1753,63.0,3247,3.0,152
5,Logan,28.9,2286,67.7,5350,3.4,271
5,Lonoke,25.1,5968,72.6,17242,2.2,531
5,Madison,33.9,2144,62.8,3972,3.4,212
5,Marion,33.3,2384,63.2,4524,3.5,254
5,Miller,32.3,4869,65.8,9913,1.9,281
5,Mississippi,47.6,6667,49.8,6976,2.6,367
5,Monroe,46.8,1615,50.9,1754,2.3,80
5,Montgomery,30.1,1092,65.3,2365,4.6,165
5,Nevada,40.6,1474,56.7,2062,2.7,99
5,Newton,29.8,1182,65.4,2588,4.8,190
5,Ouachita,43.6,4346,54.5,5427,1.9,187
5,Perry,31.6,1352,64.1,2743,4.3,184
5,Phillips,63.5,5695,34.5,3097,2.0,177
5,Pike,27.5,1089,68.8,2727,3.8,150
5,Poinsett,34.6,2742,61.8,4903,3.6,283
5,Polk,25.5,1957,71.3,5473,3.3,251
5,Pope,27.2,6002,70.5,15568,2.3,509
5,Prairie,31.0,1048,65.7,2223,3.3,110
5,Pulaski,55.1,88854,43.5,70212,1.4,2277
5,Randolph,39.1,2469,57.2,3615,3.7,235
5,St. Francis,57.7,5486,41.2,3917,1.1,102
5,Saline,28.4,12695,69.4,30981,2.2,977
5,Scott,26.4,1053,69.9,2791,3.8,151
5,Searcy,25.0,961,70.9,2726,4.2,160
5,Sebastian,31.6,13673,66.3,28637,2.1,902
5,Sevier,28.2,1291,68.2,3125,3.6,164
5,Sharp,33.6,2436,62.5,4535,3.9,281
5,Stone,30.0,1598,66.4,3534,3.6,192
5,Union,36.0,6190,62.2,10677,1.8,312
5,Van Buren,32.1,2151,63.8,4276,4.1,276
5,Washington,42.4,29021,55.5,37963,2.0,1396
5,White,25.0,6732,72.2,19467,2.8,756
5,Woodruff,51.1,1412,43.7,1206,5.2,143
5,Yell,33.2,2003,63.1,3808,3.7,225
6,Alameda,78.5,489106,19.2,119555,2.3,14252
6,Alpine,60.8,422,36.3,252,2.9,20
6,Amador,41.4,7813,55.9,10561,2.7,505
6,Butte,49.7,49013,47.3,46706,3.0,2988
6,Calaveras,41.9,9813,54.8,12835,3.3,773
6,Colusa,39.8,2569,57.9,3733,2.3,146
6,Contra Costa,67.7,306983,30.1,136436,2.2,9825
6,Del Norte,45.4,4323,52.1,4967,2.5,241
6,El Dorado,43.4,40529,53.9,50314,2.6,2466
6,Fresno,50.0,136706,47.9,131015,2.1,5731
6,Glenn,37.8,3734,59.8,5910,2.4,235
6,Humboldt,62.0,39692,33.9,21713,4.0,2563
6,Imperial,62.2,24162,36.1,14008,1.7,650
6,Inyo,43.8,3743,52.9,4523,3.4,288
6,Kern,40.0,93457,57.7,134793,2.4,5558
6,Kings,42.0,14747,56.1,19710,1.9,651
6,Lake,58.0,14854,38.8,9935,3.3,840
6,Lassen,31.4,3586,65.5,7483,3.2,364
6,Los Angeles,69.2,2295853,28.8,956425,2.0,65970
6,Madera,42.3,17952,55.5,23583,2.2,939
6,Marin,77.8,109320,20.2,28384,2.0,2866
6,Mariposa,42.4,4100,54.7,5298,2.9,279
6,Mendocino,69.3,27843,26.7,10721,4.0,1620
6,Merced,53.1,34031,44.8,28704,2.1,1316
6,Modoc,29.7,1313,67.4,2981,2.9,126
6,Mono,55.5,3093,42.3,2354,2.2,124
6,Monterey,68.2,88453,29.9,38797,2.0,2533
6,Napa,65.1,38849,32.7,19484,2.2,1309
6,Nevada,51.4,28617,46.1,25663,2.5,1367
6,Orange,47.6,549558,50.2,579064,2.2,25065
6,Placer,43.2,75112,54.5,94647,2.3,4053
6,Plumas,42.8,4715,54.7,6035,2.5,278
6,Riverside,50.2,325017,47.9,310041,1.9,12241
6,Sacramento,58.3,316506,39.3,213583,2.4,12770
6,San Benito,60.2,11917,37.5,7425,2.3,446
6,San Bernardino,52.1,315720,45.8,277408,2.2,13206
6,San Diego,54.0,666581,43.8,541032,2.3,27890
6,San Francisco,84.0,322220,13.6,52292,2.4,9284
6,San Joaquin,54.2,113974,43.6,91607,2.2,4727
6,San Luis Obispo,51.2,68176,45.9,61055,2.9,3924
6,San Mateo,73.5,222826,24.7,75057,1.8,5409
6,Santa Barbara,60.2,105614,37.4,65585,2.4,4208
6,Santa Clara,69.4,462241,28.6,190039,2.0,13309
6,Santa Cruz,77.3,98745,19.8,25244,2.9,3747
6,Shasta,35.9,28867,61.7,49588,2.4,1935
6,Sierra,37.3,743,58.2,1158,4.5,90
6,Siskiyou,43.1,9292,53.4,11520,3.5,752
6,Solano,63.2,102095,34.7,56035,2.1,3458
6,Sonoma,73.6,168888,24.0,55127,2.3,5336
6,Stanislaus,49.7,80279,48.0,77497,2.3,3736
6,Sutter,40.6,13412,57.3,18911,2.1,698
6,Tehama,36.4,8945,60.4,14843,3.1,772
6,Trinity,50.3,3233,45.7,2940,4.0,257
6,Tulare,41.3,43634,56.6,59765,2.0,2126
6,Tuolumne,42.2,11532,54.9,14988,2.9,783
6,Ventura,55.0,187601,42.8,145853,2.2,7587
6,Yolo,67.1,53488,30.8,24592,2.1,1669
6,Yuba,41.4,8866,56.1,12007,2.5,528
8,Adams,58.2,93445,39.9,63976,1.9,3080
8,Alamosa,56.0,3521,41.9,2635,2.1,130
8,Arapahoe,55.7,148224,42.8,113868,1.5,4064
8,Archuleta,42.8,2836,54.9,3638,2.3,151
8,Baca,24.6,536,72.3,1572,3.1,67
8,Bent,41.6,799,56.1,1077,2.3,44
8,Boulder,72.3,124159,26.1,44904,1.6,2700
8,Broomfield,54.9,16168,43.3,12757,1.8,528
8,Chaffee,49.0,4862,49.1,4873,1.9,186
8,Cheyenne,17.8,198,80.1,890,2.1,23
8,Clear Creek,57.8,3332,39.9,2300,2.3,135
8,Conejos,55.6,2154,42.7,1653,1.7,67
8,Costilla,73.4,1245,24.5,415,2.2,37
8,Crowley,35.4,552,62.6,976,1.9,30
8,Custer,34.7,912,63.6,1672,1.7,45
8,Delta,32.9,5084,65.2,10067,1.8,283
8,Denver,75.5,204882,23.0,62567,1.5,4084
8,Dolores,30.3,369,67.2,818,2.5,30
8,Douglas,40.8,61960,58.0,88108,1.2,1751
8,Eagle,60.9,13191,37.8,8181,1.3,286
8,Elbert,28.9,3819,69.0,9108,2.1,279
8,El Paso,39.9,108899,58.7,160318,1.4,3958
8,Fremont,34.4,6844,63.6,12668,2.0,407
8,Garfield,49.2,11357,49.2,11359,1.6,366
8,Gilpin,59.1,1990,38.1,1283,2.8,96
8,Grand,48.6,4037,49.7,4128,1.7,144
8,Gunnison,62.6,5557,35.3,3131,2.1,183
8,Hinsdale,40.1,240,57.4,344,2.5,15
8,Huerfano,54.6,1989,43.4,1580,2.0,74
8,Jackson,30.3,277,68.3,624,1.4,13
8,Jefferson,53.6,158158,44.6,131628,1.8,5282
8,Kiowa,20.9,178,76.3,650,2.8,24
8,Kit Carson,26.5,912,71.3,2455,2.2,75
8,Lake,61.9,1859,35.9,1078,2.2,65
8,La Plata,57.4,16057,41.1,11503,1.5,419
8,Larimer,54.0,89823,44.3,73642,1.7,2910
8,Las Animas,52.7,3562,45.6,3086,1.7,113
8,Lincoln,23.7,546,74.5,1717,1.8,41
8,Logan,31.7,2846,66.9,6002,1.4,129
8,Mesa,34.5,24008,64.0,44578,1.5,1045
8,Mineral,43.3,270,53.6,334,3.0,19
8,Moffat,26.9,1582,70.4,4135,2.6,154
8,Montezuma,39.4,4661,58.9,6961,1.7,203
8,Montrose,33.9,6495,63.7,12199,2.4,459
8,Morgan,37.3,3813,61.3,6272,1.5,149
8,Otero,44.0,3547,54.5,4393,1.5,125
8,Ouray,53.5,1636,44.7,1367,1.9,57
8,Park,45.3,4250,52.2,4896,2.5,237
8,Phillips,27.5,622,71.3,1613,1.1,26
8,Pitkin,73.7,7349,24.9,2484,1.3,133
8,Prowers,32.2,1487,65.9,3043,1.8,85
8,Pueblo,56.7,41097,41.8,30257,1.5,1073
8,Rio Blanco,20.8,655,77.4,2437,1.7,55
8,Rio Grande,45.0,2448,53.8,2930,1.2,66
8,Routt,62.7,8270,35.8,4725,1.5,204
8,Saguache,62.9,1730,34.8,956,2.3,64
8,San Juan,53.2,264,44.0,218,2.8,14
8,San Miguel,77.0,3349,21.4,933,1.6,68
8,Sedgwick,34.6,468,63.4,857,1.9,26
8,Summit,65.8,9802,32.8,4883,1.4,214
8,Teller,35.0,4513,63.1,8146,1.9,247
8,Washington,21.1,529,77.6,1949,1.4,35
8,Weld,44.7,47292,53.4,56526,1.9,2048
8,Yuma,24.9,1117,73.3,3286,1.8,80
9,Fairfield,58.7,242936,40.5,167736,0.7,3069
9,Hartford,65.1,268721,33.7,138984,1.2,5023
9,Litchfield,51.6,51041,46.7,46173,1.8,1752
9,Middlesex,60.7,52984,37.7,32918,1.5,1351
9,New Haven,61.0,233589,37.8,144650,1.2,4647
9,New London,59.9,74776,38.8,48491,1.3,1607
9,Tolland,59.7,45053,38.8,29266,1.6,1182
9,Windham,56.4,28673,41.7,21210,1.9,961
10,Kent,54.4,36392,44.6,29827,1.1,706
10,New Castle,69.7,178768,29.1,74608,1.3,3245
10,Sussex,45.2,40299,53.8,47939,0.9,832
11,District of Columbia,92.5,245800,6.5,17367,1.0,2686
12,Alachua,60.0,75565,38.5,48513,1.5,1889
12,Baker,21.0,2327,78.2,8672,0.8,88
12,Bay,29.1,23653,69.7,56683,1.3,1030
12,Bradford,29.3,3430,69.5,8136,1.2,137
12,Brevard,44.2,127620,54.5,157589,1.3,3718
12,Broward,67.0,492640,32.3,237729,0.6,4722
12,Calhoun,29.1,1821,69.4,4345,1.6,98
12,Charlotte,45.7,39031,52.9,45205,1.5,1263
12,Citrus,41.1,31460,57.1,43706,1.8,1343
12,Clay,28.2,26697,70.9,67203,0.9,823
12,Collier,38.3,54450,60.8,86379,0.8,1159
12,Columbia,32.5,9171,66.2,18670,1.3,374
12,DeSoto,43.1,4383,55.4,5632,1.5,149
12,Dixie,26.4,1925,71.2,5194,2.4,174
12,Duval,48.6,202618,50.5,210537,0.8,3538
12,Escambia,39.8,61572,59.0,91411,1.2,1891
12,Flagler,50.2,24726,48.7,23951,1.1,540
12,Franklin,35.3,2134,63.1,3818,1.6,97
12,Gadsden,69.1,15582,30.2,6811,0.6,145
12,Gilchrist,25.5,1996,72.3,5656,2.1,167
12,Glades,39.3,1674,59.4,2533,1.3,54
12,Gulf,29.8,2149,69.0,4980,1.2,89
12,Hamilton,42.2,2364,56.8,3179,0.9,53
12,Hardee,34.5,2568,64.0,4763,1.5,111
12,Hendry,45.8,4998,52.9,5780,1.3,139
12,Hernando,47.5,41886,51.0,45021,1.5,1350
12,Highlands,40.4,18135,58.4,26221,1.3,566
12,Hillsborough,53.1,272963,45.9,236355,1.0,5183
12,Holmes,16.8,1446,81.6,7033,1.6,137
12,Indian River,42.0,29710,56.7,40176,1.3,916
12,Jackson,35.5,7671,63.5,13717,1.0,225
12,Jefferson,51.2,4088,47.6,3797,1.2,93
12,Lafayette,19.0,642,79.3,2679,1.7,56
12,Lake,42.7,62948,56.2,82802,1.1,1621
12,Lee,44.3,119701,54.7,147608,1.0,2668
12,Leon,61.6,91747,37.4,55705,1.0,1483
12,Levy,35.7,6711,62.6,11754,1.7,324
12,Liberty,27.2,895,71.2,2339,1.6,52
12,Madison,47.9,4270,51.0,4544,1.0,93
12,Manatee,45.9,70034,52.9,80721,1.1,1712
12,Marion,43.6,70839,55.1,89628,1.3,2075
12,Martin,42.7,33508,56.2,44143,1.1,871
12,Miami-Dade,57.8,499831,41.7,360551,0.5,4254
12,Monroe,51.7,20907,46.9,18933,1.4,563
12,Nassau,27.7,10618,71.4,27403,1.0,371
12,Okaloosa,27.0,25872,71.8,68789,1.2,1120
12,Okeechobee,39.8,5108,58.9,7561,1.3,170
12,Orange,59.0,273009,40.3,186832,0.7,3198
12,Osceola,59.4,59962,39.7,40086,0.9,877
12,Palm Beach,61.1,361271,38.2,226037,0.7,4128
12,Pasco,47.5,102417,51.1,110104,1.4,3068
12,Pinellas,53.4,248299,45.2,210066,1.5,6787
12,Polk,46.3,113865,52.5,128878,1.2,2961
12,Putnam,39.8,13236,59.0,19637,1.2,406
12,St. Johns,33.7,35791,65.3,69222,1.0,1068
12,St. Lucie,55.5,67125,43.4,52512,1.1,1337
12,Santa Rosa,25.5,19470,73.3,55972,1.2,935
12,Sarasota,49.4,102686,49.5,102897,1.2,2422
12,Seminole,48.1,99335,50.9,105070,1.0,2021
12,Sumter,36.0,17655,63.0,30866,0.9,462
12,Suwannee,27.8,4916,70.8,12534,1.5,261
12,Taylor,29.9,2803,68.8,6457,1.4,127
12,Union,24.5,1300,74.2,3940,1.3,70
12,Volusia,52.2,127795,46.5,113938,1.3,3122
12,Wakulla,36.9,5311,61.7,8877,1.3,188
12,Walton,26.4,7174,72.1,19561,1.5,404
12,Washington,25.6,2863,73.2,8178,1.1,126
13,Appling,26.4,1846,72.6,5085,1.0,71
13,Atkinson,32.3,938,66.8,1941,1.0,28
13,Bacon,20.7,817,78.4,3089,0.9,36
13,Baker,50.1,846,49.0,828,0.9,15
13,Baldwin,51.8,8587,47.2,7823,0.9,154
13,Banks,16.4,1027,81.9,5120,1.6,102
13,Barrow,27.0,6657,71.6,17625,1.4,351
13,Bartow,26.7,9662,71.8,25976,1.5,537
13,Ben Hill,42.8,2590,56.5,3417,0.7,45
13,Berrien,22.8,1471,75.9,4901,1.3,81
13,Bibb,58.7,38987,40.7,27037,0.6,424
13,Bleckley,27.1,1380,71.9,3657,0.9,47
13,Brantley,17.8,1119,80.8,5080,1.4,89
13,Brooks,43.0,2669,56.5,3507,0.5,29
13,Bryan,28.3,3636,70.8,9112,0.9,119
