id,margin,bush,gore,trash1,trash2,other,hex_color
06007,17.02%, 54.45%, 37.43%,-, 6.84%,8.120000000000005%,8a145f
06009,18.57%, 56.15%, 37.58%,-, 4.57%,6.27000000000001%,8f0f5f
06011,33.70%, 64.92%, 31.22%,-, 2.70%,3.8599999999999994%,a5094f
06013,21.75%, 37.06%, 58.81%,-, 3.43%,4.1299999999999955%,5e0a95
06015,16.99%, 54.57%, 37.58%,-, 5.85%,7.849999999999994%,8b145f
06017,21.94%, 58.29%, 36.35%,-, 4.18%,5.359999999999999%,940d5c
06019,10.09%, 53.14%, 43.05%,-, 2.96%,3.8100000000000023%,87096d
06021,37.85%, 66.53%, 28.68%,-, 3.08%,4.789999999999992%,a90c49
06023,2.92%, 41.48%, 44.40%,-, 12.68%,14.120000000000005%,692471
06025,10.25%, 43.28%, 53.53%,-, 2.10%,3.1899999999999977%,6e0888
06027,26.37%, 60.31%, 33.93%,-, 4.40%,5.759999999999991%,990e56
06029,24.50%, 60.70%, 36.20%,-,-,3.0999999999999943%,9a075c
06031,18.83%, 57.80%, 38.97%,-, 2.00%,3.230000000000004%,930863
06033,9.65%, 41.58%, 51.23%,-, 6.05%,7.189999999999998%,6a1282
06035,38.71%, 66.88%, 28.17%,-, 3.20%,4.950000000000003%,aa0c47
06037,31.11%, 32.35%, 63.47%,-, 3.11%,4.180000000000007%,520aa1
06039,25.85%, 60.74%, 34.89%,-, 3.23%,4.3700000000000045%,9a0b58
06041,35.94%, 28.32%, 64.26%,-, 6.73%,7.4199999999999875%,4812a3
06043,23.67%, 58.55%, 34.88%,-, 4.69%,6.569999999999993%,951058
06045,12.68%, 35.66%, 48.34%,-, 14.68%,16.0%,5a287b
06047,6.70%, 51.77%, 45.08%,-, 2.31%,3.1500000000000057%,840872
06049,49.28%, 72.29%, 23.01%,-, 2.97%,4.699999999999989%,b80b3a
06051,11.62%, 52.53%, 40.91%,-, 5.26%,6.560000000000002%,851068
06053,20.30%, 37.23%, 57.53%,-, 4.30%,5.240000000000009%,5e0d92
06055,14.43%, 39.89%, 54.32%,-, 4.78%,5.789999999999992%,650e8a
06057,17.54%, 54.76%, 37.22%,-, 6.92%,8.02000000000001%,8b145e
06059,15.40%, 55.75%, 40.36%,-, 2.76%,3.8900000000000006%,8e0966
06061,23.25%, 59.28%, 36.04%,-, 3.78%,4.680000000000007%,970b5b
06063,27.74%, 60.98%, 33.25%,-, 4.38%,5.77000000000001%,9b0e54
06065,6.51%, 51.42%, 44.90%,-, 2.59%,3.680000000000007%,830972
06067,3.98%, 45.33%, 49.31%,-, 4.09%,5.359999999999999%,730d7d
06069,12.57%, 41.68%, 54.25%,-, 3.18%,4.069999999999993%,6a0a8a
06071,1.54%, 48.75%, 47.21%,-, 2.59%,4.039999999999992%,7c0a78
06073,3.97%, 49.63%, 45.66%,-, 3.54%,4.710000000000008%,7e0c74
06075,59.44%, 16.10%, 75.54%,-, 7.76%,8.359999999999985%,2915c0
06077,1.19%, 48.90%, 47.70%,-, 2.51%,3.4000000000000057%,7c0879
06079,11.33%, 52.22%, 40.89%,-, 5.99%,6.890000000000001%,851168
06081,33.33%, 30.95%, 64.29%,-, 4.02%,4.759999999999991%,4e0ca3
06083,1.24%, 46.13%, 47.37%,-, 5.59%,6.5%,751078
06085,26.22%, 34.44%, 60.66%,-, 3.48%,4.900000000000006%,570c9a
06087,34.14%, 27.34%, 61.48%,-, 10.01%,11.180000000000007%,451c9c
