id,margin,coolidge,davis,other,lafollette,hex_color
48499,75.12%, 10.43%, 85.55%,4.02%, 4.02%,1a0ada
48501,76.79%, 8.04%, 84.82%,7.14%, 7.14%,1412d8
48503,70.71%, 13.57%, 84.28%,2.15%, 2.15%,2205d6
48505,20.68%, 39.56%, 60.24%,0.2%,-,640099
48507,50.99%, 20.97%, 71.96%,7.06%, 7.06%,3512b7
49001,22.17%, 53.34%, 31.18%,15.48%, 15.48%,88274f
49003,22.67%, 56.18%, 33.52%,10.3%, 10.30%,8f1a55
49005,11.06%, 52.01%, 40.94%,7.05%, 7.05%,841168
49007,5.76%, 37.59%, 30.58%,31.83%, 31.83%,5f514d
49009,54.20%, 74.05%, 19.85%,6.11%, 6.11%,bc0f32
49011,18.58%, 55.51%, 36.94%,7.55%, 7.55%,8d135e
49013,24.63%, 57.60%, 32.97%,9.43%, 9.43%,921854
49015,2.77%, 42.98%, 40.21%,16.81%, 16.81%,6d2a66
49017,43.53%, 69.57%, 26.04%,4.4%, 4.40%,b10b42
49019,6.03%, 47.93%, 41.90%,10.17%, 10.17%,7a196a
49021,43.91%, 66.47%, 22.56%,10.98%, 10.98%,a91b39
49023,2.76%, 43.57%, 40.81%,15.62%, 15.62%,6f2768
49025,61.99%, 80.22%, 18.22%,1.56%,-,cc032e
49027,25.94%, 55.74%, 29.81%,14.45%, 14.45%,8e244c
49029,13.69%, 54.10%, 40.40%,5.5%, 5.50%,890e67
49031,29.32%, 61.42%, 32.10%,6.48%, 6.48%,9c1051
49033,29.77%, 62.48%, 32.71%,4.81%, 4.81%,9f0c53
49035,18.23%, 46.44%, 25.35%,28.21%, 28.21%,764740
49037,22.16%, 56.89%, 34.73%,8.38%, 8.38%,911558
49039,19.15%, 56.39%, 37.24%,6.37%, 6.37%,8f105e
49041,24.33%, 56.44%, 32.11%,11.44%, 11.44%,8f1d51
49043,27.63%, 57.16%, 29.53%,13.31%, 13.31%,91214b
49045,25.16%, 52.47%, 27.31%,20.22%, 20.22%,853345
49047,27.26%, 60.90%, 33.65%,5.45%, 5.45%,9b0d55
49049,11.46%, 46.28%, 34.82%,18.91%, 18.91%,763058
49051,17.92%, 52.39%, 34.47%,13.13%, 13.13%,852157
49053,14.56%, 54.96%, 40.39%,4.65%, 4.65%,8c0b66
49055,15.57%, 57.27%, 41.70%,1.04%,-,92026a
49057,10.65%, 43.60%, 23.45%,32.95%, 32.95%,6f543b
50001,77.77%, 87.68%, 9.91%,2.4%,-,df0619
50003,52.90%, 72.91%, 20.01%,7.07%, 6.78%,b91233
50005,71.09%, 83.60%, 12.52%,3.88%, 3.61%,d5091f
50007,47.40%, 70.96%, 23.55%,5.489999999999999%, 5.14%,b40d3c
50009,37.27%, 63.60%, 26.34%,10.06%, 9.74%,a21943
50011,43.01%, 67.10%, 24.08%,8.83%, 8.49%,ab163d
