statecounty,margin,nixon,humphrey,wallace,hex_color
05145,9.61, 32.02, 26.34, 41.63,516a43
05147,12.79, 17.22, 35.00, 47.78,2b7959
05149,2.46, 34.44, 28.65, 36.91,575e49
06001,16.27, 37.63, 53.90, 6.98,5f1189
06003,26.48, 59.29, 32.81, 7.91,971453
06005,3.17, 42.10, 45.27, 12.24,6b1f73
06007,23.81, 56.68, 32.87, 9.92,901953
06009,15.57, 52.16, 36.59, 11.03,851c5d
06011,10.99, 51.58, 40.59, 7.52,831367
06013,1.91, 44.53, 46.44, 8.37,711576
06015,2.92, 46.19, 43.27, 9.58,75186e
06017,9.28, 49.00, 39.72, 11.00,7c1c65
06019,3.82, 43.60, 47.42, 8.22,6f1478
06021,19.36, 53.91, 34.55, 11.32,891c58
06023,0.67, 46.17, 45.50, 7.62,751374
06025,16.32, 52.91, 36.59, 10.27,861a5d
06027,19.84, 54.45, 34.60, 10.68,8a1b58
06029,4.06, 46.61, 42.55, 10.63,761b6c
06031,4.68, 43.07, 47.75, 9.06,6d1779
06033,7.54, 49.00, 41.46, 9.20,7c1769
06035,6.06, 41.06, 47.12, 11.45,681d78
06037,1.63, 47.65, 46.02, 5.68,790e75
06039,4.92, 43.55, 48.47, 7.83,6f137b
06041,6.22, 50.05, 43.84, 4.59,7f0b6f
06043,10.31, 49.92, 39.61, 10.08,7f1965
06045,2.07, 46.39, 44.32, 8.68,761671
06047,10.08, 40.90, 50.98, 7.93,681481
06049,13.74, 52.43, 38.69, 8.69,851662
06051,37.83, 64.28, 26.45, 8.87,a31643
06053,8.06, 50.16, 42.10, 7.15,7f126b
06055,1.51, 43.76, 45.27, 10.66,6f1b73
06057,12.33, 51.39, 39.06, 9.14,831763
06059,33.29, 63.14, 29.85, 6.62,a1104c
06061,5.57, 42.64, 48.21, 8.83,6c167a
06063,15.40, 37.37, 52.77, 9.43,5f1886
06065,14.12, 52.90, 38.78, 7.88,861462
06067,9.26, 41.66, 50.92, 6.98,6a1181
06069,2.44, 47.54, 45.10, 7.18,791273
