id,1944,1948,1956,1964,1968,1992
1097,3a02c1,31cd00,850b6e,b44a00,1dab33,811a61
1099,0500f8,00fe00,410bb2,cf2f00,0db53a,801365
1101,0a01f3,1ce200,762b5d,c03e00,249542,78166e
1103,2202d9,1de100,4505b3,906e00,22c015,7a2c57
1105,0b00f3,07f700,561f89,cb3300,0e7f70,5009a2
1107,1f01de,0fef00,590f95,d12d00,0cb739,711576
1109,0906ef,0cf200,420eae,d72700,14b82f,7b176a
1111,4702b5,45b900,5401a8,9f5f00,1fbf18,771c67
1113,0d00f1,0df100,4808ae,c13d00,0fab3d,5a168c
1115,60019d,5aa400,7d057c,b44a00,2ab916,921e4c
1117,5201ab,53ab00,840872,c03e00,28b71a,ad1a36
1119,0b00f2,0bf300,581195,cc3200,10727b,410eae
1121,2d01cf,28d600,6f048b,b44a00,1ab72a,7a1967
1123,0900f4,10ee00,4403b7,c23c00,19c31c,86195e
1125,1a02e1,1ee000,5c0b97,af4f00,22a731,781e67
1127,5201aa,4eb000,660197,946a00,22bd19,611c80
1129,1200eb,05f900,4d08a9,b24c00,08cb28,66197e
1131,0600f8,00fe00,562286,ea1400,0d905f,5008a5
1133,9f015e,a45a00,a70057,b54900,648b0b,8c1c56
2013,000000,000000,000000,000000,0,000000
2016,000000,000000,000000,000000,0,000000
2020,000000,000000,000000,000000,0,000000
2050,000000,000000,000000,000000,0,000000
2060,000000,000000,000000,000000,0,000000
2068,000000,000000,000000,000000,0,000000
2070,000000,000000,000000,000000,0,000000
2090,000000,000000,000000,000000,0,000000
2100,000000,000000,000000,000000,0,000000
2105,000000,000000,000000,000000,0,000000
2110,000000,000000,000000,000000,0,000000
2122,000000,000000,000000,000000,0,000000
2130,000000,000000,000000,000000,0,000000
2150,000000,000000,000000,000000,0,000000
2164,000000,000000,000000,000000,0,000000
2170,000000,000000,000000,000000,0,000000
2180,000000,000000,000000,000000,0,000000
2185,000000,000000,000000,000000,0,000000
2188,000000,000000,000000,000000,0,000000
2195,000000,000000,000000,000000,0,000000
2198,000000,000000,000000,000000,0,000000
2220,000000,000000,000000,000000,0,000000
2230,000000,000000,000000,000000,0,000000
2240,000000,000000,000000,000000,0,000000
2261,000000,000000,000000,000000,0,000000
2270,000000,000000,000000,000000,0,000000
2275,000000,000000,000000,000000,0,000000
2282,000000,000000,000000,000000,0,000000
2290,000000,000000,000000,000000,0,000000
4001,5e00a0,640099,a1005d,790085,7f1865,401b9c
4003,5300ab,5e0798,8f006f,74008a,742464,5d3c61
4005,71008d,780284,a1005c,840079,97174e,523871
4007,5101ac,5105a7,82007c,5900a5,5e207e,4f4068
4009,5200ab,5b02a1,950069,7c0082,782c59,6d3059
