id,margin,bush,kerry,other3,other2,other1
05141,9.19%, 54.08%, 44.89%,-,-, 1.03%
05143,12.68%, 55.73%, 43.05%,-,-, 1.22%
05145,29.79%, 64.34%, 34.55%,-,-, 1.12%
05147,31.43%, 33.74%, 65.17%,-,-, 1.09%
05149,11.49%, 55.23%, 43.75%,-,-, 1.02%
06001,51.89%, 23.29%, 75.18%,-,-, 1.53%
06003,8.84%, 44.37%, 53.21%,-,-, 2.43%
06005,25.52%, 62.08%, 36.56%,-,-, 1.36%
06007,9.58%, 53.73%, 44.14%,-,-, 2.13%
06009,23.79%, 60.87%, 37.09%,-,-, 2.04%
06011,35.60%, 67.17%, 31.58%,-,-, 1.25%
06013,25.82%, 36.46%, 62.28%,-,-, 1.25%
06015,15.54%, 56.85%, 41.31%,-,-, 1.84%
06017,23.89%, 61.23%, 37.33%,-,-, 1.44%
06019,15.69%, 57.38%, 41.68%,-,-, 0.94%
06021,35.04%, 66.72%, 31.68%,-,-, 1.60%
06023,18.63%, 39.03%, 57.66%,-,-, 3.31%
06025,6.05%, 46.36%, 52.41%,-,-, 1.23%
06027,20.21%, 59.09%, 38.88%,-,-, 2.03%
06029,34.01%, 66.49%, 32.49%,-,-, 1.02%
06031,31.67%, 65.41%, 33.74%,-,-, 0.85%
06033,8.29%, 44.88%, 53.16%,-,-, 1.96%
06035,43.39%, 70.97%, 27.58%,-,-, 1.45%
06037,27.50%, 35.60%, 63.10%,-,-, 1.30%
06039,29.32%, 64.02%, 34.70%,-,-, 1.28%
06041,47.80%, 25.40%, 73.21%,-,-, 1.39%
06043,22.68%, 60.23%, 37.55%,-,-, 2.22%
06045,29.74%, 33.71%, 63.45%,-,-, 2.83%
06047,14.29%, 56.54%, 42.26%,-,-, 1.20%
06049,46.70%, 72.42%, 25.72%,-,-, 1.86%
06051,0.13%, 49.10%, 49.23%,-,-, 1.67%
06053,21.98%, 38.38%, 60.36%,-,-, 1.26%
06055,20.51%, 38.97%, 59.48%,-,-, 1.54%
06057,8.48%, 53.39%, 44.92%,-,-, 1.69%
06059,20.70%, 59.68%, 38.98%,-,-, 1.33%
06061,26.35%, 62.61%, 36.26%,-,-, 1.13%
06063,24.81%, 61.71%, 36.90%,-,-, 1.39%
06065,16.80%, 57.83%, 41.04%,-,-, 1.13%
06067,0.23%, 49.29%, 49.52%,-,-, 1.19%
06069,6.16%, 46.45%, 52.61%,-,-, 0.94%
06071,11.76%, 55.29%, 43.53%,-,-, 1.18%
06073,6.12%, 52.45%, 46.33%,-,-, 1.22%
06075,67.82%, 15.21%, 83.02%,-,-, 1.77%
06077,7.36%, 53.18%, 45.83%,-,-, 0.99%
06079,7.17%, 52.69%, 45.52%,-,-, 1.79%
06081,40.23%, 29.25%, 69.48%,-,-, 1.27%
06083,7.95%, 45.22%, 53.17%,-,-, 1.61%
06085,29.31%, 34.63%, 63.94%,-,-, 1.43%
06087,48.12%, 24.86%, 72.98%,-,-, 2.15%
06089,35.91%, 67.22%, 31.31%,-,-, 1.47%
06091,30.95%, 64.12%, 33.16%,-,-, 2.72%
06093,22.93%, 60.64%, 37.71%,-,-, 1.66%
06095,15.32%, 41.86%, 57.17%,-,-, 0.97%
06097,36.28%, 30.90%, 67.18%,-,-, 1.91%
06099,18.25%, 58.65%, 40.40%,-,-, 0.95%
06101,35.34%, 67.19%, 31.85%,-,-, 0.96%
06103,34.41%, 66.42%, 32.01%,-,-, 1.57%
06105,11.95%, 54.66%, 42.71%,-,-, 2.63%
06107,33.28%, 66.15%, 32.87%,-,-, 0.98%
06109,21.50%, 60.02%, 38.51%,-,-, 1.47%
06111,3.66%, 51.19%, 47.53%,-,-, 1.28%
06113,20.59%, 38.75%, 59.34%,-,-, 1.91%
06115,35.45%, 67.00%, 31.55%,-,-, 1.45%
08001,2.35%, 48.22%, 50.57%,-,-, 1.20%
08003,2.58%, 50.63%, 48.05%,-,-, 1.32%
08005,3.96%, 51.42%, 47.45%,-,-, 1.13%
08007,25.00%, 61.67%, 36.67%,-,-, 1.66%
08009,54.76%, 76.85%, 22.10%,-,-, 1.05%
08011,25.66%, 62.09%, 36.43%,-,-, 1.48%
08013,33.89%, 32.39%, 66.28%,-,-, 1.32%
08014,4.61%, 51.68%, 47.06%,-,-, 1.26%
08015,12.65%, 55.59%, 42.94%,-,-, 1.47%
08017,63.93%, 81.39%, 17.46%,-,-, 1.15%
08019,8.32%, 44.93%, 53.25%,-,-, 1.82%
08021,0.79%, 49.01%, 49.80%,-,-, 1.18%
08023,34.32%, 32.16%, 66.48%,-,-, 1.36%
08025,35.37%, 67.38%, 32.02%,-,-, 0.60%
08027,37.81%, 68.25%, 30.44%,-,-, 1.32%
08029,38.83%, 68.66%, 29.83%,-,-, 1.50%
08031,40.29%, 29.27%, 69.56%,-,-, 1.17%
08033,39.41%, 68.44%, 29.03%,-,-, 2.53%
08035,33.82%, 66.54%, 32.72%,-,-, 0.73%
08037,6.54%, 46.10%, 52.64%,-,-, 1.26%
08039,48.88%, 73.82%, 24.94%,-,-, 1.24%
08041,34.62%, 66.74%, 32.11%,-,-, 1.15%
08043,34.44%, 66.46%, 32.03%,-,-, 1.51%
08045,9.18%, 53.87%, 44.69%,-,-, 1.43%
08047,14.96%, 41.58%, 56.54%,-,-, 1.88%
08049,13.37%, 55.99%, 42.62%,-,-, 1.39%
08051,15.48%, 41.32%, 56.79%,-,-, 1.89%
08053,19.77%, 58.97%, 39.20%,-,-, 1.83%
08055,1.33%, 50.09%, 48.76%,-,-, 1.15%
08057,53.53%, 76.02%, 22.48%,-,-, 1.50%
08059,5.19%, 51.79%, 46.60%,-,-, 1.61%
08061,60.54%, 79.82%, 19.28%,-,-, 0.90%
08063,56.88%, 77.70%, 20.82%,-,-, 1.48%
08065,12.28%, 42.76%, 55.04%,-,-, 2.20%
08067,6.68%, 45.87%, 52.56%,-,-, 1.57%
08069,5.20%, 51.82%, 46.62%,-,-, 1.56%
08071,1.58%, 48.48%, 50.06%,-,-, 1.46%
08073,56.31%, 77.83%, 21.52%,-,-, 0.64%
08075,41.95%, 70.36%, 28.42%,-,-, 1.22%
08077,35.51%, 67.12%, 31.61%,-,-, 1.26%
