id,margin,romney,obama,other
06083,18.01%, 39.42%, 57.44%, 3.14%
06085,42.83%, 27.14%, 69.97%, 2.89%
06087,55.45%, 19.98%, 75.43%, 4.60%
06089,29.08%, 62.83%, 33.75%, 3.42%
06091,22.40%, 58.70%, 36.30%, 5.00%
06093,15.16%, 55.40%, 40.24%, 4.35%
06095,29.24%, 34.08%, 63.32%, 2.59%
06097,45.72%, 25.26%, 70.99%, 3.75%
06099,2.74%, 47.14%, 49.88%, 2.97%
06101,19.08%, 58.30%, 39.22%, 2.47%
06103,27.42%, 61.95%, 34.53%, 3.52%
06105,0.73%, 47.33%, 46.59%, 6.08%
06107,15.01%, 56.24%, 41.22%, 2.54%
06109,15.68%, 56.06%, 40.38%, 3.55%
06111,7.01%, 45.15%, 52.16%, 2.69%
06113,33.94%, 31.29%, 65.24%, 3.47%
06115,18.04%, 57.06%, 39.02%, 3.92%
08001,16.78%, 40.12%, 56.90%, 2.98%
08003,16.47%, 40.28%, 56.75%, 2.96%
08005,9.92%, 43.99%, 53.90%, 2.11%
08007,17.72%, 57.50%, 39.78%, 2.72%
08009,51.85%, 74.03%, 22.17%, 3.80%
08011,13.39%, 55.36%, 41.97%, 2.68%
08013,41.84%, 27.84%, 69.69%, 2.47%
08014,5.96%, 45.67%, 51.62%, 2.71%
08015,0.15%, 48.46%, 48.61%, 2.92%
08017,65.60%, 81.34%, 15.74%, 2.93%
08019,12.00%, 42.31%, 54.31%, 3.38%
08021,9.22%, 44.75%, 53.96%, 1.29%
08023,48.67%, 24.28%, 72.95%, 2.78%
08025,25.90%, 61.52%, 35.62%, 2.86%
08027,33.89%, 65.86%, 31.97%, 2.17%
08029,39.52%, 68.54%, 29.02%, 2.44%
08031,49.24%, 24.18%, 73.41%, 2.41%
08033,42.17%, 69.00%, 26.83%, 4.18%
08035,25.76%, 62.11%, 36.35%, 1.54%
08037,14.92%, 41.52%, 56.43%, 2.05%
08039,47.00%, 72.41%, 25.41%, 2.18%
08041,20.38%, 58.91%, 38.54%, 2.55%
08043,31.69%, 64.53%, 32.84%, 2.64%
08045,5.04%, 51.36%, 46.32%, 2.33%
08047,16.36%, 40.32%, 56.68%, 3.00%
08049,6.95%, 51.95%, 45.00%, 3.05%
08051,19.65%, 38.55%, 58.20%, 3.25%
08053,20.67%, 58.83%, 38.17%, 3.00%
08055,8.25%, 44.21%, 52.46%, 3.33%
08057,45.28%, 70.75%, 25.47%, 3.77%
08059,4.85%, 46.36%, 51.21%, 2.43%
08061,68.09%, 82.46%, 14.37%, 3.17%
08063,52.59%, 75.23%, 22.64%, 2.13%
08065,24.38%, 36.12%, 60.49%, 3.39%
08067,9.20%, 43.65%, 52.85%, 3.50%
08069,5.76%, 45.72%, 51.47%, 2.81%
08071,2.65%, 47.55%, 50.20%, 2.24%
08073,49.63%, 73.76%, 24.14%, 2.10%
08075,38.00%, 67.72%, 29.72%, 2.55%
08077,32.39%, 65.08%, 32.69%, 2.23%
08079,8.15%, 52.92%, 44.77%, 2.31%
08081,54.56%, 76.12%, 21.56%, 2.32%
08083,23.21%, 60.08%, 36.87%, 3.04%
08085,36.83%, 67.32%, 30.49%, 2.19%
08087,24.96%, 61.26%, 36.30%, 2.44%
08089,8.97%, 53.49%, 44.52%, 1.99%
08091,5.15%, 46.25%, 51.41%, 2.34%
08093,14.67%, 55.90%, 41.23%, 2.86%
08095,46.31%, 72.27%, 25.96%, 1.77%
08097,37.97%, 30.01%, 67.98%, 2.00%
08099,35.18%, 66.42%, 31.24%, 2.34%
08101,13.95%, 41.74%, 55.68%, 2.58%
08103,64.00%, 80.85%, 16.86%, 2.29%
08105,7.95%, 52.74%, 44.79%, 2.48%
08107,15.60%, 41.07%, 56.67%, 2.26%
08109,30.73%, 32.88%, 63.61%, 3.51%
08111,10.67%, 41.90%, 52.57%, 2.57%
08113,43.19%, 27.11%, 70.30%, 2.58%
08115,34.53%, 65.84%, 31.32%, 2.84%
08117,24.66%, 36.38%, 61.04%, 2.57%
08119,32.43%, 64.59%, 32.16%, 3.25%
08121,62.06%, 80.12%, 18.06%, 1.81%
08123,12.66%, 54.84%, 42.18%, 2.98%
08125,54.69%, 76.25%, 21.56%, 2.18%
09001,10.63%, 44.22%, 54.85%, 0.93%
09003,25.85%, 36.52%, 62.37%, 1.11%
09005,3.62%, 51.07%, 47.45%, 1.48%
09007,15.88%, 41.41%, 57.29%, 1.31%
09009,22.33%, 38.32%, 60.65%, 1.02%
09011,18.27%, 40.07%, 58.33%, 1.60%
09013,12.56%, 42.89%, 55.45%, 1.66%
09015,13.28%, 42.43%, 55.72%, 1.85%
10001,4.94%, 46.79%, 51.73%, 1.48%
10003,34.07%, 32.23%, 66.30%, 1.47%
10005,13.03%, 55.90%, 42.88%, 1.22%
11001,83.63%, 7.28%, 90.91%, 1.81%
12001,17.31%, 40.40%, 57.71%, 1.89%
12003,58.51%, 78.80%, 20.29%, 0.91%
12005,43.48%, 71.01%, 27.53%, 1.47%
12007,41.96%, 70.46%, 28.51%, 1.03%
12009,12.68%, 55.62%, 42.94%, 1.44%
12011,34.89%, 32.23%, 67.12%, 0.65%
12013,43.70%, 70.61%, 26.91%, 2.47%
12015,14.24%, 56.52%, 42.28%, 1.20%
12017,21.84%, 60.22%, 38.37%, 1.41%
12019,45.72%, 72.33%, 26.61%, 1.06%
12021,30.02%, 64.64%, 34.62%, 0.74%
12023,36.61%, 67.69%, 31.08%, 1.23%
12027,14.29%, 56.51%, 42.22%, 1.27%
12029,46.76%, 72.60%, 25.84%, 1.57%
12031,3.60%, 51.27%, 47.67%, 1.06%
12033,20.49%, 59.55%, 39.06%, 1.39%
