id,margin,landon,roosevelt,other,hex_color
06001,28.54%, 35.09%, 63.63%, 1.28%,5903a2
06003,6.92%, 46.54%, 53.46%,-,760088
06005,52.03%, 23.38%, 75.41%, 1.20%,3b03c0
06007,33.82%, 32.04%, 65.86%, 2.10%,5105a7
06009,44.14%, 27.16%, 71.31%, 1.53%,4503b5
06011,42.23%, 28.15%, 70.38%, 1.47%,4703b3
06013,45.60%, 26.70%, 72.29%, 1.01%,4402b8
06015,20.19%, 39.24%, 59.43%, 1.33%,640397
06017,52.54%, 23.12%, 75.66%, 1.22%,3a03c0
06019,56.80%, 20.94%, 77.75%, 1.31%,3503c6
06021,33.47%, 32.50%, 65.97%, 1.52%,5203a8
06023,26.95%, 35.97%, 62.93%, 1.10%,5b02a0
06025,22.41%, 38.34%, 60.75%, 0.91%,61029a
06027,25.91%, 36.47%, 62.38%, 1.16%,5c029f
06029,50.41%, 24.20%, 74.61%, 1.18%,3d03be
06031,51.42%, 23.67%, 75.10%, 1.23%,3c03bf
06033,1.08%, 48.74%, 49.82%, 1.44%,7c037f
06035,59.86%, 19.62%, 79.47%, 0.91%,3202ca
06037,35.38%, 31.62%, 67.00%, 1.39%,5003aa
06039,53.13%, 22.61%, 75.74%, 1.65%,3904c1
06041,31.99%, 33.44%, 65.43%, 1.13%,5502a6
06043,50.18%, 24.23%, 74.40%, 1.37%,3d03bd
06045,26.90%, 35.75%, 62.65%, 1.60%,5b049f
06047,47.19%, 25.50%, 72.69%, 1.82%,4104b9
06049,30.38%, 34.19%, 64.57%, 1.24%,5703a4
06051,30.69%, 34.09%, 64.78%, 1.13%,5602a5
06053,23.43%, 37.70%, 61.13%, 1.17%,60029b
06055,22.11%, 38.24%, 60.35%, 1.41%,610399
06057,45.08%, 26.83%, 71.91%, 1.26%,4403b7
06059,11.69%, 43.31%, 55.00%, 1.70%,6e048c
06061,54.27%, 22.34%, 76.62%, 1.04%,3802c3
06063,59.01%, 19.80%, 78.81%, 1.40%,3203c8
06065,0.99%, 48.89%, 49.88%, 1.24%,7c037f
06067,58.40%, 20.14%, 78.53%, 1.33%,3303c8
06069,25.35%, 36.58%, 61.93%, 1.50%,5d039d
06071,20.58%, 38.97%, 59.55%, 1.48%,630397
06073,28.42%, 35.04%, 63.45%, 1.51%,5903a1
06075,49.34%, 24.69%, 74.04%, 1.27%,3e03bc
06077,47.59%, 25.61%, 73.20%, 1.19%,4103ba
06079,23.84%, 37.28%, 61.13%, 1.59%,5f049b
06081,32.58%, 33.09%, 65.67%, 1.24%,5403a7
06083,23.79%, 37.35%, 61.14%, 1.51%,5f039b
