5,Madison,32.0,2099,64.9,4263,3.1,206
5,Marion,28.9,2037,67.7,4774,3.4,240
5,Miller,29.5,4518,69.3,10622,1.2,189
5,Mississippi,48.4,6467,49.4,6603,2.3,305
5,Monroe,49.0,1583,49.1,1585,1.9,62
5,Montgomery,27.0,920,69.6,2369,3.4,115
5,Nevada,38.8,1314,59.0,1996,2.2,74
5,Newton,27.1,993,68.5,2508,4.4,160
5,Ouachita,44.9,4633,53.5,5521,1.6,161
5,Perry,30.1,1187,65.5,2581,4.3,170
5,Phillips,65.6,5202,32.8,2598,1.6,130
5,Pike,22.5,851,75.2,2847,2.4,90
5,Poinsett,31.6,2390,65.8,4974,2.6,196
5,Polk,20.1,1556,77.1,5955,2.8,215
5,Pope,25.1,5126,72.2,14763,2.7,550
5,Prairie,28.0,880,68.5,2153,3.4,108
5,Pulaski,54.7,87248,43.3,68984,2.0,3149
5,Randolph,34.4,2046,62.1,3701,3.5,209
5,St. Francis,58.7,4910,40.3,3368,1.0,84
5,Saline,27.3,12869,70.0,32963,2.6,1230
5,Scott,24.6,897,72.3,2631,3.1,112
5,Searcy,22.0,814,73.1,2699,4.9,181
5,Sebastian,30.2,13092,67.3,29169,2.5,1101
5,Sevier,24.1,1042,72.4,3136,3.5,152
5,Sharp,28.7,2092,67.6,4921,3.7,270
5,Stone,25.3,1356,70.5,3776,4.1,222
5,Union,36.1,6196,62.3,10699,1.6,282
5,Van Buren,28.5,1832,67.9,4365,3.6,233
5,Washington,40.1,28236,56.3,39688,3.6,2536
5,White,21.7,5765,75.5,20011,2.8,738
5,Woodruff,49.9,1340,45.7,1227,4.4,118
5,Yell,28.8,1722,67.7,4042,3.5,210
6,Alameda,78.7,469684,18.1,108182,3.2,19027
6,Alpine,59.5,389,36.1,236,4.4,29
6,Amador,38.6,6830,58.1,10281,3.3,582
6,Butte,46.9,42669,48.9,44479,4.3,3873
6,Calaveras,39.7,8670,56.6,12365,3.8,827
6,Colusa,38.3,2314,59.6,3601,2.2,130
6,Contra Costa,66.2,290824,31.1,136517,2.7,11804
6,Del Norte,43.2,3791,52.6,4614,4.2,365
6,El Dorado,39.5,35166,57.3,50973,3.2,2859
6,Fresno,49.7,129129,47.9,124490,2.3,6078
6,Glenn,35.7,3301,61.0,5632,3.3,305
6,Humboldt,59.7,34457,32.6,18825,7.6,4404
6,Imperial,65.2,25136,33.1,12777,1.7,652
6,Inyo,42.6,3422,54.0,4340,3.4,274
6,Kern,40.3,89495,57.0,126618,2.7,6076
6,Kings,41.3,12979,56.2,17671,2.4,768
6,Lake,56.3,13163,39.3,9200,4.4,1028
6,Lassen,28.5,3053,68.0,7296,3.5,376
6,Los Angeles,69.7,2216903,27.8,885333,2.5,78831
6,Madera,40.1,16018,57.2,22852,2.7,1063
6,Marin,74.1,99896,22.9,30880,2.9,3955
6,Mariposa,38.7,3498,56.9,5140,4.4,400
6,Mendocino,66.0,23193,27.5,9658,6.5,2286
6,Merced,53.0,33005,44.3,27581,2.6,1636
6,Modoc,27.6,1111,69.1,2777,3.3,131
6,Mono,52.8,2733,44.1,2285,3.1,163
6,Monterey,67.1,82920,30.3,37390,2.6,3208
6,Napa,63.0,35870,34.3,19526,2.8,1572
6,Nevada,47.7,24663,48.4,24986,3.9,2027
6,Orange,45.6,512440,51.9,582332,2.5,27892
6,Placer,38.9,66818,58.2,99921,2.9,4972
6,Plumas,39.9,4026,56.8,5721,3.3,333
6,Riverside,49.6,329063,48.0,318127,2.4,15926
6,Sacramento,58.1,300503,39.1,202514,2.8,14565
