id,1948,1956,1964,1968,1992
4025,7a057e,a70057,91006c,952047,64464e
4027,5505a4,7a0084,73008b,772164,69345e
5001,373f87,7f037b,890074,3c7e43,521496
5003,1426c3,460fa8,8e006e,2f8d41,47189c
5005,500f9f,890173,670097,7e3848,5b2f71
5007,710c80,a0015c,82007b,7f3f40,7c245c
5009,4c0fa2,850178,6d0090,734a41,6b246c
5011,183fa6,4e03ad,73008a,2a874d,4e149b
5013,0c1dd5,4002bc,61009a,218d50,621883
5015,69098c,940169,82007c,823b41,652b6c
5017,1d5789,4c0aa7,660097,276275,3e11af
5019,2626b1,670394,4f00ae,3a6261,4414a4
5021,480baa,6a0292,5f009d,605b42,3b14ae
5023,360dba,750088,5000ae,4f6549,5b2082
5025,143eac,4303b8,780084,20b42a,55198e
5027,125398,6e0986,870075,3b764c,601c7b
5029,2c1ab8,61019b,5b00a2,4d4c64,511893
5031,2537a1,660394,61009c,526e3d,5a168a
5033,561395,860176,7a0083,606737,6c2669
5035,0eb13f,810e6e,7c0080,3b7053,580c90
5037,176b7b,5705a1,770086,308845,541594
5039,1638af,5a049f,780083,2e7857,5e1688
5041,1339b2,4903b2,5d00a0,2b6e65,3a11ad
5043,165097,59069e,82007a,387d48,4e1897
5045,2c16bc,680195,5800a5,416657,5f1883
5047,2f0dc1,680194,5d009f,4a753f,5e2579
5049,4607b0,730289,5400a9,5c534e,432198
5051,512786,9f035b,750088,605747,5b1885
5053,182fb6,610597,6d008c,2b983b,5d1c83
5055,2511c7,5901a3,5200ab,5a5f45,48199c
5057,20538b,710389,6b0091,3e6e51,441d9c
5059,3319b2,72028a,62009a,388343,481d97
5061,1e1fc0,790282,89006d,516943,58178d
5063,3d18a8,7f017e,5a00a3,5a5a4a,541c8c
5065,2706d0,4b00b2,4a00b2,4f5e50,451b9c
5067,1a12d2,4201ba,4f00ad,31814b,3f16a7
5069,243c9d,740782,6e008e,336a60,3c10af
5071,3b12b1,770285,5300aa,535457,562284
5073,146d7d,5d0a96,7e007f,2f7955,4c2091
5075,2f10be,660394,5c00a1,497342,4e1798
5077,10945a,580a9b,6a0094,2b636f,410fac
