id,margin,eisenhower,stevenson,other,hex_color
05127,14.47%, 42.50%, 56.97%, 0.52%,6c0191
05129,32.92%, 66.44%, 33.52%, 0.03%,a90055
05131,12.88%, 56.36%, 43.48%, 0.16%,8f006e
05133,19.36%, 40.29%, 59.64%, 0.07%,660098
05135,22.63%, 38.60%, 61.23%, 0.18%,62009c
05137,9.97%, 54.95%, 44.98%, 0.08%,8c0072
05139,17.56%, 41.11%, 58.67%, 0.23%,680095
05141,0.93%, 49.32%, 50.26%, 0.42%,7d0180
05143,27.38%, 63.55%, 36.17%, 0.28%,a2005c
05145,18.32%, 40.79%, 59.11%, 0.10%,680096
05147,42.23%, 28.81%, 71.05%, 0.14%,4900b5
05149,20.39%, 39.54%, 59.92%, 0.54%,640198
06001,6.19%, 52.69%, 46.50%, 0.80%,860276
06003,76.19%, 88.10%, 11.90%,-,e0001e
06005,5.82%, 52.42%, 46.60%, 0.99%,850276
06007,27.40%, 63.27%, 35.87%, 0.86%,a1025b
06009,24.21%, 61.65%, 37.44%, 0.91%,9d025f
06011,19.97%, 59.81%, 39.83%, 0.36%,980065
06013,0.23%, 49.61%, 49.84%, 0.56%,7e017f
06015,28.03%, 63.44%, 35.41%, 1.14%,a1025a
06017,22.17%, 60.51%, 38.35%, 1.14%,9a0261
06019,1.35%, 48.95%, 50.30%, 0.75%,7c0180
06021,29.40%, 64.45%, 35.05%, 0.51%,a40159
06023,21.09%, 60.10%, 39.01%, 0.88%,990263
06025,24.89%, 62.13%, 37.24%, 0.63%,9e015e
06027,38.25%, 68.87%, 30.62%, 0.50%,af014e
06029,10.98%, 55.13%, 44.16%, 0.71%,8c0170
06031,0.91%, 49.19%, 50.09%, 0.72%,7d017f
06033,36.01%, 67.52%, 31.51%, 0.97%,ac0250
06035,12.18%, 43.66%, 55.83%, 0.51%,6f018e
06037,13.50%, 56.21%, 42.71%, 1.09%,8f026c
06039,0.27%, 49.67%, 49.40%, 0.93%,7e027d
06041,35.19%, 67.08%, 31.90%, 1.02%,ab0251
06043,33.11%, 65.91%, 32.81%, 1.28%,a80353
06045,22.81%, 60.87%, 38.06%, 1.07%,9b0261
06047,7.38%, 53.26%, 45.88%, 0.86%,870274
06049,23.32%, 61.36%, 38.04%, 0.61%,9c0161
06051,53.91%, 76.61%, 22.70%, 0.69%,c30139
06053,25.61%, 62.51%, 36.90%, 0.58%,9f015e
06055,23.64%, 61.46%, 37.82%, 0.71%,9c0160
06057,28.96%, 64.04%, 35.08%, 0.88%,a30259
06059,41.30%, 70.29%, 28.98%, 0.73%,b30149
06061,2.04%, 50.59%, 48.55%, 0.86%,81027b
06063,12.10%, 43.46%, 55.56%, 0.99%,6e028d
06065,31.15%, 65.08%, 33.93%, 0.99%,a50256
06067,1.36%, 49.02%, 50.37%, 0.61%,7d0180
06069,30.84%, 65.23%, 34.39%, 0.38%,a60057
06071,15.53%, 57.34%, 41.81%, 0.85%,92026a
06073,27.59%, 63.50%, 35.92%, 0.58%,a1015b
06075,6.90%, 52.88%, 45.99%, 1.13%,860275
06077,12.36%, 55.82%, 43.46%, 0.72%,8e016e
06079,31.52%, 65.37%, 33.85%, 0.79%,a60256
06081,27.66%, 63.61%, 35.95%, 0.45%,a2015b
06083,34.85%, 67.24%, 32.39%, 0.37%,ab0052
06085,20.08%, 59.74%, 39.66%, 0.61%,980165
06087,35.33%, 67.13%, 31.80%, 1.08%,ab0251
06089,13.54%, 56.43%, 42.89%, 0.68%,8f016d
06091,8.11%, 53.76%, 45.65%, 0.59%,890174
06093,12.34%, 55.69%, 43.35%, 0.96%,8e026e
06095,14.79%, 42.37%, 57.16%, 0.47%,6c0191
06097,33.28%, 66.09%, 32.81%, 1.10%,a80253
06099,12.21%, 55.57%, 43.35%, 1.08%,8d026e
06101,35.03%, 67.31%, 32.27%, 0.42%,ab0152
06103,29.48%, 64.31%, 34.83%, 0.86%,a30258
06105,15.32%, 57.14%, 41.82%, 1.04%,91026a
06107,14.98%, 57.07%, 42.10%, 0.83%,91026b
06109,19.21%, 59.18%, 39.96%, 0.86%,960265
06111,5.49%, 52.47%, 46.98%, 0.55%,850177
06113,7.12%, 53.17%, 46.04%, 0.79%,870275
06115,21.50%, 60.42%, 38.92%, 0.65%,9a0163
08001,10.22%, 54.89%, 44.68%, 0.43%,8b0171
08003,25.10%, 62.13%, 37.03%, 0.84%,9e025e
08005,21.77%, 60.32%, 38.55%, 1.13%,990262
08007,29.35%, 64.58%, 35.23%, 0.19%,a40059
08009,31.77%, 65.57%, 33.81%, 0.62%,a70156
08011,19.28%, 59.40%, 40.12%, 0.49%,970166
08013,31.64%, 65.29%, 33.65%, 1.05%,a60255
08014,0%,-,-,-,000000
