id,margin,dewey,roosevelt,other,hex_color
05115,43.45%, 28.14%, 71.58%, 0.28%,4700b6
05117,41.14%, 29.34%, 70.47%, 0.19%,4a00b3
05119,46.04%, 26.87%, 72.91%, 0.22%,4400b9
05121,48.07%, 25.82%, 73.89%, 0.29%,4100bc
05123,57.31%, 21.16%, 78.46%, 0.38%,3500c8
05125,59.47%, 19.99%, 79.45%, 0.56%,3201ca
05127,44.14%, 27.93%, 72.07%,-,4700b7
05129,22.45%, 61.07%, 38.62%, 0.30%,9b0062
05131,27.00%, 36.46%, 63.46%, 0.07%,5c00a1
05133,55.38%, 22.28%, 77.66%, 0.06%,3800c6
05135,29.21%, 35.08%, 64.29%, 0.63%,5901a3
05137,3.73%, 47.57%, 51.30%, 1.13%,790282
05139,69.44%, 15.26%, 84.70%, 0.04%,2600d7
05141,24.90%, 37.49%, 62.39%, 0.11%,5f009f
05143,0.08%, 49.73%, 49.81%, 0.45%,7e017f
05145,30.58%, 34.71%, 65.29%,-,5800a6
05147,66.06%, 16.79%, 82.85%, 0.36%,2a00d3
05149,54.08%, 22.94%, 77.02%, 0.05%,3a00c4
06001,15.87%, 41.83%, 57.70%, 0.47%,6a0193
06003,37.06%, 68.53%, 31.47%,-,ae0050
06005,24.51%, 37.18%, 61.69%, 1.12%,5e029d
06007,5.72%, 46.83%, 52.55%, 0.63%,770186
06009,13.00%, 43.19%, 56.19%, 0.62%,6e018f
06011,13.89%, 42.92%, 56.81%, 0.27%,6d0090
06013,28.10%, 35.86%, 63.96%, 0.18%,5b00a3
06015,10.55%, 55.25%, 44.70%, 0.05%,8c0071
06017,20.39%, 39.55%, 59.95%, 0.50%,640198
06019,28.34%, 35.50%, 63.84%, 0.67%,5a01a2
06021,0.88%, 49.32%, 50.20%, 0.47%,7d0180
06023,13.90%, 42.93%, 56.83%, 0.24%,6d0090
06025,8.05%, 53.81%, 45.76%, 0.43%,890174
06027,1.55%, 50.64%, 49.09%, 0.27%,81007d
06029,11.61%, 43.96%, 55.56%, 0.48%,70018d
06031,30.82%, 34.22%, 65.04%, 0.74%,5701a5
06033,10.36%, 54.97%, 44.61%, 0.43%,8c0171
06035,31.88%, 33.92%, 65.81%, 0.27%,5600a7
06037,14.08%, 42.68%, 56.75%, 0.57%,6c0190
06039,19.62%, 39.85%, 59.47%, 0.68%,650197
06041,4.34%, 47.69%, 52.04%, 0.27%,790084
06043,10.89%, 44.16%, 55.06%, 0.78%,70018c
06045,7.86%, 45.89%, 53.75%, 0.35%,750089
06047,16.95%, 41.31%, 58.25%, 0.44%,690194
06049,8.88%, 45.40%, 54.28%, 0.32%,73008a
06051,21.90%, 60.87%, 38.97%, 0.16%,9b0063
06053,7.84%, 45.82%, 53.66%, 0.52%,740188
06055,4.39%, 47.48%, 51.87%, 0.64%,790184
06057,10.37%, 44.42%, 54.79%, 0.79%,71028b
06059,14.45%, 56.92%, 42.47%, 0.60%,91016c
06061,25.88%, 36.78%, 62.66%, 0.56%,5d019f
06063,39.88%, 29.95%, 69.83%, 0.21%,4c00b2
06065,8.68%, 53.94%, 45.26%, 0.81%,890273
06067,33.14%, 33.16%, 66.30%, 0.54%,5401a9
06069,5.98%, 52.80%, 46.82%, 0.37%,860077
06071,6.07%, 46.52%, 52.59%, 0.88%,760286
06073,8.52%, 45.42%, 53.94%, 0.64%,730189
06075,21.60%, 38.92%, 60.51%, 0.57%,63019a
06077,5.27%, 47.21%, 52.48%, 0.30%,780085
