id,margin,eisenhower,stevenson,other,hex_color
5107,15.72%,40.72%,56.44%,2.84%,67078f
5109,4.20%,47.56%,51.76%,0.68%,790183
5111,28.31%,35.25%,63.55%,1.20%,5903a2
5113,17.34%,58.29%,40.95%,0.76%,940168
5115,9.63%,44.94%,54.57%,0.49%,72018b
5117,24.06%,37.58%,61.64%,0.78%,5f019d
5119,4.63%,51.10%,46.46%,2.44%,820676
5121,22.33%,38.61%,60.94%,0.45%,62019b
5123,5.48%,44.87%,50.35%,4.78%,720c80
5125,17.28%,40.81%,58.09%,1.10%,680294
5127,13.42%,56.47%,43.05%,0.48%,8f016d
5129,45.41%,72.35%,26.94%,0.71%,b80144
5131,15.39%,57.36%,41.98%,0.66%,92016b
5133,12.73%,43.28%,56.01%,0.71%,6e018e
5135,17.63%,40.31%,57.94%,1.75%,660493
5137,7.44%,46.14%,53.58%,0.28%,750088
5139,15.68%,39.75%,55.44%,4.81%,650c8d
5141,1.32%,49.05%,50.38%,0.57%,7d0180
5143,22.39%,60.87%,38.48%,0.65%,9b0162
5145,12.37%,43.58%,55.94%,0.48%,6f018e
5147,23.85%,37.08%,60.93%,1.99%,5e059b
5149,18.48%,40.70%,59.18%,0.12%,670096
6001,5.13%,52.40%,47.27%,0.33%,850078
6003,59.44%,79.72%,20.28%,0.00%,cb0033
6005,1.27%,49.16%,50.43%,0.41%,7d0180
6007,17.32%,58.43%,41.11%,0.46%,940168
6009,16.17%,57.91%,41.74%,0.35%,93006a
6011,6.52%,53.23%,46.71%,0.06%,870077
6013,2.20%,50.98%,48.78%,0.24%,81007c
6015,6.67%,53.18%,46.51%,0.31%,870076
6017,7.62%,53.60%,45.97%,0.43%,880175
6019,13.12%,43.33%,56.44%,0.23%,6e008f
6021,4.07%,51.96%,47.89%,0.15%,84007a
6023,5.51%,52.57%,47.06%,0.37%,860078
6025,12.40%,56.05%,43.65%,0.30%,8e006f
6027,32.72%,66.19%,33.47%,0.34%,a80055
6029,2.98%,51.31%,48.33%,0.36%,82007b
6031,15.17%,42.28%,57.45%,0.27%,6b0092
6033,30.05%,64.84%,34.78%,0.38%,a50058
6035,14.74%,42.48%,57.22%,0.30%,6c0091
6037,11.09%,55.38%,44.29%,0.33%,8d0070
6039,15.46%,42.12%,57.58%,0.30%,6b0092
6041,32.18%,65.94%,33.76%,0.30%,a80056
6043,20.88%,60.31%,39.43%,0.26%,990064
6045,14.11%,56.94%,42.82%,0.24%,91006d
6047,7.79%,45.99%,53.78%,0.23%,750089
