id,margin,hughes,wilson,other,other2,hex_color
08121,26.19%, 34.13%, 60.32%,5.550000000000001%, 4.45%,570e99
08123,22.05%, 37.12%, 59.18%,3.7%, 2.23%,5e0996
08125,24.75%, 34.51%, 59.26%,6.22%, 5.38%,580f97
09001,10.54%, 53.78%, 43.24%,2.9800000000000004%, 2.20%,89076e
09003,2.28%, 46.75%, 49.03%,4.2299999999999995%, 2.51%,770a7d
09005,8.04%, 53.00%, 44.96%,2.04%,-,870572
09007,8.96%, 53.42%, 44.46%,2.11%,-,880571
09009,0.38%, 47.68%, 48.06%,4.26%, 3.32%,790a7a
09011,0.23%, 48.51%, 48.74%,2.75%,-,7b077c
09013,14.40%, 54.72%, 40.32%,4.96%, 3.63%,8b0c66
09015,5.63%, 51.86%, 46.23%,1.91%,-,840475
10001,4.91%, 47.14%, 52.05%,0.82%,-,780284
10003,3.98%, 50.56%, 46.58%,2.86%,-,800776
10005,3.26%, 51.36%, 48.10%,0.54%,-,82017a
11001,0%,-,-,0.0%,-,000000
12001,62.48%, 17.29%, 79.76%,2.95%,-,2c07cb
12003,68.86%, 9.25%, 78.11%,5.34%, 5.34%,170dc7
12005,37.80%, 23.64%, 61.44%,8.39%, 8.39%,3c159c
12007,77.17%, 10.28%, 87.44%,2.28%,-,1a05de
12009,46.30%, 18.95%, 65.25%,8.28%, 8.28%,3015a6
12011,32.00%, 22.57%, 54.57%,15.71%, 15.71%,39288b
12013,39.24%, 24.85%, 64.09%,8.09%, 8.09%,3f14a3
12015,0%,-,-,0.0%,-,000000
12017,79.86%, 6.62%, 86.47%,3.6%, 3.60%,1009dc
12019,54.43%, 14.29%, 68.72%,8.5%, 8.50%,2415af
12021,0%,-,-,0.0%,-,000000
12023,53.54%, 19.06%, 72.60%,2.36%, 2.36%,3006b9
12027,53.18%, 14.95%, 68.13%,8.85%, 8.85%,2616ad
12029,0%,-,-,0.0%,-,000000
12031,51.74%, 16.83%, 68.57%,7.3%, 7.30%,2a12ae
12033,63.91%, 15.05%, 78.95%,3.58%, 3.58%,2609c9
12035,0%,-,-,0.0%,-,000000
12037,47.93%, 16.80%, 64.73%,6.64%, 6.64%,2a10a5
12039,79.32%, 5.53%, 84.95%,3.88%, 3.88%,0e09d8
12041,0%,-,-,0.0%,-,000000
12043,0%,-,-,0.0%,-,000000
12045,0%,-,-,0.0%,-,000000
12047,69.21%, 13.92%, 83.13%,2.96%,-,2307d3
12049,0%,-,-,0.0%,-,000000
12051,0%,-,-,0.0%,-,000000
12053,72.86%, 6.79%, 79.64%,6.79%, 6.79%,1111cb
12055,0%,-,-,0.0%,-,000000
12057,59.50%, 10.45%, 69.95%,9.4%, 9.40%,1a17b2
12059,22.69%, 28.83%, 51.52%,12.29%, 12.29%,491f83
12061,0%,-,-,0.0%,-,000000
12063,63.08%, 16.53%, 79.60%,1.37%,-,2a03ca
12065,71.41%, 13.70%, 85.11%,1.19%,-,2203d9
12067,84.54%, 4.73%, 89.27%,3.15%, 3.15%,0c08e3
12069,42.54%, 25.25%, 67.79%,6.96%, 5.20%,4011ac
12071,51.59%, 14.75%, 66.34%,11.93%, 11.93%,251ea9
12073,58.46%, 16.32%, 74.79%,3.59%, 3.59%,2909be
12075,51.19%, 22.29%, 73.48%,4.23%, 2.58%,380abb
12077,57.33%, 14.65%, 71.98%,3.6%, 3.60%,2509b7
12079,85.06%, 2.74%, 89.79%,2.74%, 2.74%,0606e4
12081,48.06%, 18.67%, 66.73%,7.49%, 7.49%,2f13aa
12083,46.64%, 19.50%, 66.15%,6.37%, 6.37%,3110a8
12085,0%,-,-,0.0%,-,000000
12086,35.75%, 21.94%, 57.69%,10.5%, 10.50%,371a93
12087,26.90%, 24.11%, 51.01%,17.4%, 17.40%,3d2c82
12089,54.61%, 15.75%, 70.35%,6.7%, 6.70%,2811b3
12091,31.55%, 31.86%, 63.41%,4.7299999999999995%, 3.05%,510ca1
12093,0%,-,-,0.0%,-,000000
12095,48.15%, 23.62%, 71.77%,4.609999999999999%, 2.90%,3c0bb7
12097,4.99%, 38.98%, 43.98%,8.61%, 8.61%,631570
12099,29.51%, 22.17%, 51.67%,13.83%, 13.83%,382383
12101,45.59%, 19.82%, 65.41%,6.88%, 6.88%,3211a6
12103,39.04%, 22.86%, 61.90%,7.13%, 7.13%,3a129d
12105,59.04%, 17.10%, 76.13%,4.67%, 4.67%,2b0bc2
12107,31.62%, 28.67%, 60.29%,6.38%, 6.38%,491099
12109,47.11%, 19.03%, 66.14%,7.94%, 7.94%,3014a8
12111,55.78%, 13.14%, 68.92%,10.78%, 10.78%,211baf
12113,72.35%, 10.23%, 82.58%,1.75%,-,1a04d2
12115,0%,-,-,0.0%,-,000000
12117,55.32%, 15.56%, 70.88%,8.03%, 8.03%,2714b4
12119,71.20%, 9.42%, 80.62%,4.04%, 4.04%,180acd
12121,76.27%, 3.94%, 85.14%,8.87%, 8.87%,0a16d9
12123,81.31%, 8.36%, 89.67%,1.97%,-,1505e4
12125,0%,-,-,0.0%,-,000000
12127,24.70%, 33.41%, 58.11%,4.11%, 4.11%,550a94
12129,47.25%, 21.49%, 68.74%,5.68%, 5.68%,360eaf
12131,13.80%, 37.14%, 50.95%,5.35%, 5.35%,5e0d81
12133,46.56%, 15.85%, 62.41%,14.36%, 14.36%,28249f
13001,51.57%, 7.67%, 71.95%,0.0%,-,1300b7
13003,0%,-,-,0.0%,-,000000
13005,72.37%, 13.81%, 86.19%,0.0%,-,2300db
13007,64.46%,-, 82.23%,0.0%,-,0000d1
13009,74.93%, 9.48%, 84.40%,0.0%,-,1800d7
13011,69.99%, 10.22%, 80.21%,0.0%,-,1a00cc
13013,58.63%, 15.38%, 74.01%,0.0%,-,2700bc
13015,57.31%, 5.28%, 76.02%,0.0%,-,0d00c1
13017,64.11%,-, 81.53%,1.04%,-,0002cf
13019,94.04%,-, 96.29%,1.47%,-,0003f5
13021,80.06%, 8.71%, 88.77%,0.0%,-,1600e2
13023,91.10%,-, 94.76%,1.57%,-,0004f1
13025,0%,-,-,0.0%,-,000000
13027,78.94%, 9.39%, 88.33%,0.0%,-,1700e1
13029,86.60%, 5.30%, 91.90%,0.0%,-,0d00ea
13031,86.70%,-, 92.40%,1.9%,-,0004eb
13033,92.63%, 2.69%, 95.33%,1.98%,-,0605f3
13035,80.56%, 7.72%, 88.28%,0.0%,-,1300e1
13037,92.75%, 3.26%, 96.01%,0.72%,-,0801f4
13039,95.37%,-, 96.91%,3.09%,-,0007f7
13043,88.09%,-, 94.04%,0.0%,-,0000ef
13045,56.13%, 5.48%, 75.33%,0.0%,-,0d00c0
13047,47.81%, 3.70%, 72.06%,0.0%,-,0900b7
13049,50.43%, 22.41%, 72.84%,0.0%,-,3900b9
13051,66.53%, 7.70%, 79.42%,0.0%,-,1300ca
13053,91.52%, 3.03%, 94.55%,0.0%,-,0700f1
13055,60.51%,-, 79.46%,1.58%,-,0004ca
13057,24.50%, 18.16%, 53.17%,0.0%,-,2e0087
13059,78.22%, 9.58%, 87.80%,0.0%,-,1800df
13061,88.11%, 3.69%, 92.21%,0.0%,-,0900eb
13063,74.29%,-, 86.89%,0.5%,-,0001dd
13065,73.79%, 12.18%, 85.98%,1.84%,-,1f04db
13067,56.70%, 5.90%, 75.40%,0.0%,-,0f00c0
13069,87.99%, 5.36%, 93.35%,1.29%,-,0d03ee
13071,74.17%, 3.47%, 85.35%,0.0%,-,0800d9
13073,92.29%,-, 95.60%,1.1%,-,0002f3
13075,0%,-,-,0.0%,-,000000
13077,84.81%, 6.59%, 91.40%,0.0%,-,1000e9
13079,97.60%,-, 98.56%,1.44%,-,0003fb
13081,70.04%,-, 84.73%,0.59%,-,0001d8
13083,81.39%, 3.61%, 88.89%,0.0%,-,0900e2
13085,22.51%, 36.79%, 59.30%,0.0%,-,5d0097
13087,79.43%, 2.70%, 88.37%,0.0%,-,0600e1
13089,78.62%,-, 88.99%,0.63%,-,0001e2
13091,81.62%, 7.22%, 88.84%,0.0%,-,1200e2
