id,margin,bush,gore,trash,trash2,other
06025,10.25%, 43.28%, 53.53%,-, 2.10%, 1.09%
06027,26.37%, 60.31%, 33.93%,-, 4.40%, 1.36%
06029,24.50%, 60.70%, 36.20%,-,-, 3.09%
06031,18.83%, 57.80%, 38.97%,-, 2.00%, 1.24%
06033,9.65%, 41.58%, 51.23%,-, 6.05%, 1.14%
06035,38.71%, 66.88%, 28.17%,-, 3.20%, 1.75%
06037,31.11%, 32.35%, 63.47%,-, 3.11%, 1.08%
06039,25.85%, 60.74%, 34.89%,-, 3.23%, 1.14%
06041,35.94%, 28.32%, 64.26%,-, 6.73%, 0.70%
06043,23.67%, 58.55%, 34.88%,-, 4.69%, 1.88%
06045,12.68%, 35.66%, 48.34%,-, 14.68%, 1.32%
06047,6.70%, 51.77%, 45.08%,-, 2.31%, 0.84%
06049,49.28%, 72.29%, 23.01%,-, 2.97%, 1.73%
06051,11.62%, 52.53%, 40.91%,-, 5.26%, 1.30%
06053,20.30%, 37.23%, 57.53%,-, 4.30%, 0.93%
06055,14.43%, 39.89%, 54.32%,-, 4.78%, 1.01%
06057,17.54%, 54.76%, 37.22%,-, 6.92%, 1.10%
06059,15.40%, 55.75%, 40.36%,-, 2.76%, 1.13%
06061,23.25%, 59.28%, 36.04%,-, 3.78%, 0.90%
06063,27.74%, 60.98%, 33.25%,-, 4.38%, 1.38%
06065,6.51%, 51.42%, 44.90%,-, 2.59%, 1.09%
06067,3.98%, 45.33%, 49.31%,-, 4.09%, 1.27%
06069,12.57%, 41.68%, 54.25%,-, 3.18%, 0.89%
06071,1.54%, 48.75%, 47.21%,-, 2.59%, 1.45%
06073,3.97%, 49.63%, 45.66%,-, 3.54%, 1.17%
06075,59.44%, 16.10%, 75.54%,-, 7.76%, 0.59%
06077,1.19%, 48.90%, 47.70%,-, 2.51%, 0.89%
06079,11.33%, 52.22%, 40.89%,-, 5.99%, 0.90%
06081,33.33%, 30.95%, 64.29%,-, 4.02%, 0.74%
06083,1.24%, 46.13%, 47.37%,-, 5.59%, 0.91%
06085,26.22%, 34.44%, 60.66%,-, 3.48%, 1.43%
06087,34.14%, 27.34%, 61.48%,-, 10.01%, 1.16%
06089,34.79%, 65.04%, 30.25%,-, 3.20%, 1.51%
