id,margin,willkie,roosevelt,other,hex_color
06089,37.33%, 30.70%, 68.03%, 1.27%,4e03ad
06091,34.60%, 32.38%, 66.98%, 0.63%,5201aa
06093,27.24%, 35.92%, 63.17%, 0.91%,5b02a1
06095,42.07%, 28.51%, 70.58%, 0.90%,4802b3
06097,4.91%, 51.94%, 47.04%, 1.02%,840277
06099,5.33%, 46.63%, 51.96%, 1.41%,760384
06101,15.06%, 42.06%, 57.11%, 0.83%,6b0291
06103,10.64%, 43.95%, 54.59%, 1.46%,70038b
06105,29.04%, 34.79%, 63.83%, 1.38%,5803a2
06107,13.11%, 42.85%, 55.96%, 1.19%,6d038e
06109,27.33%, 35.63%, 62.96%, 1.40%,5a03a0
06111,14.86%, 42.15%, 57.00%, 0.85%,6b0291
06113,18.49%, 40.29%, 58.78%, 0.93%,660295
06115,30.33%, 34.24%, 64.57%, 1.19%,5703a4
08001,0.98%, 50.16%, 49.18%, 0.65%,7f017d
08003,4.73%, 47.39%, 52.12%, 0.49%,780184
08005,2.66%, 50.89%, 48.24%, 0.87%,81027b
08007,7.73%, 53.71%, 45.98%, 0.31%,880075
08009,14.43%, 56.53%, 42.10%, 1.37%,90036b
08011,3.81%, 51.67%, 47.86%, 0.46%,83017a
08013,7.51%, 53.22%, 45.71%, 1.07%,870274
08014,0%,-,-,-,000000
08015,5.34%, 46.91%, 52.24%, 0.85%,770285
08017,9.34%, 54.43%, 45.09%, 0.48%,8a0172
08019,11.41%, 44.15%, 55.55%, 0.30%,70008d
08021,10.01%, 44.81%, 54.82%, 0.38%,72008b
08023,20.28%, 39.40%, 59.68%, 0.91%,640298
08025,24.95%, 62.21%, 37.26%, 0.53%,9e015f
08027,15.91%, 57.37%, 41.46%, 1.17%,920269
08029,15.46%, 57.07%, 41.61%, 1.31%,91036a
08031,5.54%, 46.91%, 52.45%, 0.64%,770185
08033,11.34%, 54.75%, 43.41%, 1.83%,8b046e
08035,23.58%, 61.57%, 38.00%, 0.43%,9d0160
08037,15.48%, 42.00%, 57.49%, 0.51%,6b0192
08039,30.44%, 65.04%, 34.59%, 0.37%,a50058
08041,11.37%, 55.31%, 43.94%, 0.76%,8d0170
08043,10.26%, 54.82%, 44.56%, 0.62%,8b0171
08045,14.88%, 57.18%, 42.30%, 0.51%,91016b
08047,2.12%, 48.65%, 50.77%, 0.59%,7c0181
08049,10.84%, 55.19%, 44.35%, 0.46%,8c0171
08051,6.42%, 46.43%, 52.85%, 0.72%,760186
08053,18.43%, 58.82%, 40.39%, 0.78%,950166
08055,18.35%, 40.65%, 59.00%, 0.36%,670096
08057,19.03%, 59.23%, 40.20%, 0.56%,970166
08059,6.23%, 52.81%, 46.59%, 0.60%,860176
08061,24.34%, 61.86%, 37.52%, 0.63%,9d015f
08063,38.23%, 68.69%, 30.45%, 0.86%,af024d
08065,18.96%, 40.30%, 59.26%, 0.43%,660197
08067,15.36%, 57.39%, 42.03%, 0.58%,92016b
08069,25.03%, 62.15%, 37.12%, 0.73%,9e015e
08071,28.57%, 35.53%, 64.10%, 0.37%,5a00a3
08073,19.91%, 59.57%, 39.66%, 0.77%,970165
08075,23.87%, 61.38%, 37.51%, 1.10%,9c025f
08077,4.33%, 47.27%, 51.60%, 1.13%,780283
08079,8.66%, 45.08%, 53.74%, 1.18%,720389
08081,19.03%, 59.23%, 40.20%, 0.57%,970166
08083,18.95%, 59.25%, 40.29%, 0.46%,970166
08085,10.66%, 54.62%, 43.95%, 1.43%,8b0370
08087,29.39%, 64.30%, 34.91%, 0.79%,a30259
08089,8.84%, 54.11%, 45.27%, 0.61%,890173
08091,1.42%, 49.12%, 50.54%, 0.33%,7d0080
08093,6.29%, 52.98%, 46.70%, 0.32%,870077
08095,11.58%, 54.30%, 42.72%, 2.98%,8a076c
