id,1948,1968,1992
5145,2d21b0,516a43,641b7c
5147,1c558c,2b7959,3110bc
5149,2a0fc4,575e51,531f8a
6001,760e79,5f1189,3427a0
6003,c30c2e,971453,594b56
6005,630992,6b1f73,5a4b57
6007,7d0c74,901953,5e3c61
6009,77097e,851c5d,5a4859
6011,750584,831367,753651
6013,670b8c,711576,4b3081
6015,8a0b69,75186e,544663
6017,6d0c84,7c1c65,654452
6019,5e0a95,6f1478,672a6b
6021,820676,891c58,6e414d
6023,780b7b,751374,4d347a
6025,860672,861a5d,622a6f
6027,8e0a66,8a1b58,6f3c51
6029,6a058f,761b6c,723456
6031,5e0798,6d1779,6a3063
6033,920d5f,7c1769,493f73
6035,5608a0,681d78,5e4953
6037,761077,790e77,4a2d85
6039,600994,6f137b,6e335b
6041,910c61,7f0b6f,3b2c94
6043,8e0a65,7f1965,5b445d
6045,800d70,761671,374480
6047,6c068c,681481,5d3868
6049,760780,851662,634552
6051,a50b4d,a31643,5b4957
6053,810875,7f126b,4f3577
6055,86096f,6f1b73,4a3e73
6057,770f77,831763,643f59
6059,9b075c,a1104c,6f3c50
6061,5e0b95,6c167a,6a3c55
6063,530d9d,5f1886,5c415f
6065,8d0a66,861462,5e3c62
6067,600994,6a1181,5a336f
6069,8d056b,791273,523f6b
6071,7b0979,7f1865,5e3a62
6073,7e0779,8f125b,5b435e
6075,741079,550e98,2d16b8
6077,7d0977,7a176c,603369
6079,880b6b,82106a,584261
6081,900965,6f1078,452e89
6083,940961,880d66,59376c
6085,870b6b,740d7b,48367d
6087,930d5e,811168,373094
6089,650890,67187e,694350
6091,6e0a85,751277,5d4658
6093,6c0889,751474,524465
6095,5507a1,581d88,4b357c
6097,8c0c66,7c136d,3d3886
6099,7b0979,730f7a,5e3768
6101,850672,971551,7f304d
6103,820a72,781c69,5a475b
6105,720f7c,6d216e,4f5853
6107,770780,851464,742f59
6109,7a0c77,79186d,594261
6111,6b078b,821268,5a445e
6113,6f0985,610f8b,472d87
6115,77087e,7a1d66,6e3657
8001,680393,6f1a73,4c4170
8003,71018b,8c1160,563c6a
8005,750286,981153,643d5c
8007,70018c,7e156a,70434a
8009,790283,922249,783e46
8011,6e028d,79166f,55396f
8013,840971,930d5c,433781
8014,000000,0,000000
8015,690293,821566,623e5c
8017,830278,8e1d53,813d3f
8019,80027c,86185f,4d4a63
8021,660394,740a7f,552a7d
8023,5c049d,5205a0,351cab
8025,80017d,80205d,693063
8027,930367,9a1b48,78443f
8029,7c057d,8d1759,693f53
8031,730486,6f0d80,402b8e
8033,70048a,872d4a,5e5548
8035,8e016f,9c1a46,76483f
8037,660b8c,7d136e,48595a
8039,8f026c,9b1b48,6f4f3e
8041,8c036e,891a5a,833445
8043,820378,881a5b,643e5a
8045,7f027d,85195f,50505c
8047,7e057b,862551,424e69
8049,7e037c,ab123f,5b4b57
8051,700687,940e5b,494a69
8053,a3005b,a81d39,644850
8055,5605a2,590b98,4b2a86
8057,860078,ac1240,6f5639
8059,820378,911359,5e425c
8061,870275,8f1758,744247
8063,960266,9b1250,7d4040
8065,5508a1,5a1988,344b7c
8067,820478,911656,5a4260
8069,920269,9e0f4e,5c3f61
8071,4e03ac,540d9c,432595
8073,80017c,911953,774046
8075,7f017d,911854,684253
8077,6e038d,7e1867,693c57
8079,6d0090,6f1579,5a4261
8081,860375,9e1c43,5a5d45
8083,7d027f,8f1f4e,68494b
8085,7b047e,861c5a,694350
8087,880274,9c144e,6a3e55
8089,5401a9,7e1369,5f306a
8091,8c0270,842752,694b4a
8093,8d026f,952147,5b534d
8095,850573,911854,773a4c
8097,6c078a,8f115b,394182
8099,7e027e,7d166a,703853
8101,5c049d,57148f,482c88
8103,8e026d,a4193f,6e4745
8105,860077,940b5f,6c3a56
8107,680491,89195c,495063
8109,780184,850f69,4f3776
8111,77087e,752a5f,426752
8113,6a0390,871364,3c3c84
8115,8b0171,9b0f54,634158
8117,6e018e,921952,445265
8119,7b0380,852e4a,704745
8121,8d0170,9b2141,7b4140
8123,860275,921258,62405b
8125,890173,9f144a,724347
9001,8b096a,84106a,6d2d63
9003,720587,620c8f,513478
9005,930466,7c0d74,5e435c
9007,830477,730e7c,4d436d
9009,7b067c,691381,5d356a
9011,780481,710e7e,4a466b
9013,840575,730d7d,4f4569
9015,760285,680a8c,4e4866
10001,81017c,71305c,623861
10003,7c037e,721d6f,553076
10005,890174,782c5a,633d5d
11001,000000,2e00d0,170ad7
12001,3c655d,564e5a,4c337e
