id,margin,dewey,truman,other
6077,2.07%,49.08%,47.01%,3.91%
6079,11.34%,53.49%,42.14%,4.37%
6081,17.03%,56.69%,39.66%,3.65%
6083,20.10%,58.13%,38.04%,3.83%
6085,11.13%,53.25%,42.11%,4.64%
6087,20.73%,57.68%,36.95%,5.37%
6089,17.17%,39.69%,56.86%,3.45%
6091,9.06%,43.40%,52.46%,4.14%
6093,11.47%,42.53%,54.00%,3.47%
6095,29.79%,33.71%,63.50%,2.79%
6097,15.13%,55.21%,40.08%,4.71%
6099,0.56%,48.38%,47.82%,3.80%
6101,7.39%,52.47%,45.08%,2.45%
6103,6.55%,51.27%,44.72%,4.01%
6105,3.61%,45.08%,48.68%,6.24%
6107,3.23%,46.98%,50.22%,2.80%
6109,1.42%,48.21%,46.78%,5.01%
6111,12.62%,42.15%,54.77%,3.08%
6113,8.63%,43.83%,52.47%,3.70%
6115,2.82%,46.85%,49.68%,3.47%
8001,16.88%,40.95%,57.83%,1.22%
8003,10.17%,44.58%,54.76%,0.66%
8005,6.51%,46.17%,52.67%,1.16%
8007,10.89%,44.19%,55.07%,0.74%
8009,4.07%,47.51%,51.58%,0.91%
8011,12.13%,43.43%,55.56%,1.01%
8013,7.78%,52.09%,44.32%,3.59%
8014,0%,0,0,0.00%
8015,16.45%,41.23%,57.68%,1.09%
8017,4.04%,51.44%,47.40%,1.16%
8019,1.56%,50.24%,48.68%,1.08%
8021,18.40%,40.03%,58.43%,1.54%
8023,25.36%,36.37%,61.73%,1.90%
8025,1.13%,50.34%,49.22%,0.44%
8027,17.29%,58.01%,40.72%,1.27%
8029,0.20%,48.82%,49.02%,2.16%
8031,7.76%,45.17%,52.93%,1.90%
8033,10.36%,43.95%,54.31%,1.74%
8035,12.07%,55.75%,43.68%,0.57%
8037,14.75%,40.31%,55.05%,4.64%
8039,13.76%,56.37%,42.61%,1.02%
8041,12.01%,55.26%,43.25%,1.49%
8043,3.99%,51.25%,47.26%,1.49%
8045,1.08%,50.10%,49.03%,0.87%
8047,0.98%,49.43%,48.45%,2.12%
8049,0.90%,49.74%,48.85%,1.41%
8051,8.94%,44.23%,53.17%,2.60%
8053,27.88%,63.94%,36.06%,0.00%
8055,29.70%,34.03%,63.73%,2.24%
8057,5.83%,52.91%,47.09%,0.00%
8059,3.93%,51.29%,47.36%,1.35%
8061,6.92%,52.97%,46.05%,0.98%
8063,18.61%,58.88%,40.27%,0.85%
8065,29.70%,33.49%,63.19%,3.32%
8067,3.71%,51.03%,47.31%,1.66%
8069,16.15%,57.63%,41.47%,0.90%
8071,36.88%,30.79%,67.67%,1.54%
8073,1.59%,50.52%,48.93%,0.55%
8075,0.68%,49.98%,49.30%,0.72%
8077,11.95%,43.37%,55.32%,1.31%
8079,13.73%,42.99%,56.72%,0.29%
8081,6.69%,52.74%,46.05%,1.21%
8083,0.69%,49.20%,49.89%,0.91%
8085,1.39%,48.34%,49.73%,1.93%
8087,7.91%,53.54%,45.63%,0.83%
8089,33.22%,33.08%,66.30%,0.62%
8091,10.81%,54.93%,44.11%,0.96%
8093,11.46%,55.30%,43.84%,0.86%
8095,7.03%,52.51%,45.49%,2.00%
8097,11.98%,42.48%,54.46%,3.06%
8099,0.16%,49.63%,49.47%,0.90%
8101,25.34%,36.40%,61.75%,1.85%
8103,13.08%,56.03%,42.95%,1.02%
8105,6.06%,52.86%,46.80%,0.34%
8107,16.32%,40.87%,57.19%,1.94%
8109,4.90%,47.19%,52.09%,0.72%
8111,2.71%,47.00%,49.71%,3.29%
8113,15.01%,41.80%,56.81%,1.39%
8115,9.96%,54.63%,44.67%,0.70%
8117,12.74%,43.26%,56.00%,0.74%
8119,2.00%,48.35%,50.36%,1.29%
8121,11.22%,55.31%,44.08%,0.61%
8123,6.40%,52.65%,46.25%,1.10%
8125,8.78%,54.05%,45.26%,0.69%
9001,12.84%,54.65%,41.81%,3.54%
9003,8.34%,44.74%,53.07%,2.19%
9005,17.75%,57.99%,40.23%,1.78%
9007,4.83%,51.56%,46.73%,1.71%
9009,0.33%,48.50%,48.83%,2.67%
9011,3.47%,47.42%,50.90%,1.68%
9013,6.01%,52.01%,45.99%,2.00%
9015,5.91%,46.49%,52.40%,1.11%
10001,1.95%,50.63%,48.68%,0.69%
10003,0.69%,48.92%,49.60%,1.48%
10005,8.36%,53.94%,45.57%,0.49%
11001,0%,0,0,0.00%
12001,1.89%,23.60%,36.78%,39.62%
12003,54.08%,9.52%,72.19%,18.29%
12005,54.36%,12.69%,70.68%,16.63%
12007,29.00%,16.30%,56.07%,27.63%
12009,0.59%,41.61%,42.20%,16.19%
12011,14.53%,50.88%,36.35%,12.77%
12013,63.88%,7.13%,78.26%,14.61%
12015,3.08%,44.09%,41.01%,14.90%
12017,29.00%,27.91%,56.90%,15.19%
12019,29.98%,26.33%,56.31%,17.36%
12021,12.61%,28.07%,41.14%,30.79%
12023,24.58%,16.60%,53.93%,29.47%
12027,28.24%,27.33%,55.57%,17.10%
12029,44.61%,8.73%,67.82%,23.45%
12031,22.09%,25.76%,47.85%,26.39%
12033,41.49%,14.75%,63.11%,22.14%
12035,27.16%,23.77%,23.61%,52.62%
12037,32.11%,12.24%,59.79%,27.97%
12039,15.52%,13.42%,50.93%,35.65%
12041,70.97%,4.34%,83.32%,12.34%
12043,22.34%,27.03%,49.37%,23.60%
12045,63.96%,9.25%,77.20%,13.55%
12047,45.53%,12.53%,66.44%,21.03%
12049,41.37%,24.12%,65.49%,10.39%
