id,1968
18133,832852
18135,911c4f
18137,841d5c
18139,97174f
18141,701c71
18143,6c1f71
18145,862255
18147,82116a
18149,7a2161
18151,9f134b
18153,6e1d73
18155,70216c
18157,970c5a
18159,8b1c56
18161,8e224d
18163,7d1966
18165,6a2271
18167,711d6f
18169,9b0f53
18171,911c50
18173,791f64
18175,7b245d
18177,882154
18179,871660
18181,921754
18183,871a5b
19001,9b0d56
19003,981550
19005,9f0e50
19007,7e136c
19009,920b60
19011,840f68
19013,830d6c
19015,780c77
19017,a70c4a
19019,850d6b
19021,9d0a55
19023,b40940
19025,920d5d
19027,6c0b85
19029,ab0c46
19031,960e61
19033,850d6b
19035,960b5c
19037,840a6f
19039,831269
19041,900c5e
19043,930f5a
19045,840c6d
19047,8d115d
19049,7d0e72
19051,781571
19053,7d0e72
19055,970d59
19057,6b1081
19059,8f0b5e
19061,670c88
19063,960a5e
19065,970d59
19067,950c5c
19069,a10a4f
19071,8e1758
19073,8e0b62
19075,b50a3e
19077,940e5b
19079,920961
19081,970a5b
19083,940b5a
19085,90145a
19087,991054
19089,890b69
19091,980a5b
19093,9e0b54
19095,940d5c
19097,870e67
19099,840c6d
19101,970d58
19103,6f0785
19105,880e69
19107,870c6a
19109,87076f
19111,7d0e72
19113,7a0c76
19115,8f125c
19117,870f67
19119,b9063e
19121,8d0e62
19123,910a5f
19125,850d6a
19127,8f0c61
19129,9f1d42
19131,9a085b
19133,871363
19135,741079
19137,a3104a
19139,910c5d
19141,b00a43
19143,9c0a58
19145,ad123e
19147,7f0975
19149,9e0e52
19151,860b6b
19153,731575
19155,8f1855
19157,8c0b66
19159,91125a
19161,9f0a54
19163,771372
19165,950c5b
19167,cc062c
19169,8f0865
19171,880d67
19173,981452
19175,91105c
19177,970f57
19179,6a1280
19181,801469
19183,9d0b56
19185,8e0f60
19187,7c0d72
19189,970a5c
19191,99095c
19193,810d6f
19195,890c68
19197,910864
20001,981551
20003,901a53
20005,751c6c
20007,9a154e
20009,8b155d
20011,911b51
20013,b01538
20015,811b61
20017,9f1747
20019,a72333
20021,791e69
20023,b41634
20025,942148
20027,b71332
20029,8f115d
20031,a01a43
20033,9f0e4f
20035,8a1e56
20037,731a71
20039,a71442
20041,a41346
20043,a11c40
20045,891b5a
20047,8b145d
20049,a41a3e
20051,771473
20053,921457
20055,841365
20057,861b5c
20059,96194e
20061,811b61
20063,96184f
20065,9a1c46
20067,911c50
20069,8c165a
20071,981a4a
20073,a81540
20075,8f204e
20077,a31446
20079,9d124e
20081,8a1e56
20083,96194d
20085,9a1c46
20087,902846
