id,margin,bush,dukakis,paul,other
04001,24.73%, 36.76%, 61.50%,-, 1.74%
04003,14.27%, 56.38%, 42.11%,-, 1.51%
04005,6.19%, 51.80%, 45.61%, 2.36%, 0.23%
04007,4.67%, 51.38%, 46.72%,-, 1.90%
04009,19.80%, 59.18%, 39.38%,-, 1.44%
04011,6.27%, 46.21%, 52.48%,-, 1.30%
04012,18.65%, 58.55%, 39.90%,-, 1.55%
04013,31.02%, 64.90%, 33.89%,-, 1.21%
04015,26.35%, 62.40%, 36.05%,-, 1.55%
04017,6.96%, 52.82%, 45.86%,-, 1.33%
04019,1.74%, 50.28%, 48.54%,-, 1.17%
04021,3.82%, 51.29%, 47.46%,-, 1.25%
04023,0.78%, 49.63%, 48.85%,-, 1.52%
04025,30.85%, 64.44%, 33.59%,-, 1.97%
04027,19.13%, 58.95%, 39.82%,-, 1.22%
05001,12.94%, 55.61%, 42.68%,-, 1.71%
05003,4.10%, 47.48%, 51.58%,-, 0.95%
05005,27.99%, 63.35%, 35.36%,-, 1.29%
05007,43.67%, 71.23%, 27.55%,-, 1.22%
05009,30.20%, 64.04%, 33.84%,-, 2.12%
05011,1.83%, 48.93%, 50.76%,-, 0.30%
05013,12.46%, 56.14%, 43.69%,-, 0.17%
05015,26.49%, 62.77%, 36.29%,-, 0.94%
05017,12.08%, 43.74%, 55.82%,-, 0.44%
05019,15.82%, 41.69%, 57.50%,-, 0.81%
05021,10.83%, 44.33%, 55.16%,-, 0.51%
05023,18.23%, 58.85%, 40.62%,-, 0.54%
05025,2.01%, 50.75%, 48.73%,-, 0.52%
05027,21.47%, 59.27%, 37.81%,-, 0.57%
05029,0.83%, 49.35%, 50.18%,-, 0.47%
05031,12.97%, 54.99%, 42.02%,-, 2.98%
05033,42.94%, 70.85%, 27.91%,-, 1.23%
05035,5.14%, 51.73%, 46.59%,-, 1.68%
05037,3.17%, 51.29%, 48.12%,-, 0.60%
05039,1.09%, 49.19%, 50.28%,-, 0.53%
05041,9.66%, 42.94%, 52.60%,-, 4.45%
05043,7.42%, 53.29%, 45.87%,-, 0.84%
05045,18.47%, 58.42%, 39.95%,-, 1.64%
05047,18.56%, 58.93%, 40.37%,-, 0.71%
05049,2.53%, 48.47%, 51.00%,-, 0.53%
05051,24.89%, 60.93%, 36.05%,-, 3.02%
05053,11.73%, 55.40%, 43.68%,-, 0.92%
05055,0.93%, 50.06%, 49.13%,-, 0.81%
05057,1.24%, 50.49%, 49.25%,-, 0.26%
05059,9.67%, 44.46%, 54.12%,-, 1.42%
05061,15.96%, 57.87%, 41.92%,-, 0.21%
05063,18.86%, 59.22%, 40.36%,-, 0.43%
05065,3.12%, 51.19%, 48.07%,-, 0.74%
05067,15.81%, 41.90%, 57.71%,-, 0.38%
05069,13.93%, 42.08%, 56.01%,-, 1.91%
05071,17.69%, 58.29%, 40.60%,-, 1.11%
05073,1.45%, 48.95%, 50.39%,-, 0.66%
05075,0.40%, 49.91%, 49.51%,-, 0.58%
05077,21.09%, 38.72%, 59.81%,-, 1.48%
05079,17.05%, 41.04%, 58.09%,-, 0.87%
05081,7.68%, 45.85%, 53.53%,-, 0.63%
05083,27.08%, 62.87%, 35.79%,-, 1.34%
05085,20.09%, 59.68%, 39.59%,-, 0.74%
05087,18.40%, 58.72%, 40.32%,-, 0.96%
05089,18.54%, 57.80%, 39.26%,-, 0.79%
05091,13.25%, 56.30%, 43.05%,-, 0.65%
05093,7.27%, 52.67%, 45.40%,-, 1.93%
05095,4.78%, 46.88%, 51.66%,-, 1.46%
05097,12.46%, 55.99%, 43.53%,-, 0.48%
05099,0.52%, 49.55%, 50.07%,-, 0.38%
05101,25.13%, 62.00%, 36.87%,-, 1.14%
05103,8.87%, 52.29%, 43.42%,-, 2.24%
05105,5.02%, 52.01%, 46.99%,-, 0.99%
05107,17.12%, 39.47%, 56.59%,-, 1.58%
05109,11.17%, 55.44%, 44.27%,-, 0.29%
05111,3.03%, 48.16%, 51.19%,-, 0.65%
05113,25.91%, 62.15%, 36.24%,-, 1.61%
05115,34.01%, 66.68%, 32.67%,-, 0.65%
05117,7.08%, 53.25%, 46.17%,-, 0.57%
05119,11.46%, 54.98%, 43.53%,-, 1.49%
05121,4.08%, 47.25%, 51.33%,-, 1.42%
05123,3.99%, 47.86%, 51.85%,-, 0.29%
05125,18.67%, 58.89%, 40.22%,-, 0.90%
05127,18.77%, 58.82%, 40.05%,-, 1.13%
05129,33.86%, 66.21%, 32.34%,-, 1.45%
05131,42.81%, 70.94%, 28.13%,-, 0.94%
05133,5.02%, 52.09%, 47.08%,-, 0.83%
05135,10.10%, 54.79%, 44.69%,-, 0.51%
05137,11.56%, 55.17%, 43.61%,-, 1.21%
05139,26.95%, 61.32%, 34.37%,-, 4.31%
05141,15.38%, 57.37%, 41.99%,-, 0.64%
05143,30.13%, 64.38%, 34.25%,-, 1.36%
05145,22.69%, 60.84%, 38.15%,-, 1.00%
05147,27.26%, 36.16%, 63.41%,-, 0.43%
05149,12.19%, 55.84%, 43.64%,-, 0.52%
06001,30.79%, 33.99%, 64.78%,-, 1.23%
06003,13.77%, 55.43%, 41.67%,-, 2.90%
06005,13.75%, 55.87%, 42.12%,-, 2.01%
06007,13.59%, 56.04%, 42.45%,-, 1.51%
06009,14.48%, 56.28%, 41.80%,-, 1.92%
06011,20.40%, 59.49%, 39.10%,-, 1.41%
06013,3.25%, 47.86%, 51.10%,-, 1.04%
06015,1.70%, 49.73%, 48.03%,-, 2.24%
06017,20.20%, 59.33%, 39.13%,-, 1.54%
06019,1.16%, 49.95%, 48.79%,-, 1.26%
06021,25.73%, 62.06%, 36.33%,-, 1.61%
06023,15.96%, 41.15%, 57.11%,-, 1.74%
06025,11.32%, 55.16%, 43.84%,-, 1.00%
06027,30.48%, 64.34%, 33.85%,-, 1.81%
