id,margin,reagan,carter,other,anderson,hex_color
08059,34.12%, 59.66%, 25.54%, 12.01%,12.39%,981f41
08061,36.50%, 65.06%, 28.56%, 5.26%,6.38%,a51048
08063,50.15%, 71.78%, 21.63%, 5.06%,6.59%,b71037
08065,5.36%, 45.45%, 40.10%, 9.55%,10.48%,731a66
08067,34.89%, 59.76%, 24.87%, 12.60%,15.379999999999999%,98273f
08069,29.89%, 56.51%, 26.62%, 13.86%,14.559999999999999%,902543
08071,16.20%, 39.37%, 55.57%, 3.75%,5.0600000000000005%,640c8d
08073,39.35%, 64.74%, 25.39%, 7.38%,7.46%,a51340
08075,35.04%, 63.16%, 28.12%, 7.09%,8.719999999999999%,a11647
08077,45.99%, 68.92%, 22.93%, 6.09%,8.15%,af143a
08079,32.44%, 60.22%, 27.78%, 9.11%,9.11%,991746
08081,45.99%, 67.90%, 21.91%, 6.68%,7.369999999999999%,ad1237
08083,44.17%, 68.60%, 24.43%, 4.58%,4.91%,ae0c3e
08085,45.44%, 68.21%, 22.78%, 6.48%,6.710000000000001%,ad113a
08087,35.55%, 62.50%, 26.95%, 8.32%,10.55%,9f1a44
08089,17.12%, 54.55%, 37.43%, 6.50%,8.02%,8b145f
08091,47.96%, 67.69%, 19.73%, 10.74%,12.57%,ac2032
08093,34.70%, 59.34%, 24.64%, 10.71%,11.55%,971d3e
08095,36.02%, 63.21%, 27.19%, 8.20%,9.6%,a11845
08097,7.25%, 39.75%, 32.49%, 20.82%,22.5%,653952
08099,27.74%, 59.77%, 32.02%, 6.52%,8.209999999999999%,981451
08101,2.38%, 44.72%, 47.10%, 6.68%,8.18%,721478
08103,57.01%, 74.46%, 17.45%, 5.40%,5.7%,bd0e2c
08105,32.84%, 63.37%, 30.53%, 4.12%,6.1%,a10f4d
08107,24.32%, 53.33%, 29.01%, 13.73%,14.24%,872449
08109,10.82%, 52.65%, 41.83%, 3.33%,5.53%,860e6a
08111,22.22%, 48.82%, 26.59%, 17.12%,18.03%,7c2d43
08113,6.80%, 42.79%, 35.99%, 16.42%,18.19%,6d2e5b
08115,41.74%, 67.39%, 25.64%, 5.85%,6.96%,ab1141
08117,17.04%, 46.54%, 29.51%, 19.40%,20.11%,76334b
08119,44.65%, 66.28%, 21.63%, 8.69%,9.2%,a91737
08121,51.19%, 71.40%, 20.21%, 5.69%,5.9%,b60f33
08123,30.67%, 58.80%, 28.13%, 10.60%,13.07%,952147
08125,46.58%, 68.89%, 22.31%, 6.82%,8.790000000000001%,af1638
09001,21.17%, 54.88%, 33.71%, 10.42%,11.42%,8b1d55
09003,3.87%, 40.46%, 44.33%, 14.23%,15.200000000000001%,672671
09005,15.74%, 50.72%, 34.98%, 13.13%,14.3%,812459
09007,6.63%, 45.53%, 38.90%, 14.23%,15.57%,742763
09009,11.29%, 50.05%, 38.76%, 10.20%,11.19%,7f1c62
09011,10.76%, 47.96%, 37.21%, 13.79%,14.829999999999998%,7a255e
09013,7.09%, 43.95%, 36.86%, 17.69%,19.19%,70305d
09015,8.65%, 47.82%, 39.18%, 11.58%,13.0%,792163
10001,6.69%, 49.84%, 43.15%, 6.13%,7.02%,7f116e
10003,0.00%, 45.66%, 45.66%, 7.62%,8.69%,741674
10005,9.36%, 52.09%, 42.73%, 4.36%,5.180000000000001%,840d6c
