id,margin,ford,carter,other
08057,23.53%, 60.83%, 37.30%, 1.87%
08059,23.81%, 60.44%, 36.64%, 0.74%
08061,6.07%, 52.59%, 46.53%, 0.88%
08063,6.67%, 52.28%, 45.61%, 2.10%
08065,0.79%, 48.03%, 47.24%, 2.01%
08067,22.61%, 59.05%, 36.44%, 1.55%
08069,24.85%, 60.72%, 35.87%, 0.85%
08071,25.70%, 36.45%, 62.15%, 1.41%
08073,9.09%, 53.46%, 44.37%, 2.18%
08075,8.93%, 53.32%, 44.39%, 2.29%
08077,33.29%, 65.44%, 32.15%, 2.41%
08079,16.08%, 55.56%, 39.48%, 0.24%
08081,17.19%, 55.68%, 38.49%, 2.65%
08083,19.49%, 57.99%, 38.50%, 0.58%
08085,20.21%, 58.42%, 38.20%, 0.72%
08087,9.33%, 53.34%, 44.01%, 2.64%
08089,5.37%, 51.54%, 46.17%, 2.30%
08091,30.23%, 62.50%, 32.27%, 0.48%
08093,15.65%, 55.24%, 39.58%, 1.60%
08095,1.31%, 48.12%, 49.43%, 0.42%
08097,13.81%, 53.61%, 39.80%, 1.07%
08099,5.06%, 46.13%, 51.20%, 2.67%
08101,16.22%, 41.02%, 57.24%, 1.74%
08103,37.94%, 67.24%, 29.30%, 0.79%
08105,27.35%, 62.37%, 35.02%, 0.52%
08107,13.27%, 54.13%, 40.86%, 0.92%
08109,1.58%, 49.50%, 47.92%, 0.27%
08111,13.14%, 53.77%, 40.63%, 0.49%
08113,3.66%, 43.83%, 47.50%, 1.20%
08115,7.59%, 53.06%, 45.47%, 1.47%
08117,23.54%, 58.15%, 34.62%, 1.94%
08119,16.82%, 55.93%, 39.11%, 1.23%
08121,8.37%, 52.63%, 44.26%, 0.88%
08123,13.79%, 55.35%, 41.56%, 0.76%
08125,7.22%, 52.20%, 44.98%, 0.71%
09001,16.96%, 58.15%, 41.18%, 0.67%
09003,4.39%, 47.51%, 51.90%, 0.59%
09005,11.26%, 55.32%, 44.06%, 0.62%
09007,3.33%, 51.39%, 48.05%, 0.56%
09009,5.07%, 52.17%, 47.10%, 0.73%
09011,1.41%, 50.40%, 48.98%, 0.62%
09013,1.33%, 50.41%, 49.08%, 0.51%
09015,7.15%, 46.11%, 53.26%, 0.62%
