id,margin,bush,dukakis,trash,other,hex_color
05059,9.67%, 44.46%, 54.12%,-,1.4200000000000017%,71038a
05061,15.96%, 57.87%, 41.92%,-,0.21000000000000796%,93006a
05063,18.86%, 59.22%, 40.36%,-,0.4200000000000017%,970166
05065,3.12%, 51.19%, 48.07%,-,0.7400000000000091%,82017a
05067,15.81%, 41.90%, 57.71%,-,0.39000000000000057%,6a0093
05069,13.93%, 42.08%, 56.01%,-,1.9099999999999966%,6b048e
05071,17.69%, 58.29%, 40.60%,-,1.1099999999999994%,940267
05073,1.45%, 48.95%, 50.39%,-,0.6599999999999966%,7c0180
05075,0.40%, 49.91%, 49.51%,-,0.5800000000000125%,7f017e
05077,21.09%, 38.72%, 59.81%,-,1.4699999999999989%,620398
05079,17.05%, 41.04%, 58.09%,-,0.8700000000000045%,680294
05081,7.68%, 45.85%, 53.53%,-,0.6200000000000045%,740188
05083,27.08%, 62.87%, 35.79%,-,1.3400000000000034%,a0035b
05085,20.09%, 59.68%, 39.59%,-,0.7299999999999898%,980164
05087,18.40%, 58.72%, 40.32%,-,0.960000000000008%,950266
05089,18.54%, 57.80%, 39.26%,-,2.9399999999999977%,930764
05091,13.25%, 56.30%, 43.05%,-,0.6500000000000057%,8f016d
05093,7.27%, 52.67%, 45.40%,-,1.9300000000000068%,860473
05095,4.78%, 46.88%, 51.66%,-,1.460000000000008%,770383
05097,12.46%, 55.99%, 43.53%,-,0.47999999999998977%,8e016f
05099,0.52%, 49.55%, 50.07%,-,0.37999999999999545%,7e007f
05101,25.13%, 62.00%, 36.87%,-,1.1299999999999955%,9e025e
05103,8.87%, 52.29%, 43.42%,-,4.289999999999992%,850a6e
05105,5.02%, 52.01%, 46.99%,-,1.0%,840277
05107,17.12%, 39.47%, 56.59%,-,3.9399999999999977%,640a90
05109,11.17%, 55.44%, 44.27%,-,0.28999999999999204%,8d0070
05111,3.03%, 48.16%, 51.19%,-,0.6500000000000057%,7a0182
05113,25.91%, 62.15%, 36.24%,-,1.6099999999999994%,9e045c
05115,34.01%, 66.68%, 32.67%,-,0.6499999999999915%,aa0153
05117,7.08%, 53.25%, 46.17%,-,0.5799999999999983%,870175
05119,11.46%, 54.98%, 43.53%,-,1.490000000000009%,8c036f
05121,4.08%, 47.25%, 51.33%,-,1.4200000000000017%,780382
05123,3.99%, 47.86%, 51.85%,-,0.28999999999999204%,7a0084
05125,18.67%, 58.89%, 40.22%,-,0.8900000000000006%,960266
05127,18.77%, 58.82%, 40.05%,-,1.1299999999999955%,950266
05129,33.86%, 66.21%, 32.34%,-,1.4500000000000028%,a80352
05131,42.81%, 70.94%, 28.13%,-,0.9300000000000068%,b40247
05133,5.02%, 52.09%, 47.08%,-,0.8299999999999983%,840278
05135,10.10%, 54.79%, 44.69%,-,0.5200000000000102%,8b0171
05137,11.56%, 55.17%, 43.61%,-,1.2199999999999989%,8c036f
05139,26.95%, 61.32%, 34.37%,-,4.310000000000002%,9c0a57
05141,15.38%, 57.37%, 41.99%,-,0.6400000000000006%,92016b
05143,30.13%, 64.38%, 34.25%,-,1.3700000000000045%,a40357
05145,22.69%, 60.84%, 38.15%,-,1.009999999999991%,9b0261
05147,27.26%, 36.16%, 63.41%,-,0.4300000000000068%,5c01a1
05149,12.19%, 55.84%, 43.64%,-,0.519999999999996%,8e016f
06001,30.79%, 33.99%, 64.78%,-,1.2299999999999898%,5603a5
06003,13.77%, 55.43%, 41.67%,-,2.9000000000000057%,8d076a
06005,13.75%, 55.87%, 42.12%,-,2.010000000000005%,8e056b
06007,13.59%, 56.04%, 42.45%,-,1.509999999999991%,8e036c
06009,14.48%, 56.28%, 41.80%,-,1.9200000000000017%,8f046a
06011,20.40%, 59.49%, 39.10%,-,1.4099999999999966%,970363
06013,3.25%, 47.86%, 51.10%,-,1.039999999999992%,7a0282
06015,1.70%, 49.73%, 48.03%,-,2.240000000000009%,7e057a
06017,20.20%, 59.33%, 39.13%,-,1.539999999999992%,970363
06019,1.16%, 49.95%, 48.79%,-,1.259999999999991%,7f037c
06021,25.73%, 62.06%, 36.33%,-,1.6099999999999994%,9e045c
06023,15.96%, 41.15%, 57.11%,-,1.740000000000009%,680491
06025,11.32%, 55.16%, 43.84%,-,1.0%,8c026f
06027,30.48%, 64.34%, 33.85%,-,1.8100000000000023%,a40456
06029,24.08%, 61.48%, 37.40%,-,1.1200000000000045%,9c025f
06031,13.85%, 56.41%, 42.56%,-,1.0300000000000011%,8f026c
06033,2.37%, 48.03%, 50.39%,-,1.5799999999999983%,7a0480
06035,19.44%, 58.59%, 39.15%,-,2.259999999999991%,950563
06037,5.02%, 46.88%, 51.89%,-,1.2299999999999898%,770384
06039,10.76%, 54.59%, 43.83%,-,1.5799999999999983%,8b046f
06041,19.11%, 39.73%, 58.85%,-,1.4200000000000017%,650396
06043,11.14%, 54.53%, 43.39%,-,2.0799999999999983%,8b056e
06045,13.48%, 41.94%, 55.42%,-,2.6400000000000006%,6a068d
06047,3.80%, 51.20%, 47.40%,-,1.4000000000000057%,820378
06049,27.43%, 62.68%, 35.25%,-,2.069999999999993%,9f0559
06051,25.18%, 61.38%, 36.20%,-,2.4199999999999875%,9c065c
06053,1.02%, 49.83%, 48.81%,-,1.3599999999999994%,7f037c
06055,2.06%, 50.19%, 48.14%,-,1.6700000000000017%,7f047a
06057,17.29%, 57.76%, 40.46%,-,1.7800000000000011%,930467
06059,36.66%, 67.75%, 31.09%,-,1.1599999999999966%,ac024f
06061,20.64%, 59.59%, 38.95%,-,1.4599999999999937%,970363
06063,3.90%, 51.06%, 47.15%,-,1.789999999999992%,820478
06065,19.88%, 59.46%, 39.58%,-,0.960000000000008%,970264
06067,3.35%, 51.01%, 47.65%,-,1.3400000000000034%,820379
06069,9.89%, 54.11%, 44.23%,-,1.6599999999999966%,890470
06071,21.44%, 59.99%, 38.55%,-,1.460000000000008%,980362
06073,21.85%, 60.19%, 38.34%,-,1.4699999999999989%,990361
06075,46.64%, 26.14%, 72.78%,-,1.0799999999999983%,4202b9
