id,margin,hoover,roosevelt,other,hex_color
05091,83.96%, 7.61%, 91.57%, 0.83%,1302e9
05093,87.25%, 5.87%, 93.12%, 1.02%,0e02ed
05095,81.81%, 8.79%, 90.59%, 0.62%,1601e7
05097,73.84%, 12.13%, 85.97%, 1.90%,1e04db
05099,84.28%, 7.68%, 91.97%, 0.35%,1300ea
05101,26.56%, 35.76%, 62.32%, 1.92%,5b049e
05103,75.51%, 12.15%, 87.66%, 0.20%,1e00df
05105,83.04%, 8.34%, 91.38%, 0.27%,1500e9
05107,90.14%, 4.52%, 94.66%, 0.83%,0b02f1
05109,78.60%, 10.61%, 89.21%, 0.18%,1b00e3
05111,87.58%, 5.44%, 93.01%, 1.55%,0d03ed
05113,71.77%, 11.90%, 83.67%,-,1e00d5
05115,78.13%, 10.36%, 88.49%, 1.15%,1a02e1
05117,82.94%, 8.27%, 91.21%, 0.52%,1501e8
05119,71.58%, 13.87%, 85.46%, 0.67%,2301d9
05121,80.92%, 9.18%, 90.10%, 0.71%,1701e5
05123,87.07%, 5.49%, 92.56%, 1.94%,0d04ec
05125,88.45%, 5.03%, 93.47%, 1.50%,0c03ee
05127,66.16%, 13.26%, 79.42%,-,2100ca
05129,5.59%, 46.79%, 52.38%, 0.83%,770285
05131,58.61%, 20.26%, 78.87%, 0.88%,3302c9
05133,84.22%, 7.39%, 91.61%, 1.00%,1202e9
05135,80.32%, 9.57%, 89.89%, 0.54%,1801e5
05137,60.36%, 18.78%, 79.14%,-,2f00c9
05139,90.35%, 4.27%, 94.61%, 1.12%,0a02f1
05141,55.19%, 21.85%, 77.04%, 1.11%,3702c4
05143,52.59%, 22.77%, 75.36%, 1.86%,3a04c0
05145,76.14%, 11.61%, 87.75%, 0.65%,1d01df
05147,85.51%, 6.68%, 92.19%, 1.14%,1102eb
05149,75.90%, 11.88%, 87.77%, 0.35%,1e00df
06001,8.36%, 43.68%, 52.04%, 1.06%,6f0284
06003,2.68%, 47.32%, 50.00%, 2.68%,78067f
06005,47.63%, 25.34%, 72.97%, 1.70%,4004ba
06007,35.89%, 29.14%, 65.03%, 2.30%,4a05a5
06009,38.09%, 29.01%, 67.10%, 1.35%,4903ab
06011,41.61%, 27.50%, 69.11%, 3.39%,4608b0
06013,21.60%, 37.33%, 58.94%, 0.95%,5f0296
06015,33.12%, 30.94%, 64.06%, 1.51%,4e03a3
06017,50.25%, 23.12%, 73.37%, 1.48%,3a03bb
06019,43.82%, 26.07%, 69.90%, 1.43%,4203b2
06021,33.73%, 31.34%, 65.07%, 3.59%,4f09a5
06023,11.98%, 42.22%, 54.20%, 1.57%,6b048a
06025,38.26%, 29.01%, 67.28%, 1.61%,4904ab
06027,33.70%, 30.91%, 64.61%, 1.64%,4e04a4
06029,45.21%, 25.11%, 70.32%, 1.12%,4002b3
06031,42.33%, 26.72%, 69.05%, 4.23%,440ab0
06033,27.86%, 34.75%, 62.61%, 2.64%,58069f
06035,43.53%, 26.89%, 70.41%, 2.70%,4406b3
06037,18.64%, 38.55%, 57.19%, 1.43%,620391
06039,44.93%, 25.22%, 70.15%, 2.62%,4006b2
06041,19.32%, 38.13%, 57.45%, 0.58%,610192
06043,40.53%, 27.48%, 68.01%, 2.11%,4605ad
06045,26.20%, 35.23%, 61.43%, 3.34%,59089c
06047,39.89%, 27.20%, 67.10%, 2.19%,4505ab
06049,41.41%, 27.45%, 68.86%, 3.69%,4509af
06051,30.12%, 34.25%, 64.37%, 1.38%,5703a4
06053,17.41%, 39.37%, 56.77%, 1.81%,640490
06055,23.35%, 36.97%, 60.32%, 2.71%,5e0699
06057,30.41%, 32.92%, 63.33%, 1.32%,5303a1
06059,2.46%, 45.91%, 48.37%, 2.52%,75067b
06061,45.58%, 25.82%, 71.40%, 2.78%,4107b6
06063,54.14%, 21.68%, 75.82%, 0.48%,3701c1
06065,4.83%, 50.20%, 45.37%, 1.96%,800473
06067,41.58%, 27.74%, 69.32%, 2.94%,4607b0
06069,27.08%, 33.89%, 60.98%, 2.24%,56059b
06071,5.64%, 44.59%, 50.23%, 2.15%,710580
06073,12.12%, 41.46%, 53.58%, 1.31%,690388
06075,33.19%, 31.43%, 64.62%, 1.35%,5003a4
06077,31.14%, 32.19%, 63.33%, 1.20%,5203a1
06079,37.17%, 28.59%, 65.77%, 2.18%,4805a7
06081,16.68%, 39.68%, 56.36%, 1.07%,65028f
06083,19.36%, 38.06%, 57.42%, 1.49%,610392
06085,1.60%, 47.54%, 49.14%, 0.92%,79027d
06087,14.95%, 40.06%, 55.01%, 2.89%,66078c
06089,48.22%, 23.90%, 72.12%, 1.38%,3c03b7
06091,43.94%, 25.46%, 69.40%, 1.22%,4003b0
06093,42.56%, 26.76%, 69.33%, 1.13%,4402b0
06095,36.86%, 30.30%, 67.16%, 2.54%,4d06ab
06097,25.42%, 35.69%, 61.11%, 0.93%,5b029b
06099,22.44%, 36.18%, 58.63%, 0.13%,5c0095
06101,44.66%, 25.74%, 70.41%, 3.85%,4109b3
06103,26.20%, 34.20%, 60.40%, 0.68%,57019a
06105,51.92%, 21.09%, 73.01%, 2.39%,3506ba
06107,30.26%, 32.27%, 62.53%, 0.68%,52019f
06109,36.27%, 30.18%, 66.45%, 1.34%,4c03a9
06111,21.55%, 37.27%, 58.82%, 1.57%,5f0495
06113,38.28%, 29.49%, 67.77%, 2.74%,4b06ac
