id,margin,bush,clinton,perot,hex_color
12037,2.95%, 37.99%, 35.05%, 26.12%,604259
12039,31.34%, 27.62%, 58.96%, 13.00%,462196
12041,2.89%, 34.73%, 37.62%, 27.13%,58455f
12043,3.56%, 35.12%, 38.68%, 26.02%,594262
12045,12.18%, 45.29%, 33.11%, 21.27%,733654
12047,5.91%, 37.64%, 43.54%, 18.66%,5f2f6f
12049,13.71%, 45.08%, 31.37%, 23.30%,723b4f
12051,7.34%, 40.91%, 33.57%, 25.35%,684055
12053,2.59%, 36.47%, 39.06%, 24.14%,5c3d63
12055,10.07%, 44.76%, 34.69%, 20.35%,723358
12057,4.95%, 42.07%, 37.13%, 20.31%,6b335e
12059,20.21%, 48.96%, 28.75%, 21.86%,7c3749
12061,15.39%, 43.54%, 28.12%, 28.15%,6f4747
12063,8.47%, 45.82%, 37.35%, 16.69%,742a5f
12065,16.35%, 32.19%, 48.55%, 19.13%,52307b
12067,6.81%, 41.15%, 34.34%, 24.24%,683d57
12069,10.93%, 44.17%, 33.24%, 22.37%,703954
12071,11.91%, 44.24%, 32.32%, 23.16%,703b52
12073,16.25%, 32.87%, 49.12%, 17.69%,532d7d
12075,4.88%, 34.71%, 39.59%, 25.46%,584064
12077,11.88%, 43.71%, 31.83%, 23.95%,6f3d51
12079,10.98%, 34.38%, 45.36%, 20.11%,573373
12081,8.86%, 42.63%, 33.77%, 23.24%,6c3b56
12083,5.30%, 40.74%, 35.44%, 23.60%,673c5a
12085,18.80%, 46.63%, 27.83%, 25.27%,764046
12086,3.54%, 43.19%, 46.73%, 9.91%,6e1977
12087,1.92%, 34.38%, 36.30%, 28.88%,57495c
12089,21.26%, 51.54%, 30.28%, 17.91%,832d4d
12091,26.14%, 53.13%, 19.49%, 26.99%,874431
12093,1.28%, 35.20%, 36.48%, 28.25%,59485d
12095,11.01%, 45.90%, 34.89%, 18.92%,753058
12097,9.13%, 42.29%, 33.16%, 24.35%,6b3e54
12099,11.73%, 34.63%, 46.36%, 18.81%,582f76
12101,3.97%, 35.11%, 39.08%, 25.49%,594063
