id,margin,bush,kerry,trash1,trash2,trash1,other,hex_color
05049,3.07%, 50.90%, 47.83%,-,-, 1.27%,1.2700000000000102%,810379
05051,9.20%, 54.13%, 44.93%,-,-, 0.95%,0.9399999999999977%,8a0272
05053,24.83%, 62.11%, 37.28%,-,-, 0.61%,0.6099999999999994%,9e015f
05055,4.82%, 51.86%, 47.04%,-,-, 1.10%,1.0999999999999943%,840277
05057,3.18%, 48.04%, 51.22%,-,-, 0.74%,0.7400000000000091%,7a0182
05059,0.49%, 49.40%, 48.91%,-,-, 1.69%,1.6899999999999977%,7d047c
05061,11.53%, 55.35%, 43.82%,-,-, 0.83%,0.8299999999999983%,8d026f
05063,15.27%, 57.11%, 41.83%,-,-, 1.06%,1.0600000000000023%,91026a
05065,4.50%, 51.57%, 47.08%,-,-, 1.35%,1.3499999999999943%,830378
05067,14.33%, 42.19%, 56.52%,-,-, 1.29%,1.289999999999992%,6b0390
05069,31.01%, 33.51%, 64.52%,-,-, 1.97%,1.9699999999999989%,5505a4
05071,8.57%, 53.59%, 45.03%,-,-, 1.38%,1.3799999999999955%,880372
05073,1.16%, 50.27%, 49.11%,-,-, 0.63%,0.6200000000000045%,80017d
05075,8.96%, 44.61%, 53.58%,-,-, 1.81%,1.8100000000000023%,710488
05077,25.88%, 36.57%, 62.45%,-,-, 0.98%,0.9799999999999898%,5d029f
05079,5.55%, 46.75%, 52.30%,-,-, 0.95%,0.9500000000000028%,770285
05081,1.93%, 48.64%, 50.57%,-,-, 0.79%,0.789999999999992%,7c0280
05083,20.06%, 59.36%, 39.31%,-,-, 1.33%,1.3299999999999983%,970364
05085,31.52%, 65.36%, 33.84%,-,-, 0.81%,0.7999999999999972%,a60256
05087,22.74%, 60.67%, 37.92%,-,-, 1.41%,1.4099999999999966%,9a0360
05089,22.21%, 60.10%, 37.89%,-,-, 2.01%,2.009999999999991%,990560
05091,15.73%, 57.56%, 41.82%,-,-, 0.62%,0.6200000000000045%,92016a
05093,10.40%, 43.25%, 53.65%,-,-, 3.10%,3.0999999999999943%,6e0788
05095,12.63%, 43.25%, 55.88%,-,-, 0.87%,0.8700000000000045%,6e028e
05097,21.30%, 59.80%, 38.50%,-,-, 1.69%,1.7000000000000028%,980462
05099,1.67%, 50.39%, 48.72%,-,-, 0.89%,0.8900000000000006%,80027c
05101,29.08%, 63.48%, 34.40%,-,-, 2.12%,2.1200000000000045%,a10557
05103,1.47%, 50.19%, 48.71%,-,-, 1.10%,1.0999999999999943%,7f027c
05105,11.60%, 54.95%, 43.35%,-,-, 1.69%,1.6999999999999886%,8c046e
05107,27.98%, 35.65%, 63.62%,-,-, 0.73%,0.730000000000004%,5a01a2
05109,20.88%, 59.79%, 38.91%,-,-, 1.31%,1.3000000000000114%,980363
05111,6.66%, 46.03%, 52.69%,-,-, 1.28%,1.2800000000000011%,750386
05113,34.86%, 66.57%, 31.71%,-,-, 1.72%,1.7199999999999989%,a90450
05115,31.16%, 65.13%, 33.97%,-,-, 0.90%,0.9000000000000057%,a60256
05117,12.91%, 56.02%, 43.10%,-,-, 0.88%,0.8799999999999955%,8e026d
05119,10.82%, 44.20%, 55.03%,-,-, 0.77%,0.769999999999996%,70018c
05121,3.81%, 47.37%, 51.18%,-,-, 1.45%,1.4500000000000028%,780382
05123,19.49%, 39.79%, 59.28%,-,-, 0.93%,0.9300000000000068%,650297
05125,27.20%, 63.15%, 35.94%,-,-, 0.91%,0.9099999999999966%,a1025b
05127,25.78%, 62.26%, 36.48%,-,-, 1.26%,1.2600000000000051%,9e035d
05129,29.93%, 64.25%, 34.32%,-,-, 1.43%,1.4300000000000068%,a30357
05131,24.48%, 61.76%, 37.27%,-,-, 0.97%,0.9699999999999989%,9d025f
05133,10.45%, 54.68%, 44.23%,-,-, 1.09%,1.0900000000000034%,8b0270
05135,11.14%, 54.85%, 43.71%,-,-, 1.45%,1.4399999999999977%,8b036f
05137,16.81%, 57.45%, 40.64%,-,-, 1.91%,1.9099999999999966%,920467
05139,19.24%, 58.89%, 39.65%,-,-, 1.45%,1.460000000000008%,960365
05141,9.19%, 54.08%, 44.89%,-,-, 1.03%,1.0300000000000011%,890272
05143,12.68%, 55.73%, 43.05%,-,-, 1.22%,1.2199999999999989%,8e036d
05145,29.79%, 64.34%, 34.55%,-,-, 1.12%,1.1099999999999994%,a40258
05147,31.43%, 33.74%, 65.17%,-,-, 1.09%,1.0900000000000034%,5602a6
05149,11.49%, 55.23%, 43.75%,-,-, 1.02%,1.0200000000000102%,8c026f
06001,51.89%, 23.29%, 75.18%,-,-, 1.53%,1.5300000000000011%,3b03bf
06003,8.84%, 44.37%, 53.21%,-,-, 2.43%,2.4200000000000017%,710687
06005,25.52%, 62.08%, 36.56%,-,-, 1.36%,1.3599999999999994%,9e035d
06007,9.58%, 53.73%, 44.14%,-,-, 2.13%,2.1299999999999955%,890570
06009,23.79%, 60.87%, 37.09%,-,-, 2.04%,2.039999999999992%,9b055e
06011,35.60%, 67.17%, 31.58%,-,-, 1.25%,1.25%,ab0350
06013,25.82%, 36.46%, 62.28%,-,-, 1.25%,1.259999999999991%,5c039e
06015,15.54%, 56.85%, 41.31%,-,-, 1.84%,1.8400000000000034%,900469
06017,23.89%, 61.23%, 37.33%,-,-, 1.44%,1.4399999999999977%,9c035f
