id,margin,reagan,mondale,hall,other,hex_color
05075,21.64%, 60.50%, 38.86%,-,0.64%,9a0163
05077,9.33%, 44.54%, 53.87%,-,1.59%,710489
05079,12.78%, 43.54%, 56.32%,-,0.14%,6f008f
05081,20.11%, 59.58%, 39.47%,-,0.94%,970264
05083,27.39%, 63.14%, 35.75%,-,1.11%,a1025b
05085,28.83%, 64.11%, 35.28%,-,0.62%,a30159
05087,24.25%, 61.65%, 37.40%,-,0.95%,9d025f
05089,28.96%, 64.17%, 35.21%,-,0.62%,a30159
05091,27.63%, 63.43%, 35.80%,-,0.76%,a1015b
05093,14.81%, 57.30%, 42.49%,-,0.21%,92006c
05095,1.91%, 50.45%, 48.54%,-,1.01%,80027b
05097,19.27%, 59.12%, 39.85%,-,1.04%,960265
05099,13.70%, 56.65%, 42.94%,-,0.41%,90016d
05101,31.99%, 65.88%, 33.88%,-,0.24%,a70056
05103,6.43%, 51.19%, 44.76%,-,4.06%,820a72
05105,18.48%, 58.82%, 40.34%,-,0.83%,950266
05107,11.75%, 43.70%, 55.45%,-,0.85%,6f028d
05109,29.67%, 64.72%, 35.04%,-,0.24%,a50059
05111,17.90%, 58.64%, 40.74%,-,0.62%,950167
05113,41.70%, 70.15%, 28.45%,-,1.41%,b20348
05115,35.23%, 67.28%, 32.05%,-,0.67%,ab0151
05117,25.03%, 62.10%, 37.07%,-,0.83%,9e025e
05119,17.55%, 58.20%, 40.65%,-,1.15%,940267
05121,11.88%, 55.61%, 43.73%,-,0.66%,8d016f
05123,4.96%, 52.10%, 47.14%,-,0.76%,840178
05125,24.52%, 60.68%, 36.16%,-,0.46%,9a015c
05127,30.94%, 65.11%, 34.17%,-,0.72%,a60157
05129,35.85%, 67.10%, 31.25%,-,1.64%,ab044f
05131,51.35%, 74.95%, 23.60%,-,1.45%,bf033c
05133,25.80%, 62.64%, 36.84%,-,0.51%,9f015d
05135,27.42%, 63.38%, 35.96%,-,0.66%,a1015b
05137,16.59%, 57.48%, 40.89%,-,1.63%,920468
05139,32.65%, 65.74%, 33.09%,-,1.16%,a70254
05141,22.99%, 60.97%, 37.98%,-,1.05%,9b0260
05143,37.26%, 68.10%, 30.84%,-,1.05%,ad024e
05145,30.68%, 64.66%, 33.97%,-,1.37%,a40356
05147,10.11%, 44.56%, 54.67%,-,0.77%,71018b
05149,20.17%, 59.56%, 39.39%,-,1.06%,970264
06001,18.64%, 40.01%, 58.65%,-,1.34%,660395
06003,15.02%, 56.65%, 41.63%,-,1.72%,90046a
06005,24.62%, 61.48%, 36.86%,-,1.66%,9c045d
06007,27.74%, 63.06%, 35.32%,-,1.61%,a0045a
06009,29.90%, 64.26%, 34.36%,-,1.38%,a30357
06011,32.05%, 65.30%, 33.25%,-,1.45%,a60354
06013,9.91%, 54.48%, 44.57%,-,0.95%,8a0271
06015,19.00%, 58.41%, 39.41%,-,2.18%,940564
06017,31.24%, 64.93%, 33.69%,-,1.37%,a50355
06019,9.56%, 54.30%, 44.74%,-,0.97%,8a0272
06021,40.92%, 69.74%, 28.82%,-,1.44%,b10349
06023,4.85%, 51.64%, 46.79%,-,1.56%,830377
06025,25.08%, 62.01%, 36.94%,-,1.05%,9e025e
06027,42.01%, 70.32%, 28.30%,-,1.38%,b30348
06029,31.02%, 65.03%, 34.01%,-,0.96%,a50256
06031,28.97%, 64.10%, 35.13%,-,0.77%,a30159
06033,11.22%, 54.83%, 43.61%,-,1.56%,8b036f
06035,23.95%, 61.09%, 37.14%,-,1.77%,9b045e
06037,10.15%, 54.50%, 44.35%,-,1.14%,8a0271
