id,margin,nixon,mcgovern,other,other2
08055,9.22%, 53.52%,-, 2.18%,-
08057,54.80%, 76.72%,-, 1.35%,-
08059,42.35%, 69.88%,-, 2.58%,-
08061,38.16%, 67.92%,-, 0.16%, 2.16%
08063,45.67%, 70.89%,-, 0.09%, 3.80%
08065,10.11%, 53.67%,-, 2.76%,-
08067,31.29%, 62.24%,-, 0.52%, 6.29%
08069,32.51%, 65.02%,-, 2.46%,-
08071,6.28%, 52.59%,-, 1.09%,-
08073,41.44%, 70.03%,-, 1.38%,-
08075,36.78%, 67.27%,-, 2.24%,-
08077,40.55%, 68.66%,-, 0.44%, 2.78%
08079,43.39%, 70.98%,-, 1.44%,-
08081,46.95%, 67.70%,-,-, 11.55%
08083,46.99%, 73.49%,-,-,-
08085,38.26%, 64.75%,-, 0.47%, 8.29%
08087,43.09%, 70.40%,-, 2.30%,-
08089,33.74%, 65.75%,-, 2.24%,-
08091,53.85%, 74.58%,-, 1.00%, 3.68%
08093,43.19%, 70.29%,-, 2.60%,-
08095,35.00%, 65.31%,-, 0.22%, 4.15%
08097,9.99%, 44.16%,-, 1.69%,-
08099,26.58%, 61.58%,-, 0.41%, 2.99%
08101,12.73%, 54.43%,-, 1.50%, 2.37%
08103,57.09%, 77.25%,-, 0.34%, 2.24%
08105,43.96%, 69.69%,-, 0.30%, 4.28%
08107,22.93%, 59.33%,-, 0.68%, 3.59%
08109,28.79%, 63.18%,-, 0.18%, 2.26%
08111,24.02%, 58.33%,-, 0.49%, 6.86%
08113,14.80%, 54.95%,-, 0.94%, 3.96%
08115,38.70%, 67.85%,-, 0.42%, 2.58%
08117,20.46%, 59.03%,-, 2.40%,-
08119,44.28%, 70.45%,-, 0.93%, 2.45%
08121,45.42%, 69.87%,-, 0.53%, 5.14%
08123,34.91%, 66.29%,-, 2.34%,-
08125,44.67%, 71.03%,-, 0.30%, 2.32%
09001,29.66%, 64.00%,-, 1.66%,-
09003,5.17%, 52.09%,-, 0.98%,-
09005,21.53%, 60.20%,-, 1.12%,-
09007,16.85%, 57.90%,-, 1.05%,-
09009,19.30%, 59.01%,-, 1.28%,-
09011,27.71%, 63.40%,-, 0.92%,-
09013,13.77%, 56.45%,-, 0.86%,-
09015,13.38%, 56.04%,-, 1.31%,-
10001,25.39%, 62.03%,-, 1.33%,-
