id,margin,nixon,kennedy,other,hex_color
08033,10.44%, 55.22%, 44.78%,0.0%,8c0072
08035,28.84%, 64.42%, 35.58%,0.0%,a4005a
08037,5.83%, 52.86%, 47.03%,0.10999999999999943%,860077
08039,28.73%, 64.32%, 35.58%,0.10000000000000853%,a4005a
08041,29.99%, 64.93%, 34.94%,0.12999999999999545%,a50059
08043,20.73%, 60.19%, 39.45%,0.35999999999999943%,990064
08045,16.28%, 58.04%, 41.76%,0.20000000000000284%,94006a
08047,17.10%, 58.55%, 41.45%,0.0%,950069
08049,25.35%, 62.62%, 37.27%,0.10999999999999943%,9f005f
08051,10.76%, 55.31%, 44.56%,0.12999999999999545%,8d0071
08053,25.45%, 62.73%, 37.27%,0.0%,9f005f
08055,32.22%, 33.73%, 65.95%,0.3199999999999932%,5600a8
08057,16.65%, 58.27%, 41.62%,0.10999999999999943%,94006a
08059,19.48%, 59.62%, 40.14%,0.2400000000000091%,980066
08061,26.91%, 63.42%, 36.51%,0.06999999999999318%,a1005d
08063,34.07%, 66.88%, 32.82%,0.30000000000001137%,aa0053
08065,31.68%, 34.03%, 65.72%,0.25%,5600a7
08067,17.79%, 58.83%, 41.04%,0.12999999999999545%,960068
08069,34.92%, 67.39%, 32.47%,0.14000000000000057%,ab0052
08071,38.21%, 30.74%, 68.96%,0.30000000000001137%,4e00af
08073,17.98%, 58.93%, 40.95%,0.12000000000000455%,960068
08075,20.00%, 59.97%, 39.97%,0.060000000000002274%,980065
08077,17.82%, 58.81%, 40.99%,0.19999999999998863%,950068
08079,3.93%, 47.87%, 51.80%,0.3300000000000125%,7a0084
08081,18.74%, 59.32%, 40.58%,0.09999999999999432%,970067
08083,13.53%, 56.69%, 43.16%,0.15000000000000568%,90006e
08085,17.03%, 58.34%, 41.31%,0.3499999999999943%,940069
08087,23.50%, 61.65%, 38.15%,0.20000000000000284%,9d0061
08089,17.75%, 58.80%, 41.05%,0.15000000000000568%,950068
08091,8.09%, 54.04%, 45.96%,0.0%,890075
08093,18.85%, 59.33%, 40.48%,0.18999999999999773%,970067
08095,25.58%, 62.77%, 37.19%,0.03999999999999204%,a0005e
08097,16.37%, 58.18%, 41.82%,0.0%,94006a
08099,18.41%, 59.15%, 40.75%,0.09999999999999432%,960067
08101,14.08%, 42.36%, 56.44%,1.2000000000000028%,6c038f
08103,27.29%, 63.57%, 36.29%,0.14000000000000057%,a2005c
08105,17.21%, 58.53%, 41.33%,0.14000000000000057%,950069
08107,7.73%, 53.83%, 46.10%,0.06999999999999318%,890075
08109,1.44%, 49.05%, 50.49%,0.46000000000000796%,7d0180
08111,8.92%, 45.23%, 54.15%,0.6200000000000045%,73018a
08113,7.64%, 46.09%, 53.73%,0.18000000000000682%,750089
