id,margin,dole,clinton,perot,nader,other,hex_color
05077,49.51%, 22.25%, 71.75%, 5.64%,-,6.0%,380fb6
05079,43.89%, 24.73%, 68.62%, 6.03%,-,6.6499999999999915%,3f10ae
05081,34.70%, 27.56%, 62.27%, 9.39%,-,10.170000000000002%,46199e
05083,10.82%, 37.07%, 47.89%, 13.10%,-,15.039999999999992%,5e267a
05085,10.18%, 39.95%, 50.13%, 8.53%,-,9.919999999999987%,65197f
05087,3.75%, 43.01%, 46.76%, 8.61%,-,10.230000000000004%,6d1a77
05089,6.91%, 37.75%, 44.65%, 12.47%,-,17.599999999999994%,602c71
05091,12.75%, 38.97%, 51.73%, 8.34%,-,9.300000000000011%,631783
05093,32.83%, 29.36%, 62.19%, 7.61%,-,8.450000000000003%,4a159e
05095,36.84%, 28.14%, 64.98%, 5.84%,-,6.8799999999999955%,4711a5
05097,20.03%, 32.86%, 52.89%, 12.34%,-,14.25%,532486
05099,35.70%, 26.74%, 62.44%, 9.45%,-,10.820000000000007%,441b9f
05101,7.13%, 46.39%, 39.26%, 11.99%,-,14.349999999999994%,762464
05103,32.98%, 29.56%, 62.54%, 6.91%,-,7.900000000000006%,4b149f
05105,20.96%, 32.83%, 53.79%, 11.34%,-,13.379999999999995%,532289
05107,40.96%, 25.73%, 66.69%, 5.38%,-,7.579999999999998%,4113aa
05109,22.54%, 32.86%, 55.41%, 10.34%,-,11.730000000000004%,531d8d
05111,35.71%, 27.39%, 63.09%, 8.71%,-,9.519999999999996%,4518a0
05113,0.42%, 42.70%, 42.28%, 13.12%,-,15.019999999999996%,6c266b
05115,1.01%, 43.75%, 44.76%, 10.04%,-,11.490000000000009%,6f1d72
05117,33.17%, 28.67%, 61.85%, 8.53%,-,9.47999999999999%,49189d
05119,23.72%, 35.06%, 58.78%, 4.71%,-,6.159999999999997%,590f95
05121,25.28%, 31.76%, 57.04%, 9.96%,-,11.200000000000003%,501c91
05123,35.16%, 29.19%, 64.35%, 5.85%,-,6.460000000000008%,4a10a4
