id,margin,goldwater,johnson,other,hex_color
06021,8.04%, 45.97%, 54.01%,-,750089
06023,32.74%, 33.53%, 66.27%,-,5500a8
06025,3.78%, 48.06%, 51.85%,-,7a0084
06027,6.93%, 46.51%, 53.44%,-,760088
06029,17.53%, 41.18%, 58.71%,-,690095
06031,38.85%, 30.54%, 69.39%,-,4d00b0
06033,12.82%, 43.56%, 56.37%,-,6f008f
06035,31.41%, 34.25%, 65.67%,-,5700a7
06037,14.91%, 42.52%, 57.43%,-,6c0092
06039,35.56%, 32.18%, 67.75%,-,5200ac
06041,23.59%, 38.06%, 61.65%,-,61009d
06043,14.82%, 42.59%, 57.41%,-,6c0092
06045,30.43%, 34.68%, 65.12%,-,5800a6
06047,37.56%, 31.18%, 68.74%,-,4f00af
06049,17.45%, 41.27%, 58.73%,-,690095
06051,12.14%, 56.07%, 43.93%,-,8e0070
06053,23.93%, 37.90%, 61.83%,-,60009d
06055,25.67%, 37.06%, 62.74%,-,5e009f
06057,13.24%, 43.29%, 56.52%,-,6e0090
06059,11.88%, 55.89%, 44.01%,-,8e0070
06061,32.04%, 33.92%, 65.96%,-,5600a8
06063,40.84%, 29.51%, 70.35%,-,4b00b3
06065,13.66%, 43.14%, 56.79%,-,6e0090
06067,31.51%, 34.17%, 65.68%,-,5700a7
06069,21.40%, 39.19%, 60.59%,-,63009a
06071,14.33%, 42.78%, 57.11%,-,6d0091
06073,0.62%, 50.31%, 49.69%,-,80007e
06075,42.53%, 28.71%, 71.24%,-,4900b5
06077,23.65%, 38.13%, 61.78%,-,61009d
06079,19.75%, 40.08%, 59.84%,-,660098
06081,28.77%, 35.55%, 64.32%,-,5a00a4
06083,11.98%, 43.96%, 55.94%,-,70008e
06085,26.47%, 36.63%, 63.10%,-,5d00a0
06087,17.26%, 41.27%, 58.53%,-,690095
06089,35.15%, 32.37%, 67.52%,-,5200ac
06091,33.44%, 33.28%, 66.72%,-,5400aa
06093,27.49%, 36.18%, 63.66%,-,5c00a2
06095,39.15%, 30.38%, 69.53%,-,4d00b1
06097,23.12%, 38.37%, 61.49%,-,61009c
06099,32.41%, 33.74%, 66.14%,-,5600a8
06101,3.23%, 51.56%, 48.33%,-,83007b
06103,20.92%, 39.50%, 60.42%,-,64009a
06105,26.84%, 36.41%, 63.25%,-,5c00a1
06107,20.24%, 39.83%, 60.08%,-,650099
06109,26.57%, 36.59%, 63.16%,-,5d00a1
06111,17.86%, 40.99%, 58.84%,-,680096
06113,39.16%, 30.36%, 69.52%,-,4d00b1
06115,15.35%, 42.29%, 57.64%,-,6b0092
08001,38.57%, 30.42%, 68.99%,-,4d00af
08003,24.97%, 37.42%, 62.40%,-,5f009f
08005,9.48%, 44.92%, 54.40%,-,72008a
08007,25.99%, 36.71%, 62.70%,-,5d009f
08009,4.77%, 47.40%, 52.18%,-,780085
08011,29.67%, 34.76%, 64.43%,-,5800a4
08013,13.30%, 43.08%, 56.38%,-,6d008f
08014,0%,-,-,-,000000
08015,24.98%, 37.36%, 62.34%,-,5f009e
08017,14.81%, 42.48%, 57.29%,-,6c0092
08019,23.20%, 38.26%, 61.46%,-,61009c
08021,32.57%, 33.52%, 66.09%,-,5500a8
08023,61.99%, 18.82%, 80.81%,-,2f00ce
08025,16.66%, 41.49%, 58.15%,-,690094
08027,6.26%, 46.68%, 52.93%,-,770086
08029,15.29%, 42.24%, 57.53%,-,6b0092
08031,32.16%, 33.57%, 65.73%,-,5500a7
08033,21.27%, 39.36%, 60.64%,-,64009a
08035,3.80%, 47.87%, 51.67%,-,7a0083
08037,33.68%, 33.11%, 66.79%,-,5400aa
08039,3.75%, 51.76%, 48.01%,-,83007a
08041,7.76%, 45.98%, 53.75%,-,750089
08043,14.37%, 42.64%, 57.01%,-,6c0091
08045,16.65%, 41.58%, 58.24%,-,6a0094
08047,21.67%, 38.83%, 60.50%,-,63009a
08049,5.10%, 47.22%, 52.32%,-,780085
08051,26.07%, 36.96%, 63.04%,-,5e00a0
08053,6.47%, 53.23%, 46.77%,-,870077
08055,50.61%, 24.63%, 75.23%,-,3e00bf
08057,4.05%, 47.77%, 51.82%,-,790084
08059,12.71%, 43.48%, 56.19%,-,6e008f
08061,9.53%, 45.23%, 54.77%,-,73008b
08063,18.25%, 40.71%, 58.95%,-,670096
08065,55.10%, 22.32%, 77.42%,-,3800c5
08067,11.14%, 44.34%, 55.48%,-,71008d
08069,4.64%, 47.33%, 51.97%,-,780084
08071,56.29%, 21.68%, 77.97%,-,3700c6
08073,9.14%, 45.26%, 54.41%,-,73008a
08075,9.38%, 45.23%, 54.61%,-,73008b
08077,20.87%, 39.45%, 60.32%,-,640099
08079,38.98%, 30.17%, 69.15%,-,4c00b0
08081,7.06%, 46.34%, 53.40%,-,760088
08083,13.74%, 42.95%, 56.69%,-,6d0090
08085,19.84%, 39.92%, 59.76%,-,650098
08087,13.87%, 42.93%, 56.80%,-,6d0090
08089,24.84%, 37.41%, 62.26%,-,5f009e
08091,11.95%, 43.66%, 55.61%,-,6f008d
08093,2.18%, 48.86%, 51.04%,-,7c0082
08095,10.22%, 44.78%, 55.00%,-,72008c
08097,27.79%, 35.90%, 63.70%,-,5b00a2
08099,29.46%, 35.11%, 64.57%,-,5900a4
08101,44.98%, 27.00%, 71.97%,-,4400b7
08103,5.53%, 47.17%, 52.70%,-,780086
08105,11.95%, 43.94%, 55.88%,-,70008e
08107,25.57%, 36.94%, 62.52%,-,5e009f
08109,27.65%, 36.06%, 63.71%,-,5b00a2
08111,36.61%, 31.70%, 68.30%,-,5000ae
08113,31.34%, 34.23%, 65.57%,-,5700a7
08115,2.56%, 48.67%, 51.22%,-,7c0082
08117,16.79%, 41.55%, 58.33%,-,690094
08119,8.54%, 45.65%, 54.19%,-,74008a
08121,3.35%, 51.60%, 48.25%,-,83007b
08123,17.06%, 41.12%, 58.18%,-,680094
08125,3.31%, 48.12%, 51.43%,-,7a0083
09001,21.59%, 39.17%, 60.75%,-,63009a
09003,45.91%, 26.95%, 72.86%,-,4400b9
09005,31.67%, 34.12%, 65.78%,-,5700a7
09007,34.93%, 32.45%, 67.39%,-,5200ab
09009,38.25%, 30.85%, 69.10%,-,4e00b0
09011,38.18%, 30.88%, 69.06%,-,4e00b0
