id,margin,reagan,carter,anderson,other
06101,35.97%, 63.47%, 27.50%, 5.87%, 0.60%
06103,27.87%, 59.13%, 31.26%, 6.56%, 0.87%
06105,23.69%, 54.96%, 31.27%, 9.12%, 1.44%
06107,22.81%, 58.32%, 35.51%, 4.58%, 1.60%
06109,20.92%, 54.85%, 33.92%, 8.65%, 2.58%
06111,30.75%, 60.28%, 29.54%, 7.81%, 2.37%
06113,3.87%, 39.45%, 43.32%, 13.42%, 3.81%
06115,21.59%, 56.28%, 34.70%, 6.22%, 0.72%
08001,13.60%, 50.50%, 36.90%, 9.82%, 0.37%
08003,16.16%, 53.87%, 37.72%, 5.99%, 2.42%
08005,38.64%, 62.19%, 23.56%, 11.98%, 2.27%
08007,37.89%, 65.89%, 28.00%, 4.37%, 1.74%
08009,53.79%, 74.26%, 20.47%, 3.94%, 1.34%
08011,13.39%, 51.76%, 38.37%, 7.04%, 2.83%
08013,14.10%, 46.74%, 32.64%, 15.75%, 1.85%
08014,0%,-,-,-,-
08015,31.84%, 60.73%, 28.90%, 7.89%, 2.48%
08017,39.87%, 65.86%, 25.99%, 6.13%, 2.02%
08019,29.85%, 56.22%, 26.38%, 12.67%, 0.76%
08021,2.91%, 49.41%, 46.50%, 2.78%, 1.30%
08023,34.55%, 30.89%, 65.45%, 2.40%, 1.26%
08025,30.82%, 62.86%, 32.04%, 3.87%, 1.22%
08027,43.86%, 66.73%, 22.87%, 5.84%, 0.50%
08029,41.52%, 66.97%, 25.45%, 4.93%, 2.66%
08031,1.19%, 42.19%, 41.00%, 13.66%, 1.03%
08033,56.06%, 75.28%, 19.22%, 3.92%, 1.59%
08035,51.90%, 70.08%, 18.18%, 9.12%, 0.33%
08037,24.98%, 52.63%, 27.65%, 15.58%, 0.83%
08039,45.13%, 67.49%, 22.36%, 7.62%, 0.16%
08041,37.25%, 63.66%, 26.41%, 7.58%, 2.35%
08043,26.50%, 59.13%, 32.63%, 6.03%, 2.21%
08045,29.78%, 58.08%, 28.30%, 10.49%, 0.71%
08047,18.24%, 50.04%, 31.80%, 12.62%, 1.59%
08049,37.72%, 61.28%, 23.56%, 11.86%, 0.37%
08051,29.36%, 55.45%, 26.10%, 14.16%, 1.57%
08053,46.43%, 69.05%, 22.62%, 3.87%, 0.89%
08055,10.42%, 41.49%, 51.91%, 4.82%, 1.78%
08057,36.83%, 63.55%, 26.72%, 7.55%, 2.17%
08059,34.12%, 59.66%, 25.54%, 12.01%, 0.38%
08061,36.50%, 65.06%, 28.56%, 5.26%, 1.12%
08063,50.15%, 71.78%, 21.63%, 5.06%, 1.53%
08065,5.36%, 45.45%, 40.10%, 9.55%, 0.93%
08067,34.89%, 59.76%, 24.87%, 12.60%, 2.78%
08069,29.89%, 56.51%, 26.62%, 13.86%, 0.70%
08071,16.20%, 39.37%, 55.57%, 3.75%, 1.31%
08073,39.35%, 64.74%, 25.39%, 7.38%, 0.08%
08075,35.04%, 63.16%, 28.12%, 7.09%, 1.63%
08077,45.99%, 68.92%, 22.93%, 6.09%, 2.06%
08079,32.44%, 60.22%, 27.78%, 9.11%,-
08081,45.99%, 67.90%, 21.91%, 6.68%, 0.69%
08083,44.17%, 68.60%, 24.43%, 4.58%, 0.33%
08085,45.44%, 68.21%, 22.78%, 6.48%, 0.23%
08087,35.55%, 62.50%, 26.95%, 8.32%, 2.23%
08089,17.12%, 54.55%, 37.43%, 6.50%, 1.52%
08091,47.96%, 67.69%, 19.73%, 10.74%, 1.83%
08093,34.70%, 59.34%, 24.64%, 10.71%, 0.84%
08095,36.02%, 63.21%, 27.19%, 8.20%, 1.40%
08097,7.25%, 39.75%, 32.49%, 20.82%, 1.68%
08099,27.74%, 59.77%, 32.02%, 6.52%, 1.69%
08101,2.38%, 44.72%, 47.10%, 6.68%, 1.50%
08103,57.01%, 74.46%, 17.45%, 5.40%, 0.30%
08105,32.84%, 63.37%, 30.53%, 4.12%, 1.98%
08107,24.32%, 53.33%, 29.01%, 13.73%, 0.51%
08109,10.82%, 52.65%, 41.83%, 3.33%, 2.20%
08111,22.22%, 48.82%, 26.59%, 17.12%, 0.91%
08113,6.80%, 42.79%, 35.99%, 16.42%, 1.77%
08115,41.74%, 67.39%, 25.64%, 5.85%, 1.11%
08117,17.04%, 46.54%, 29.51%, 19.40%, 0.71%
08119,44.65%, 66.28%, 21.63%, 8.69%, 0.51%
08121,51.19%, 71.40%, 20.21%, 5.69%, 0.21%
08123,30.67%, 58.80%, 28.13%, 10.60%, 2.47%
08125,46.58%, 68.89%, 22.31%, 6.82%, 1.97%
09001,21.17%, 54.88%, 33.71%, 10.42%, 1.00%
09003,3.87%, 40.46%, 44.33%, 14.23%, 0.97%
09005,15.74%, 50.72%, 34.98%, 13.13%, 1.17%
09007,6.63%, 45.53%, 38.90%, 14.23%, 1.34%
09009,11.29%, 50.05%, 38.76%, 10.20%, 0.99%
09011,10.76%, 47.96%, 37.21%, 13.79%, 1.04%
09013,7.09%, 43.95%, 36.86%, 17.69%, 1.50%
09015,8.65%, 47.82%, 39.18%, 11.58%, 1.42%
10001,6.69%, 49.84%, 43.15%, 6.13%, 0.89%
10003,0.00%, 45.66%, 45.66%, 7.62%, 1.07%
10005,9.36%, 52.09%, 42.73%, 4.36%, 0.82%
11001,61.49%, 13.41%, 74.89%, 9.28%, 2.42%
12001,13.72%, 38.56%, 52.27%, 8.13%, 1.04%
12003,6.59%, 45.88%, 52.47%,-, 1.65%
12005,24.76%, 60.61%, 35.85%, 2.14%, 1.40%
12007,9.11%, 44.50%, 53.61%,-, 1.89%
12009,26.34%, 60.07%, 33.73%, 5.07%, 1.13%
12011,20.31%, 55.95%, 35.64%, 7.69%, 0.73%
12013,20.49%, 38.72%, 59.22%,-, 2.06%
12015,33.81%, 64.62%, 30.82%, 3.82%, 0.74%
12017,20.97%, 58.48%, 37.50%, 3.22%, 0.80%
12019,33.22%, 64.85%, 31.63%, 2.87%, 0.65%
12021,48.08%, 71.10%, 23.02%, 4.99%, 0.88%
12023,0.32%, 48.45%, 48.76%, 2.13%, 0.66%
12027,10.23%, 53.40%, 43.17%, 2.47%, 0.97%
12029,28.65%, 34.70%, 63.35%,-, 1.95%
12031,4.19%, 50.45%, 46.26%, 2.65%, 0.63%
12033,20.64%, 58.49%, 37.84%, 2.97%, 0.70%
12035,7.00%, 51.70%, 44.70%, 2.75%, 0.86%
12037,7.89%, 44.59%, 52.48%,-, 2.93%
12039,36.84%, 30.41%, 67.26%,-, 2.33%
12041,19.12%, 39.13%, 58.25%, 2.01%, 0.61%
12043,4.40%, 45.96%, 50.36%, 2.55%, 1.13%
12045,11.63%, 43.18%, 54.81%,-, 2.01%
12047,18.96%, 39.66%, 58.63%,-, 1.71%
12049,0.08%, 48.82%, 48.74%,-, 2.44%
12051,2.96%, 49.93%, 46.97%, 2.42%, 0.68%
12053,14.78%, 54.99%, 40.21%, 3.87%, 0.94%
12055,27.21%, 61.95%, 34.74%, 2.76%, 0.55%
12057,8.71%, 51.71%, 42.99%, 4.37%, 0.93%
12059,7.39%, 52.41%, 45.02%,-, 2.57%
12061,31.59%, 62.98%, 31.39%, 4.79%, 0.83%
12063,8.60%, 44.76%, 53.36%,-, 1.88%
12065,17.97%, 39.19%, 57.16%, 2.32%, 1.33%
12067,12.83%, 42.67%, 55.50%,-, 1.83%
12069,32.92%, 64.53%, 31.61%, 3.00%, 0.86%
12071,34.78%, 64.51%, 29.73%, 4.47%, 1.30%
12073,6.16%, 43.47%, 49.63%, 5.57%, 1.33%
12075,12.64%, 42.26%, 54.90%, 2.30%, 0.54%
12077,10.48%, 43.81%, 54.29%,-, 1.90%
12079,15.50%, 41.39%, 56.89%,-, 1.72%
12081,28.75%, 61.81%, 33.06%, 4.47%, 0.66%
12083,20.55%, 58.49%, 37.94%, 2.92%, 0.65%
12085,41.23%, 68.05%, 26.82%, 4.38%, 0.75%
12086,10.48%, 50.65%, 40.17%, 8.53%, 0.64%
12087,17.08%, 53.40%, 36.32%, 8.86%, 1.42%
12089,3.40%, 50.60%, 47.20%,-, 2.20%
12091,42.72%, 69.62%, 26.90%, 2.77%, 0.72%
12093,7.17%, 44.81%, 51.98%, 2.51%, 0.69%
12095,27.01%, 61.06%, 34.05%, 3.77%, 1.11%
12097,23.40%, 59.67%, 36.27%, 3.10%, 0.96%
12099,20.42%, 56.79%, 36.37%, 6.01%, 0.83%
12101,18.17%, 56.67%, 38.50%, 4.04%, 0.79%
12103,13.71%, 53.83%, 40.12%, 5.17%, 0.87%
12105,15.35%, 56.11%, 40.75%, 2.47%, 0.67%
12107,3.57%, 46.67%, 50.24%, 2.34%, 0.76%
12109,23.03%, 59.67%, 36.64%, 2.94%, 0.74%
12111,26.08%, 60.76%, 34.69%, 3.73%, 0.82%
12113,31.67%, 63.93%, 32.26%, 2.81%, 1.01%
12115,42.76%, 68.57%, 25.81%, 4.83%, 0.79%
12117,37.30%, 66.16%, 28.86%, 4.07%, 0.91%
12119,8.58%, 44.41%, 52.98%,-, 2.61%
12121,5.29%, 46.22%, 51.51%,-, 2.28%
12123,3.19%, 47.31%, 50.49%,-, 2.20%
12125,4.70%, 46.35%, 51.05%,-, 2.60%
12127,8.00%, 51.69%, 43.69%, 3.25%, 1.37%
12129,1.43%, 47.26%, 48.69%, 2.62%, 1.43%
12131,3.58%, 50.28%, 46.70%, 2.13%, 0.89%
12133,2.16%, 49.92%, 47.75%,-, 2.33%
13001,20.45%, 39.17%, 59.62%,-, 1.22%
13003,31.59%, 33.62%, 65.21%,-, 1.17%
13005,6.28%, 45.94%, 52.22%,-, 1.84%
13007,33.57%, 32.61%, 66.18%,-, 1.21%
13009,8.76%, 43.71%, 52.46%, 2.76%, 1.07%
13011,46.90%, 26.01%, 72.91%,-, 1.08%
13013,25.23%, 36.20%, 61.44%,-, 2.36%
13015,40.13%, 28.89%, 69.01%,-, 2.10%
13017,26.68%, 35.87%, 62.55%,-, 1.57%
13019,31.38%, 33.76%, 65.15%,-, 1.09%
13021,34.48%, 31.53%, 66.01%,-, 2.46%
13023,21.89%, 36.66%, 58.55%,-, 1.37%
13025,39.77%, 29.63%, 69.40%,-, 0.97%
13027,17.87%, 40.40%, 58.27%,-, 1.33%
13029,23.31%, 37.47%, 60.77%,-, 1.76%
13031,13.13%, 42.04%, 55.16%,-, 2.80%
13033,23.56%, 37.49%, 61.05%,-, 1.46%
13035,35.47%, 31.47%, 66.94%,-, 1.59%
13037,36.51%, 31.24%, 67.75%,-, 1.01%
13039,33.42%, 32.39%, 65.81%,-, 1.80%
13043,13.55%, 42.54%, 56.09%,-, 1.36%
13045,16.49%, 40.17%, 56.66%, 2.03%, 1.13%
13047,9.41%, 53.91%, 44.50%,-, 1.59%
13049,30.18%, 34.08%, 64.26%,-, 1.66%
13051,3.37%, 46.67%, 50.04%, 2.19%, 1.10%
13053,29.26%, 34.04%, 63.30%, 2.13%, 0.53%
13055,36.86%, 30.74%, 67.60%,-, 1.66%
13057,6.59%, 44.96%, 51.55%,-, 3.49%
13059,12.19%, 40.68%, 52.86%, 5.33%, 1.14%
13061,47.78%, 25.46%, 73.25%,-, 1.29%
13063,4.26%, 50.35%, 46.10%, 2.43%, 1.12%
13065,43.56%, 27.52%, 71.08%,-, 1.39%
13067,13.38%, 54.25%, 40.87%, 3.37%, 1.52%
13069,23.24%, 37.74%, 60.99%,-, 1.27%
13071,19.41%, 39.62%, 59.03%,-, 1.36%
13073,8.02%, 52.71%, 44.69%, 2.08%, 0.52%
13075,34.55%, 32.25%, 66.80%,-, 0.95%
13077,11.68%, 42.99%, 54.66%,-, 2.35%
13079,43.41%, 27.03%, 70.44%,-, 2.53%
13081,28.84%, 34.80%, 63.64%,-, 1.55%
13083,9.65%, 53.81%, 44.16%,-, 2.04%
13085,18.67%, 39.68%, 58.36%,-, 1.96%
13087,5.17%, 46.76%, 51.93%,-, 1.31%
13089,4.68%, 44.74%, 49.43%, 4.33%, 1.50%
13091,45.19%, 26.64%, 71.83%,-, 1.53%
13093,36.58%, 30.93%, 67.50%,-, 1.57%
13095,2.65%, 47.82%, 50.46%,-, 1.72%
13097,0.97%, 48.78%, 47.81%, 2.14%, 1.28%
13099,15.54%, 41.77%, 57.31%,-, 0.92%
13101,32.69%, 33.08%, 65.77%,-, 1.15%
13103,4.74%, 47.02%, 51.76%,-, 1.23%
13105,33.77%, 32.45%, 66.23%,-, 1.32%
