id,margin,romney,obama,other,hex_color
13093,6.97%, 46.14%, 53.11%, 0.74%,750187
13095,39.09%, 30.15%, 69.24%, 0.61%,4c01b0
13097,3.97%, 47.38%, 51.36%, 1.26%,780382
13099,3.88%, 47.71%, 51.60%, 0.69%,790183
13101,67.33%, 82.99%, 15.66%, 1.36%,d30327
13103,51.06%, 74.79%, 23.72%, 1.49%,be033c
13105,20.57%, 59.58%, 39.00%, 1.42%,970363
13107,26.86%, 63.05%, 36.18%, 0.77%,a0015c
13109,28.05%, 63.62%, 35.57%, 0.81%,a2025a
13111,57.94%, 78.10%, 20.16%, 1.74%,c70433
13113,31.23%, 64.83%, 33.61%, 1.56%,a50355
13115,39.76%, 69.04%, 29.28%, 1.68%,b0044a
13117,62.68%, 80.47%, 17.79%, 1.74%,cd042d
13119,59.34%, 78.62%, 19.27%, 2.11%,c80531
13121,29.71%, 34.42%, 64.13%, 1.44%,5703a3
13123,63.04%, 80.76%, 17.71%, 1.53%,cd032d
13125,71.78%, 84.96%, 13.17%, 1.87%,d80421
13127,26.94%, 62.95%, 36.00%, 1.05%,a0025b
13129,57.60%, 77.91%, 20.31%, 1.78%,c60433
13131,26.61%, 62.93%, 36.32%, 0.74%,a0015c
13133,22.46%, 60.90%, 38.44%, 0.66%,9b0162
13135,9.20%, 53.76%, 44.56%, 1.68%,890471
13137,67.22%, 82.90%, 15.68%, 1.42%,d30327
13139,56.06%, 77.19%, 21.13%, 1.68%,c40435
13141,62.08%, 18.80%, 80.88%, 0.32%,2f00ce
13143,63.97%, 81.16%, 17.19%, 1.65%,ce042b
13145,45.44%, 72.14%, 26.71%, 1.15%,b70244
13147,38.27%, 68.39%, 30.12%, 1.49%,ae034c
13149,52.94%, 75.63%, 22.69%, 1.68%,c00439
13151,3.29%, 51.10%, 47.81%, 1.09%,820279
13153,20.56%, 59.58%, 39.02%, 1.39%,970363
13155,37.61%, 68.34%, 30.72%, 0.94%,ae024e
13157,62.74%, 80.59%, 17.85%, 1.57%,cd042d
13159,37.92%, 68.45%, 30.54%, 1.01%,ae024d
13161,50.96%, 74.85%, 23.88%, 1.27%,be033c
13163,17.29%, 41.08%, 58.36%, 0.56%,680194
13165,11.76%, 55.60%, 43.84%, 0.56%,8d016f
13167,30.06%, 64.62%, 34.56%, 0.82%,a40258
13169,28.63%, 63.90%, 35.27%, 0.83%,a20259
13171,30.18%, 64.36%, 34.18%, 1.46%,a40357
13173,23.71%, 61.11%, 37.41%, 1.48%,9b035f
13175,22.59%, 60.85%, 38.26%, 0.90%,9b0261
13177,52.16%, 75.58%, 23.42%, 1.00%,c0023b
