id,margin,harding,cox,other,other2,hex_color
06001,48.83%, 69.11%, 20.27%,1.87%,-,b00433
06003,82.86%, 91.43%, 8.57%,0.0%,-,e90015
06005,33.78%, 64.13%, 30.36%,0.0%,-,a3004d
06007,38.22%, 65.69%, 27.47%,0.0%,-,a70046
06009,36.26%, 63.96%, 27.70%,0.0%,-,a30046
06011,27.48%, 61.24%, 33.77%,0.0%,-,9c0056
06013,39.19%, 63.75%, 24.56%,1.75%,-,a2043e
06015,33.30%, 62.61%, 29.31%,0.0%,-,9f004a
06017,35.80%, 64.36%, 28.56%,0.0%,-,a40048
06019,18.96%, 55.36%, 36.39%,0.0%,-,8d005c
06021,33.97%, 64.19%, 30.22%,0.0%,-,a3004d
06023,50.86%, 69.89%, 19.04%,0.0%,-,b20030
06025,36.75%, 64.51%, 27.76%,0.0%,-,a40046
06027,24.56%, 57.20%, 32.65%,1.53%,-,910353
06029,6.81%, 49.01%, 42.20%,0.0%,-,7c006b
06031,25.54%, 59.61%, 34.08%,0.0%,-,980056
06033,24.32%, 57.23%, 32.91%,0.0%,-,910053
06035,39.31%, 66.22%, 26.92%,0.0%,-,a80044
06037,47.51%, 69.10%, 21.59%,0.2%,-,b00037
06039,19.76%, 55.46%, 35.69%,0.0%,-,8d005b
06041,47.19%, 68.80%, 21.61%,1.51%,-,af0337
06043,18.76%, 55.38%, 36.61%,1.95%,-,8d045d
06045,39.32%, 65.83%, 26.51%,1.72%,-,a70443
06047,34.99%, 62.99%, 28.01%,0.0%,-,a00047
06049,28.83%, 62.59%, 33.75%,1.39%,-,9f0356
06051,45.42%, 67.73%, 22.31%,1.2%,-,ac0338
06053,42.85%, 67.76%, 24.91%,0.0%,-,ac003f
06055,47.94%, 70.99%, 23.05%,1.6%,-,b5043a
06057,41.35%, 64.97%, 23.62%,0.0%,-,a5003c
06059,51.95%, 71.52%, 19.57%,0.0%,-,b60031
06061,27.42%, 59.44%, 32.02%,0.0%,-,970051
06063,38.16%, 63.96%, 25.80%,0.0%,-,a30041
06065,48.22%, 69.55%, 21.33%,0.0%,-,b10036
06067,35.20%, 64.87%, 29.67%,1.54%,-,a5034b
06069,35.23%, 65.00%, 29.77%,0.0%,-,a5004b
06071,34.63%, 62.84%, 28.21%,0.0%,-,a00047
06073,36.50%, 63.78%, 27.27%,0.0%,-,a20045
06075,43.04%, 65.18%, 22.13%,1.13%,-,a60238
06077,28.00%, 60.94%, 32.93%,0.0%,-,9b0053
06079,37.43%, 61.31%, 23.88%,0.77%,-,9c013c
06081,51.36%, 70.52%, 19.16%,0.96%,-,b30230
06083,42.44%, 67.48%, 25.04%,0.0%,-,ac003f
06085,45.52%, 68.09%, 22.57%,0.0%,-,ad0039
06087,41.74%, 66.28%, 24.54%,0.0%,-,a9003e
06089,31.80%, 62.07%, 30.27%,1.62%,-,9e044d
06091,49.64%, 72.18%, 22.54%,1.85%,-,b80439
06093,29.05%, 60.05%, 31.01%,1.98%,-,99054f
06095,37.83%, 64.77%, 26.94%,1.51%,-,a50344
06097,40.66%, 66.90%, 26.24%,0.0%,-,aa0042
06099,34.87%, 61.61%, 26.74%,0.0%,-,9d0044
06101,46.30%, 70.32%, 24.02%,0.0%,-,b3003d
06103,34.72%, 61.81%, 27.09%,0.0%,-,9d0045
06105,34.07%, 62.89%, 28.82%,0.71%,-,a00149
06107,28.83%, 61.26%, 32.43%,0.0%,-,9c0052
06109,28.93%, 59.38%, 30.45%,0.0%,-,97004d
06111,57.04%, 76.00%, 18.96%,0.0%,-,c10030
06113,29.15%, 61.95%, 32.80%,0.0%,-,9d0053
06115,46.24%, 70.70%, 24.46%,1.97%,-,b4053e
08001,20.11%, 57.57%, 37.45%,1.79%,-,92045f
08003,6.33%, 51.87%, 45.54%,2.59%,-,840674
08005,24.04%, 59.80%, 35.76%,2.29%,-,98055b
08007,28.94%, 63.12%, 34.17%,2.71%,-,a00657
08009,36.01%, 63.21%, 27.20%,2.43%,-,a10645
08011,24.78%, 60.67%, 35.89%,3.45%,-,9a085b
08013,20.24%, 57.91%, 37.67%,1.78%,-,930460
08014,0%,-,-,0.0%,-,000000
