statecounty,margin,dole,clinton,perot,nader,other
16019,32.88%, 59.90%, 27.03%, 11.76%,-, 1.32%
16021,19.20%, 50.05%, 30.85%, 16.18%,-, 2.92%
16023,15.69%, 49.70%, 34.00%, 15.63%,-, 0.67%
16025,23.35%, 52.02%, 28.68%, 17.46%,-, 1.84%
16027,30.22%, 59.48%, 29.26%, 9.81%,-, 1.45%
16029,28.81%, 55.77%, 26.96%, 16.06%,-, 1.22%
16031,41.86%, 63.65%, 21.79%, 13.32%,-, 1.24%
16033,34.33%, 61.29%, 26.96%, 10.37%,-, 1.38%
16035,3.89%, 42.70%, 38.81%, 16.74%,-, 1.75%
16037,26.51%, 53.93%, 27.42%, 17.27%,-, 1.38%
16039,19.47%, 53.13%, 33.66%, 12.24%,-, 0.97%
16041,41.83%, 62.56%, 20.73%, 15.13%,-, 1.57%
16043,39.88%, 62.92%, 23.04%, 13.03%,-, 1.01%
16045,22.37%, 53.96%, 31.58%, 13.37%,-, 1.09%
16047,21.95%, 51.05%, 29.09%, 18.97%,-, 0.89%
16049,26.66%, 54.54%, 27.88%, 15.26%,-, 2.32%
16051,47.25%, 66.53%, 19.28%, 13.43%,-, 0.77%
16053,27.41%, 54.82%, 27.41%, 16.56%,-, 1.21%
16055,13.05%, 47.82%, 34.78%, 15.52%,-, 1.88%
16057,8.78%, 38.74%, 47.52%, 11.22%,-, 2.52%
16059,34.10%, 60.34%, 26.24%, 11.92%,-, 1.50%
16061,9.95%, 45.80%, 35.85%, 16.81%,-, 1.54%
16063,17.03%, 47.63%, 30.60%, 20.42%,-, 1.34%
16065,58.10%, 73.84%, 15.73%, 9.63%,-, 0.80%
16067,28.79%, 56.81%, 28.02%, 13.85%,-, 1.32%
16069,4.89%, 39.98%, 44.87%, 14.28%,-, 0.87%
16071,32.68%, 57.53%, 24.86%, 16.51%,-, 1.10%
16073,34.25%, 61.18%, 26.93%, 10.65%,-, 1.23%
16075,25.39%, 55.59%, 30.19%, 12.91%,-, 1.31%
16077,14.68%, 51.12%, 36.44%, 11.72%,-, 0.72%
16079,23.40%, 26.67%, 50.07%, 21.55%,-, 1.71%
16081,15.47%, 50.28%, 34.81%, 13.10%,-, 1.81%
16083,24.31%, 54.13%, 29.81%, 14.78%,-, 1.28%
16085,12.27%, 48.83%, 36.56%, 13.28%,-, 1.33%
16087,23.78%, 54.90%, 31.12%, 12.43%,-, 1.54%
17001,8.80%, 48.70%, 39.90%, 10.80%,-, 0.60%
17003,35.80%, 28.16%, 63.96%, 7.46%,-, 0.42%
17005,2.80%, 43.30%, 46.10%, 9.83%,-, 0.77%
17007,6.43%, 47.51%, 41.09%, 10.58%,-, 0.81%
17009,2.44%, 45.84%, 43.40%, 10.32%,-, 0.44%
17011,6.99%, 40.61%, 47.60%, 11.19%,-, 0.60%
17013,24.39%, 31.23%, 55.63%, 12.05%,-, 1.10%
17015,1.51%, 44.55%, 43.04%, 11.65%,-, 0.76%
17017,10.94%, 39.07%, 50.01%, 10.39%,-, 0.53%
17019,6.36%, 42.50%, 48.86%, 7.23%,-, 1.41%
17021,12.59%, 37.49%, 50.08%, 11.64%,-, 0.78%
17023,5.73%, 47.22%, 41.48%, 10.82%,-, 0.48%
17025,0.75%, 43.40%, 44.16%, 11.54%,-, 0.90%
17027,0.28%, 43.81%, 44.09%, 11.41%,-, 0.69%
17029,4.73%, 41.65%, 46.38%, 11.07%,-, 0.90%
17031,40.06%, 26.73%, 66.79%, 5.60%,-, 0.88%
17033,3.89%, 45.61%, 41.72%, 12.16%,-, 0.51%
17035,5.06%, 44.80%, 39.74%, 14.70%,-, 0.76%
17037,1.17%, 43.40%, 44.57%, 10.55%,-, 1.48%
17039,1.52%, 45.20%, 43.68%, 10.53%,-, 0.59%
17041,4.52%, 46.66%, 42.14%, 10.55%,-, 0.66%
17043,10.76%, 50.74%, 39.97%, 8.45%,-, 0.84%
17045,2.34%, 45.12%, 42.78%, 11.26%,-, 0.83%
17047,16.89%, 51.98%, 35.10%, 12.38%,-, 0.55%
17049,20.21%, 54.18%, 33.97%, 10.95%,-, 0.90%
17051,0.07%, 44.14%, 44.21%, 10.96%,-, 0.68%
17053,17.54%, 53.33%, 35.79%, 10.23%,-, 0.66%
17055,25.69%, 30.84%, 56.54%, 12.08%,-, 0.54%
17057,23.57%, 32.82%, 56.39%, 10.25%,-, 0.53%
17059,35.78%, 24.37%, 60.15%, 15.00%,-, 0.48%
17061,8.24%, 37.83%, 46.07%, 15.22%,-, 0.88%
17063,3.91%, 41.45%, 45.36%, 12.48%,-, 0.71%
17065,12.53%, 37.19%, 49.72%, 12.42%,-, 0.67%
17067,0.44%, 43.16%, 43.59%, 12.51%,-, 0.74%
17069,20.37%, 30.19%, 50.55%, 18.53%,-, 0.73%
17071,19.89%, 34.07%, 53.97%, 11.27%,-, 0.69%
17073,12.82%, 38.33%, 51.15%, 10.02%,-, 0.50%
17075,15.74%, 51.53%, 35.79%, 11.95%,-, 0.72%
17077,21.77%, 33.72%, 55.49%, 9.46%,-, 1.33%
17079,3.96%, 45.12%, 41.16%, 12.95%,-, 0.77%
17081,8.85%, 39.63%, 48.48%, 10.99%,-, 0.89%
17083,12.14%, 36.63%, 48.77%, 13.53%,-, 1.07%
17085,2.75%, 42.07%, 44.82%, 12.15%,-, 0.96%
17087,4.71%, 45.46%, 40.75%, 12.98%,-, 0.81%
17089,5.64%, 47.41%, 41.77%, 9.83%,-, 1.00%
17091,6.31%, 41.41%, 47.73%, 10.14%,-, 0.72%
17093,13.91%, 50.69%, 36.78%, 11.63%,-, 0.91%
17095,20.69%, 34.69%, 55.38%, 9.30%,-, 0.63%
17097,0.08%, 45.49%, 45.57%, 8.13%,-, 0.81%
17099,14.93%, 36.01%, 50.94%, 12.38%,-, 0.68%
17101,4.74%, 40.18%, 44.92%, 14.33%,-, 0.58%
17103,5.51%, 47.08%, 41.57%, 10.72%,-, 0.63%
17105,13.61%, 51.75%, 38.15%, 9.53%,-, 0.57%
17107,15.39%, 52.80%, 37.41%, 9.24%,-, 0.55%
17109,4.84%, 41.95%, 46.80%, 10.11%,-, 1.14%
17111,11.89%, 49.41%, 37.52%, 12.11%,-, 0.96%
17113,6.96%, 49.46%, 42.50%, 7.14%,-, 0.90%
17115,12.90%, 38.45%, 51.35%, 9.61%,-, 0.59%
17117,18.37%, 34.33%, 52.70%, 12.01%,-, 0.95%
17119,17.71%, 35.55%, 53.26%, 10.06%,-, 1.12%
17121,11.37%, 38.06%, 49.43%, 11.58%,-, 0.93%
17123,3.27%, 42.93%, 46.20%, 10.26%,-, 0.61%
17125,14.82%, 37.71%, 52.53%, 9.31%,-, 0.45%
17127,5.51%, 41.38%, 46.90%, 11.14%,-, 0.58%
17129,15.37%, 52.93%, 37.56%, 9.10%,-, 0.41%
17131,20.13%, 34.04%, 54.17%, 11.26%,-, 0.53%
17133,4.79%, 46.38%, 41.60%, 11.06%,-, 0.96%
17135,12.41%, 37.76%, 50.18%, 11.37%,-, 0.69%
17137,1.42%, 44.61%, 43.19%, 11.47%,-, 0.72%
17139,7.89%, 40.34%, 48.23%, 10.93%,-, 0.50%
17141,15.23%, 52.13%, 36.90%, 10.23%,-, 0.74%
17143,8.63%, 41.82%, 50.45%, 7.04%,-, 0.69%
17145,21.27%, 32.63%, 53.90%, 12.72%,-, 0.76%
17147,0.12%, 44.05%, 44.17%, 11.04%,-, 0.74%
17149,4.77%, 40.56%, 45.32%, 13.07%,-, 1.06%
17151,3.16%, 41.38%, 44.55%, 13.49%,-, 0.58%
17153,17.34%, 36.82%, 54.16%, 8.35%,-, 0.68%
17155,15.85%, 35.71%, 51.56%, 11.65%,-, 1.09%
17157,13.63%, 37.02%, 50.65%, 11.59%,-, 0.74%
17159,6.72%, 46.03%, 39.31%, 13.60%,-, 1.06%
17161,23.29%, 33.84%, 57.13%, 8.42%,-, 0.61%
17163,21.54%, 35.02%, 56.56%, 7.44%,-, 0.99%
17165,21.11%, 31.66%, 52.77%, 15.02%,-, 0.55%
17167,3.71%, 47.87%, 44.15%, 7.32%,-, 0.66%
17169,1.04%, 42.60%, 43.64%, 12.88%,-, 0.88%
17171,3.94%, 43.81%, 39.87%, 15.60%,-, 0.71%
17173,0.35%, 43.06%, 43.41%, 12.89%,-, 0.63%
17175,0.56%, 44.62%, 44.06%, 10.89%,-, 0.42%
17177,9.52%, 48.94%, 39.42%, 10.70%,-, 0.93%
17179,0.48%, 45.45%, 44.97%, 8.97%,-, 0.61%
17181,13.34%, 38.00%, 51.34%, 10.05%,-, 0.62%
17183,11.20%, 38.35%, 49.55%, 11.42%,-, 0.68%
17185,3.87%, 45.15%, 41.28%, 12.95%,-, 0.63%
17187,7.26%, 41.02%, 48.28%, 10.23%,-, 0.47%
17189,8.59%, 48.20%, 39.61%, 11.40%,-, 0.78%
17191,11.98%, 49.50%, 37.52%, 12.27%,-, 0.71%
17193,9.18%, 39.15%, 48.33%, 12.08%,-, 0.45%
17195,13.08%, 37.95%, 51.03%, 10.44%,-, 0.58%
17197,4.62%, 42.15%, 46.76%, 10.44%,-, 0.65%
17199,10.98%, 38.52%, 49.50%, 11.38%,-, 0.60%
17201,1.79%, 44.52%, 46.31%, 8.20%,-, 0.98%
17203,21.65%, 56.68%, 35.03%, 7.78%,-, 0.51%
18001,21.47%, 55.08%, 33.61%, 10.65%,-, 0.66%
18003,16.09%, 53.55%, 37.46%, 7.96%,-, 1.02%
18005,15.21%, 51.60%, 36.39%, 11.01%,-, 0.99%
18007,16.31%, 49.92%, 33.62%, 15.62%,-, 0.85%
18009,5.17%, 40.35%, 45.52%, 13.27%,-, 0.86%
18011,38.15%, 64.44%, 26.28%, 8.51%,-, 0.77%
18013,9.11%, 47.36%, 38.25%, 12.71%,-, 1.68%
18015,16.37%, 50.58%, 34.20%, 14.58%,-, 0.64%
18017,16.63%, 51.28%, 34.65%, 12.97%,-, 1.11%
18019,9.47%, 40.08%, 49.56%, 9.96%,-, 0.40%
18021,12.64%, 49.00%, 36.36%, 14.18%,-, 0.46%
18023,19.07%, 53.20%, 34.13%, 11.71%,-, 0.96%
18025,11.75%, 36.57%, 48.32%, 14.55%,-, 0.56%
18027,23.44%, 56.35%, 32.91%, 10.13%,-, 0.61%
18029,12.46%, 50.60%, 38.13%, 10.53%,-, 0.74%
18031,16.92%, 50.82%, 33.90%, 14.76%,-, 0.51%
18033,15.08%, 51.36%, 36.28%, 11.50%,-, 0.85%
18035,5.04%, 40.40%, 45.44%, 13.47%,-, 0.69%
18037,2.24%, 44.85%, 42.62%, 11.65%,-, 0.88%
18039,23.94%, 56.58%, 32.64%, 10.09%,-, 0.69%
18041,2.95%, 44.86%, 41.91%, 12.47%,-, 0.77%
18043,4.61%, 42.90%, 47.52%, 8.97%,-, 0.61%
18045,22.47%, 54.03%, 31.56%, 14.01%,-, 0.41%
18047,17.04%, 52.25%, 35.21%, 11.82%,-, 0.71%
18049,12.12%, 48.75%, 36.63%, 14.16%,-, 0.46%
18051,8.10%, 39.86%, 47.96%, 11.72%,-, 0.47%
18053,13.69%, 50.77%, 37.08%, 11.36%,-, 0.79%
18055,3.65%, 44.67%, 41.03%, 13.14%,-, 1.16%
18057,46.48%, 69.45%, 22.97%, 6.87%,-, 0.71%
18059,31.66%, 60.23%, 28.57%, 10.54%,-, 0.65%
18061,1.25%, 43.74%, 42.49%, 13.24%,-, 0.53%
18063,36.54%, 63.14%, 26.60%, 9.64%,-, 0.61%
18065,4.66%, 45.68%, 41.03%, 12.74%,-, 0.55%
18067,14.37%, 50.51%, 36.14%, 12.56%,-, 0.80%
18069,28.33%, 58.79%, 30.46%, 9.95%,-, 0.80%
18071,5.78%, 46.41%, 40.63%, 12.54%,-, 0.41%
18073,16.07%, 51.33%, 35.27%, 12.61%,-, 0.78%
18075,2.84%, 44.71%, 41.86%, 12.75%,-, 0.69%
18077,5.21%, 40.96%, 46.17%, 12.20%,-, 0.67%
18079,2.28%, 42.81%, 40.53%, 15.63%,-, 1.03%
18081,31.73%, 60.45%, 28.73%, 10.13%,-, 0.70%
18083,3.91%, 41.17%, 45.09%, 13.02%,-, 0.72%
18085,37.24%, 62.99%, 25.75%, 10.57%,-, 0.68%
18087,17.17%, 52.11%, 34.94%, 12.26%,-, 0.70%
18089,31.93%, 29.22%, 61.15%, 9.19%,-, 0.45%
18091,14.66%, 35.82%, 50.48%, 13.04%,-, 0.66%
18093,15.02%, 50.64%, 35.62%, 12.89%,-, 0.85%
18095,1.16%, 43.10%, 44.25%, 12.00%,-, 0.65%
18097,3.15%, 47.24%, 44.10%, 7.57%,-, 1.09%
18099,17.31%, 52.84%, 35.53%, 11.00%,-, 0.63%
18101,9.17%, 48.33%, 39.15%, 10.28%,-, 0.19%
18103,19.27%, 52.66%, 33.39%, 12.99%,-, 0.97%
18105,4.51%, 42.27%, 46.78%, 8.03%,-, 2.92%
18107,28.96%, 57.51%, 28.55%, 13.18%,-, 0.75%
18109,32.69%, 59.60%, 26.91%, 12.76%,-, 0.73%
18111,3.70%, 43.14%, 39.44%, 16.65%,-, 0.77%
18113,12.43%, 50.17%, 37.73%, 11.25%,-, 0.85%
18115,0.61%, 44.38%, 43.78%, 11.36%,-, 0.49%
18117,4.62%, 45.69%, 41.07%, 12.77%,-, 0.46%
18119,12.96%, 48.77%, 35.81%, 13.95%,-, 1.47%
18121,10.55%, 47.61%, 37.06%, 14.82%,-, 0.51%
18123,23.62%, 32.21%, 55.83%, 11.51%,-, 0.45%
18125,10.31%, 36.99%, 47.29%, 15.04%,-, 0.68%
18127,2.04%, 42.00%, 44.04%, 13.13%,-, 0.83%
18129,2.99%, 42.34%, 45.33%, 11.91%,-, 0.42%
18131,12.67%, 49.95%, 37.28%, 11.76%,-, 1.00%
18133,17.18%, 51.29%, 34.11%, 13.94%,-, 0.66%
18135,5.96%, 45.18%, 39.22%, 14.94%,-, 0.65%
18137,11.30%, 49.67%, 38.38%, 11.39%,-, 0.56%
18139,16.81%, 51.52%, 34.71%, 13.10%,-, 0.67%
18141,7.97%, 41.08%, 49.04%, 8.99%,-, 0.88%
18143,16.35%, 36.35%, 52.70%, 10.55%,-, 0.40%
18145,15.88%, 51.37%, 35.49%, 12.38%,-, 0.77%
18147,3.34%, 43.74%, 47.08%, 8.57%,-, 0.61%
18149,9.15%, 38.13%, 47.29%, 13.45%,-, 1.13%
18151,12.48%, 49.53%, 37.05%, 12.49%,-, 0.93%
18153,10.06%, 37.11%, 47.17%, 13.63%,-, 2.09%
18155,7.22%, 39.72%, 46.94%, 12.65%,-, 0.69%
18157,11.68%, 49.48%, 37.80%, 11.83%,-, 0.89%
18159,20.34%, 53.89%, 33.55%, 11.66%,-, 0.89%
18161,11.54%, 48.86%, 37.33%, 13.33%,-, 0.48%
18163,3.68%, 43.22%, 46.90%, 9.30%,-, 0.59%
18165,13.78%, 35.08%, 48.87%, 15.47%,-, 0.59%
18167,5.77%, 40.91%, 46.69%, 11.71%,-, 0.69%
18169,18.57%, 53.79%, 35.22%, 9.96%,-, 1.04%
18171,7.79%, 46.01%, 38.22%, 15.36%,-, 0.41%
18173,0.30%, 43.68%, 43.99%, 11.71%,-, 0.63%
18175,2.68%, 44.14%, 41.46%, 13.72%,-, 0.67%
18177,4.97%, 47.24%, 42.27%, 9.79%,-, 0.71%
18179,22.76%, 55.98%, 33.22%, 10.24%,-, 0.56%
18181,12.85%, 47.87%, 35.02%, 16.60%,-, 0.52%
18183,15.39%, 51.31%, 35.92%, 11.97%,-, 0.79%
19001,3.74%, 42.06%, 45.79%, 11.64%,-, 0.51%
19003,6.45%, 39.55%, 46.00%, 13.76%,-, 0.69%
19005,1.63%, 42.50%, 44.13%, 11.76%,-, 1.61%
19007,9.19%, 39.93%, 49.12%, 9.91%,-, 1.04%
19009,14.71%, 37.67%, 52.38%, 9.00%,-, 0.95%
19011,16.65%, 37.31%, 53.95%, 8.23%,-, 0.51%
19013,19.45%, 36.38%, 55.83%, 6.82%,-, 0.97%
19015,18.19%, 36.27%, 54.47%, 8.34%,-, 0.92%
19017,7.96%, 41.42%, 49.38%, 8.47%,-, 0.73%
19019,21.83%, 34.00%, 55.83%, 9.34%,-, 0.84%
19021,2.71%, 45.65%, 42.94%, 10.43%,-, 0.98%
19023,0.38%, 45.78%, 46.16%, 7.37%,-, 0.68%
19025,2.43%, 43.46%, 45.89%, 9.67%,-, 0.98%
19027,10.71%, 38.59%, 49.29%, 11.35%,-, 0.76%
19029,11.19%, 49.29%, 38.11%, 11.78%,-, 0.82%
19031,11.59%, 38.64%, 50.23%, 9.85%,-, 1.28%
19033,21.27%, 34.99%, 56.26%, 7.96%,-, 0.79%
19035,3.52%, 41.27%, 44.79%, 13.09%,-, 0.85%
19037,18.30%, 34.45%, 52.75%, 11.93%,-, 0.86%
19039,16.62%, 35.71%, 52.33%, 11.22%,-, 0.74%
19041,6.92%, 40.88%, 47.80%, 10.48%,-, 0.85%
19043,16.35%, 35.93%, 52.28%, 11.13%,-, 0.66%
19045,17.86%, 35.30%, 53.17%, 10.65%,-, 0.88%
19047,6.76%, 40.00%, 46.76%, 12.61%,-, 0.63%
19049,8.56%, 41.52%, 50.07%, 7.48%,-, 0.92%
19051,11.94%, 38.44%, 50.39%, 10.16%,-, 1.01%
19053,15.43%, 35.52%, 50.95%, 12.48%,-, 1.05%
19055,8.52%, 40.88%, 49.41%, 9.06%,-, 0.65%
19057,26.83%, 31.11%, 57.94%, 9.65%,-, 1.31%
19059,5.66%, 40.92%, 46.59%, 11.78%,-, 0.71%
19061,19.57%, 35.19%, 54.77%, 8.68%,-, 1.36%
19063,14.26%, 37.20%, 51.46%, 10.66%,-, 0.68%
19065,10.22%, 39.98%, 50.21%, 9.25%,-, 0.56%
19067,20.18%, 34.54%, 54.73%, 10.00%,-, 0.73%
19069,3.76%, 43.40%, 47.16%, 8.81%,-, 0.63%
19071,2.67%, 44.24%, 41.58%, 13.48%,-, 0.70%
19073,13.71%, 38.78%, 52.49%, 8.25%,-, 0.48%
19075,10.66%, 51.49%, 40.83%, 7.05%,-, 0.63%
19077,10.08%, 39.57%, 49.65%, 10.02%,-, 0.76%
19079,4.75%, 42.72%, 47.48%, 9.08%,-, 0.71%
19081,0.87%, 44.32%, 45.19%, 9.96%,-, 0.53%
19083,6.58%, 42.11%, 48.69%, 8.57%,-, 0.64%
19085,7.57%, 47.04%, 39.47%, 12.56%,-, 0.93%
19087,3.87%, 42.03%, 45.90%, 11.05%,-, 1.03%
19089,17.59%, 34.69%, 52.28%, 12.60%,-, 0.43%
19091,3.16%, 45.33%, 42.17%, 11.96%,-, 0.55%
19093,2.55%, 45.12%, 42.58%, 11.68%,-, 0.62%
19095,4.43%, 43.24%, 47.68%, 8.17%,-, 0.91%
19097,21.06%, 33.41%, 54.47%, 11.06%,-, 1.05%
19099,14.24%, 38.67%, 52.92%, 7.62%,-, 0.80%
19101,0.76%, 34.35%, 35.11%, 7.72%,-, 1.54%
19103,31.68%, 29.31%, 60.98%, 5.06%, 3.26%, 1.40%
19105,18.47%, 35.93%, 54.40%, 8.92%,-, 0.76%
19107,9.12%, 40.78%, 49.89%, 8.47%,-, 0.86%
19109,6.51%, 40.88%, 47.40%, 10.96%,-, 0.76%
19111,24.89%, 31.49%, 56.38%, 11.07%,-, 1.05%
19113,17.51%, 37.28%, 54.79%, 6.75%,-, 1.17%
19115,12.07%, 36.61%, 48.68%, 13.80%,-, 0.91%
19117,13.83%, 37.68%, 51.51%, 10.29%,-, 0.52%
19119,35.63%, 63.45%, 27.82%, 7.88%,-, 0.84%
19121,8.22%, 40.30%, 48.52%, 10.34%,-, 0.84%
19123,8.23%, 50.03%, 41.80%, 7.34%,-, 0.84%
19125,0.93%, 46.74%, 45.80%, 6.67%,-, 0.79%
19127,9.54%, 40.50%, 50.04%, 8.40%,-, 1.06%
19129,15.42%, 51.25%, 35.83%, 11.83%,-, 1.09%
19131,14.18%, 37.01%, 51.19%, 11.10%,-, 0.69%
19133,6.56%, 39.50%, 46.06%, 13.69%,-, 0.76%
19135,17.42%, 36.21%, 53.63%, 9.37%,-, 0.80%
19137,12.91%, 49.69%, 36.78%, 12.75%,-, 0.77%
19139,11.80%, 38.07%, 49.88%, 11.08%,-, 0.97%
19141,24.37%, 57.56%, 33.20%, 8.58%,-, 0.65%
19143,23.80%, 56.90%, 33.10%, 8.98%,-, 1.02%
19145,25.73%, 57.25%, 31.52%, 10.69%,-, 0.54%
19147,11.78%, 38.63%, 50.41%, 10.14%,-, 0.81%
19149,13.78%, 51.40%, 37.62%, 10.01%,-, 0.97%
19151,6.50%, 40.50%, 47.00%, 11.34%,-, 1.16%
19153,14.73%, 39.00%, 53.73%, 6.10%,-, 1.17%
19155,7.23%, 47.68%, 40.45%, 10.77%,-, 1.11%
19157,11.71%, 39.21%, 50.93%, 8.29%,-, 1.57%
19159,17.23%, 35.29%, 52.52%, 11.31%,-, 0.88%
19161,0.78%, 44.21%, 43.43%, 11.59%,-, 0.78%
19163,9.11%, 41.03%, 50.14%, 7.65%,-, 1.17%
19165,14.81%, 51.44%, 36.63%, 10.97%,-, 0.96%
19167,60.04%, 77.00%, 16.95%, 5.09%,-, 0.96%
19169,14.58%, 38.13%, 52.71%, 6.40%,-, 2.76%
19171,13.00%, 38.52%, 51.52%, 9.20%,-, 0.76%
19173,1.19%, 43.32%, 44.51%, 11.57%,-, 0.61%
19175,11.15%, 38.11%, 49.27%, 11.67%,-, 0.95%
19177,2.25%, 43.26%, 45.51%, 10.28%,-, 0.95%
19179,24.43%, 32.69%, 57.12%, 9.32%,-, 0.87%
19181,12.68%, 39.52%, 52.20%, 7.25%,-, 1.03%
19183,2.79%, 44.05%, 46.84%, 7.78%,-, 1.33%
19185,10.87%, 39.64%, 50.51%, 9.49%,-, 0.37%
19187,12.89%, 38.43%, 51.32%, 9.68%,-, 0.57%
19189,8.48%, 40.05%, 48.52%, 10.69%,-, 0.74%
19191,6.73%, 40.27%, 47.00%, 11.09%,-, 1.63%
19193,2.28%, 43.69%, 45.97%, 9.17%,-, 1.16%
19195,25.15%, 32.00%, 57.15%, 10.04%,-, 0.80%
19197,7.37%, 41.50%, 48.87%, 8.99%,-, 0.64%
20001,8.38%, 47.06%, 38.68%, 13.34%,-, 0.91%
20003,7.67%, 46.66%, 38.99%, 12.81%,-, 1.54%
20005,1.50%, 43.25%, 44.75%, 11.12%,-, 0.87%
20007,35.40%, 62.15%, 26.75%, 10.22%,-, 0.88%
20009,39.13%, 64.92%, 25.80%, 8.30%,-, 0.98%
20011,12.50%, 50.17%, 37.66%, 11.49%,-, 0.68%
20013,24.39%, 56.58%, 32.18%, 10.46%,-, 0.78%
20015,28.07%, 58.70%, 30.63%, 9.55%,-, 1.13%
20017,18.19%, 50.19%, 32.00%, 16.71%,-, 1.10%
20019,29.29%, 58.27%, 28.98%, 11.33%,-, 1.43%
20021,4.06%, 45.76%, 41.70%, 11.85%,-, 0.69%
20023,43.54%, 66.83%, 23.29%, 9.60%,-, 0.28%
20025,39.62%, 65.02%, 25.40%, 8.29%,-, 1.29%
20027,43.81%, 66.87%, 23.05%, 9.31%,-, 0.77%
20029,22.48%, 54.66%, 32.18%, 12.14%,-, 1.02%
20031,30.59%, 57.92%, 27.33%, 13.99%,-, 0.76%
20033,34.87%, 61.31%, 26.44%, 11.80%,-, 0.44%
20035,14.74%, 50.79%, 36.05%, 12.28%,-, 0.87%
20037,6.66%, 40.60%, 47.25%, 11.24%,-, 0.91%
20039,45.44%, 68.06%, 22.61%, 8.46%,-, 0.87%
20041,32.18%, 60.53%, 28.35%, 10.39%,-, 0.74%
20043,29.86%, 64.24%, 34.38%,-,-, 1.38%
20045,5.29%, 42.63%, 47.93%, 6.96%,-, 2.48%
20047,30.25%, 59.94%, 29.70%, 9.92%,-, 0.44%
20049,27.08%, 56.79%, 29.70%, 12.54%,-, 0.97%
20051,22.31%, 56.97%, 34.66%, 7.48%,-, 0.90%
20053,36.39%, 64.14%, 27.75%, 7.56%,-, 0.56%
20055,39.84%, 65.43%, 25.59%, 8.51%,-, 0.47%
20057,32.94%, 61.30%, 28.36%, 9.86%,-, 0.47%
20059,14.79%, 50.91%, 36.12%, 12.04%,-, 0.94%
20061,18.29%, 54.29%, 35.99%, 9.10%,-, 0.62%
20063,47.57%, 69.19%, 21.63%, 8.69%,-, 0.49%
20065,36.84%, 63.41%, 26.57%, 9.35%,-, 0.68%
20067,42.76%, 66.52%, 23.76%, 9.38%,-, 0.34%
20069,51.69%, 71.53%, 19.83%, 8.05%,-, 0.59%
20071,51.52%, 71.95%, 20.43%, 5.96%,-, 1.65%
20073,22.67%, 53.15%, 30.48%, 15.19%,-, 1.18%
20075,37.55%, 64.93%, 27.38%, 6.73%,-, 0.96%
20077,34.98%, 61.44%, 26.46%, 11.24%,-, 0.85%
20079,23.88%, 57.79%, 33.91%, 7.05%,-, 1.25%
20081,53.99%, 73.55%, 19.56%, 6.18%,-, 0.71%
20083,47.85%, 69.42%, 21.56%, 8.51%,-, 0.52%
20085,12.80%, 49.12%, 36.32%, 13.46%,-, 1.10%
20087,13.35%, 49.31%, 35.95%, 13.43%,-, 1.30%
20089,48.07%, 69.01%, 20.94%, 9.44%,-, 0.60%
20091,22.13%, 57.82%, 35.69%, 5.46%,-, 1.03%
20093,47.51%, 70.05%, 22.54%, 7.13%,-, 0.27%
20095,40.19%, 64.65%, 24.46%, 9.94%,-, 0.95%
20097,52.39%, 70.97%, 18.59%, 9.55%,-, 0.90%
20099,3.75%, 45.66%, 41.91%, 11.63%,-, 0.80%
20101,48.53%, 70.67%, 22.14%, 7.03%,-, 0.16%
20103,7.47%, 47.90%, 40.44%, 10.75%,-, 0.91%
20105,39.66%, 64.47%, 24.81%, 9.96%,-, 0.75%
20107,11.50%, 49.04%, 37.54%, 12.63%,-, 0.78%
20109,54.64%, 73.47%, 18.83%, 7.12%,-, 0.57%
20111,13.07%, 50.01%, 36.94%, 11.98%,-, 1.07%
20113,35.75%, 63.20%, 27.45%, 8.65%,-, 0.70%
20115,39.13%, 65.32%, 26.19%, 7.70%,-, 0.80%
20117,15.98%, 51.11%, 35.13%, 12.96%,-, 0.80%
20119,49.39%, 70.08%, 20.69%, 8.40%,-, 0.83%
20121,9.30%, 47.98%, 38.68%, 12.22%,-, 1.12%
20123,45.20%, 68.71%, 23.50%, 6.94%,-, 0.85%
20125,15.03%, 51.71%, 36.68%, 10.64%,-, 0.97%
20127,19.67%, 51.96%, 32.29%, 15.09%,-, 0.67%
20129,44.09%, 67.87%, 23.78%, 7.84%,-, 0.51%
20131,25.41%, 56.07%, 30.66%, 12.58%,-, 0.69%
20133,12.79%, 49.43%, 36.64%, 13.15%,-, 0.78%
20135,46.33%, 68.16%, 21.84%, 9.49%,-, 0.51%
20137,42.99%, 66.42%, 23.43%, 9.70%,-, 0.44%
20139,13.78%, 48.80%, 35.01%, 15.41%,-, 0.78%
20141,40.72%, 66.14%, 25.42%, 7.98%,-, 0.46%
20143,37.85%, 63.88%, 26.02%, 9.03%,-, 1.07%
20145,31.55%, 61.10%, 29.55%, 8.72%,-, 0.63%
20147,41.24%, 66.30%, 25.07%, 8.00%,-, 0.63%
20149,32.37%, 58.16%, 25.79%, 13.37%,-, 2.69%
20151,27.81%, 58.87%, 31.06%, 9.27%,-, 0.80%
20153,56.04%, 73.78%, 17.74%, 7.73%,-, 0.74%
20155,19.65%, 54.28%, 34.63%, 10.12%,-, 0.97%
20157,48.88%, 69.97%, 21.08%, 8.21%,-, 0.74%
20159,29.40%, 59.34%, 29.94%, 10.06%,-, 0.65%
20161,22.27%, 56.68%, 34.41%, 7.54%,-, 1.38%
20163,43.56%, 66.88%, 23.32%, 9.01%,-, 0.79%
20165,34.79%, 62.29%, 27.50%, 9.30%,-, 0.90%
