statecounty,margin,dole,clinton,perot,nader,other
48299,21.42%, 55.45%, 34.03%, 9.85%,-, 0.67%
48301,42.86%, 62.34%, 18.18%, 19.48%,-,-
48303,32.91%, 63.50%, 30.59%, 5.36%,-, 0.54%
48305,11.29%, 52.39%, 41.10%, 6.19%,-, 0.32%
48307,7.78%, 48.70%, 40.92%, 9.84%,-, 0.53%
48309,5.73%, 48.61%, 42.88%, 8.13%,-, 0.37%
48311,36.51%, 63.72%, 27.21%, 8.14%,-, 0.93%
48313,3.16%, 47.03%, 43.87%, 8.74%,-, 0.36%
48315,21.00%, 34.45%, 55.46%, 9.65%,-, 0.44%
48317,18.61%, 54.88%, 36.27%, 7.90%,-, 0.96%
48319,19.08%, 54.70%, 35.62%, 8.70%,-, 0.98%
48321,4.02%, 47.03%, 43.01%, 9.52%,-, 0.43%
48323,64.64%, 15.94%, 80.58%, 3.07%,-, 0.41%
48325,17.64%, 55.03%, 37.39%, 6.89%,-, 0.69%
48327,4.51%, 42.47%, 46.98%, 9.78%,-, 0.77%
48329,42.52%, 68.01%, 25.49%, 5.57%,-, 0.93%
48331,11.23%, 39.90%, 51.13%, 8.68%,-, 0.29%
48333,14.56%, 51.35%, 36.79%, 11.31%,-, 0.54%
48335,10.98%, 39.46%, 50.44%, 9.65%,-, 0.46%
48337,4.69%, 45.71%, 41.02%, 12.71%,-, 0.56%
48339,38.73%, 65.23%, 26.50%, 7.76%,-, 0.52%
48341,39.25%, 65.96%, 26.72%, 7.06%,-, 0.26%
48343,31.57%, 30.01%, 61.58%, 8.33%,-, 0.08%
48345,35.70%, 62.81%, 27.11%, 9.26%,-, 0.83%
48347,13.98%, 53.25%, 39.27%, 6.95%,-, 0.53%
48349,6.73%, 41.88%, 48.62%, 9.12%,-, 0.38%
48351,25.70%, 31.62%, 57.32%, 10.64%,-, 0.43%
48353,7.72%, 40.18%, 47.89%, 11.37%,-, 0.56%
48355,13.46%, 40.22%, 53.68%, 5.48%,-, 0.63%
48357,64.09%, 79.20%, 15.11%, 5.40%,-, 0.29%
48359,42.00%, 66.17%, 24.18%, 8.74%,-, 0.91%
48361,4.03%, 42.85%, 46.88%, 9.68%,-, 0.59%
48363,3.14%, 42.36%, 45.50%, 11.68%,-, 0.46%
48365,1.78%, 44.59%, 46.37%, 8.64%,-, 0.39%
48367,19.11%, 54.29%, 35.18%, 10.07%,-, 0.47%
48369,47.30%, 70.71%, 23.41%, 5.54%,-, 0.35%
48371,2.18%, 43.89%, 46.07%, 9.36%,-, 0.68%
48373,0.79%, 45.44%, 44.65%, 9.46%,-, 0.45%
48375,21.80%, 57.13%, 35.33%, 6.85%,-, 0.68%
48377,47.90%, 22.32%, 70.22%, 6.47%,-, 0.99%
48379,5.20%, 41.09%, 46.29%, 12.26%,-, 0.37%
48381,48.17%, 71.33%, 23.16%, 5.01%,-, 0.50%
48383,20.38%, 55.22%, 34.85%, 8.65%,-, 1.28%
48385,29.79%, 58.40%, 28.61%, 12.30%,-, 0.69%
48387,12.18%, 39.06%, 51.24%, 9.49%,-, 0.22%
48389,35.87%, 28.40%, 64.27%, 6.91%,-, 0.42%
48391,7.97%, 42.35%, 50.32%, 6.83%,-, 0.49%
48393,51.20%, 72.09%, 20.89%, 6.85%,-, 0.17%
48395,18.71%, 37.57%, 56.27%, 6.09%,-, 0.08%
48397,39.31%, 65.01%, 25.70%, 8.76%,-, 0.52%
48399,13.93%, 51.58%, 37.66%, 10.52%,-, 0.24%
48401,15.68%, 54.22%, 38.55%, 6.90%,-, 0.33%
48403,6.45%, 42.29%, 48.74%, 8.51%,-, 0.46%
48405,17.64%, 36.39%, 54.03%, 9.10%,-, 0.48%
48407,1.65%, 44.38%, 42.73%, 12.49%,-, 0.40%
48409,2.67%, 45.21%, 47.88%, 6.39%,-, 0.52%
48411,13.83%, 51.72%, 37.89%, 10.13%,-, 0.26%
48413,6.80%, 48.67%, 41.87%, 9.20%,-, 0.25%
48415,14.15%, 49.95%, 35.79%, 13.86%,-, 0.39%
48417,19.71%, 53.84%, 34.13%, 11.49%,-, 0.54%
48419,2.96%, 43.27%, 46.22%, 10.13%,-, 0.39%
48421,49.52%, 70.78%, 21.26%, 7.79%,-, 0.17%
48423,25.92%, 59.97%, 34.05%, 5.47%,-, 0.51%
48425,4.46%, 46.23%, 41.78%, 11.49%,-, 0.50%
48427,76.53%, 10.41%, 86.94%, 2.16%,-, 0.48%
48429,15.13%, 52.27%, 37.15%, 10.25%,-, 0.34%
48431,31.09%, 58.89%, 27.80%, 12.86%,-, 0.45%
48433,17.88%, 35.22%, 53.11%, 11.45%,-, 0.22%
48435,13.82%, 52.84%, 39.02%, 7.83%,-, 0.31%
48437,2.51%, 44.71%, 47.22%, 7.52%,-, 0.54%
48439,9.25%, 50.85%, 41.60%, 7.01%,-, 0.53%
48441,26.16%, 59.17%, 33.02%, 7.28%,-, 0.53%
48443,17.92%, 35.65%, 53.56%, 9.06%,-, 1.73%
48445,20.77%, 56.43%, 35.66%, 7.54%,-, 0.36%
48447,10.18%, 48.85%, 38.67%, 12.21%,-, 0.27%
48449,3.62%, 43.37%, 46.99%, 9.38%,-, 0.26%
48451,19.29%, 55.21%, 35.91%, 8.40%,-, 0.48%
48453,12.39%, 39.97%, 52.36%, 5.69%,-, 1.98%
48455,13.48%, 38.76%, 52.24%, 8.66%,-, 0.34%
48457,7.86%, 41.11%, 48.97%, 9.46%,-, 0.47%
48459,1.25%, 45.71%, 44.45%, 9.59%,-, 0.25%
48461,21.68%, 56.89%, 35.22%, 7.31%,-, 0.58%
48463,1.32%, 47.65%, 46.32%, 5.50%,-, 0.53%
48465,11.94%, 41.10%, 53.05%, 5.17%,-, 0.68%
48467,11.32%, 49.60%, 38.28%, 11.69%,-, 0.43%
48469,25.78%, 59.94%, 34.16%, 4.96%,-, 0.94%
48471,7.48%, 49.27%, 41.79%, 8.14%,-, 0.80%
48473,11.32%, 41.28%, 52.60%, 5.79%,-, 0.34%
48475,0.64%, 43.41%, 44.05%, 11.95%,-, 0.59%
48477,27.44%, 60.65%, 33.21%, 5.77%,-, 0.37%
48479,57.65%, 19.02%, 76.67%, 3.78%,-, 0.53%
48481,8.07%, 50.38%, 42.31%, 7.12%,-, 0.20%
48483,26.43%, 59.20%, 32.77%, 7.60%,-, 0.44%
48485,11.81%, 51.30%, 39.49%, 8.44%,-, 0.77%
48487,7.19%, 47.73%, 40.53%, 10.90%,-, 0.84%
48489,45.41%, 24.62%, 70.02%, 4.45%,-, 0.91%
48491,19.03%, 55.37%, 36.34%, 7.41%,-, 0.87%
48493,9.01%, 49.96%, 40.95%, 8.38%,-, 0.71%
48495,6.51%, 47.98%, 41.46%, 10.37%,-, 0.19%
48497,9.82%, 48.81%, 38.99%, 11.69%,-, 0.51%
48499,12.47%, 51.21%, 38.74%, 9.74%,-, 0.31%
48501,30.44%, 60.51%, 30.07%, 8.88%,-, 0.53%
48503,18.71%, 54.46%, 35.75%, 9.54%,-, 0.25%
48505,51.63%, 21.27%, 72.90%, 5.35%,-, 0.49%
48507,67.84%, 14.50%, 82.34%, 2.85%,-, 0.31%
49001,22.78%, 55.59%, 32.81%, 10.36%,-, 1.24%
49003,38.93%, 62.65%, 23.72%, 11.81%,-, 1.83%
49005,38.79%, 63.77%, 24.99%, 9.09%,-, 2.15%
49007,24.12%, 30.90%, 55.03%, 12.56%,-, 1.52%
49009,24.88%, 55.63%, 30.75%, 12.91%,-, 0.70%
49011,33.06%, 60.25%, 27.19%, 10.56%,-, 2.00%
49013,42.22%, 63.67%, 21.45%, 13.61%,-, 1.27%
