statecounty,Margin,Reagan,Mondale,Hall,Other
06071,30.82%, 64.80%, 33.98%,-, 1.22%
06073,31.89%, 65.30%, 33.41%,-, 1.29%
06075,35.91%, 31.44%, 67.35%,-, 1.21%
06077,20.37%, 59.61%, 39.24%,-, 1.15%
06079,28.71%, 63.72%, 35.02%,-, 1.26%
06081,4.96%, 51.87%, 46.91%,-, 1.22%
06083,26.75%, 62.76%, 36.01%,-, 1.24%
06085,11.16%, 54.81%, 43.65%,-, 1.54%
06087,8.07%, 45.20%, 53.27%,-, 1.52%
06089,25.87%, 62.19%, 36.32%,-, 1.48%
06091,15.66%, 56.86%, 41.19%,-, 1.95%
06093,18.86%, 58.25%, 39.39%,-, 2.36%
06095,10.23%, 54.51%, 44.29%,-, 1.20%
06097,3.44%, 51.08%, 47.64%,-, 1.28%
06099,19.37%, 59.23%, 39.86%,-, 0.92%
06101,44.00%, 71.23%, 27.24%,-, 1.53%
06103,27.41%, 62.78%, 35.37%,-, 1.85%
06105,22.34%, 59.71%, 37.37%,-, 2.91%
06107,28.77%, 63.88%, 35.11%,-, 1.02%
06109,17.74%, 58.09%, 40.35%,-, 1.57%
06111,38.48%, 68.67%, 30.19%,-, 1.15%
06113,3.05%, 47.84%, 50.89%,-, 1.27%
06115,28.84%, 63.52%, 34.68%,-, 1.81%
08001,21.64%, 60.20%, 38.56%,-, 1.24%
08003,26.17%, 62.68%, 36.51%,-, 0.81%
08005,45.24%, 71.92%, 26.67%,-, 1.41%
08007,44.98%, 71.98%, 27.00%,-, 1.02%
08009,52.73%, 75.85%, 23.12%,-, 1.04%
08011,20.69%, 59.75%, 39.06%,-, 1.18%
08013,11.66%, 55.06%, 43.40%,-, 1.54%
08014,0%,-,-,-,-
08015,34.25%, 66.31%, 32.05%,-, 1.64%
08017,48.03%, 73.23%, 25.21%,-, 1.56%
08019,32.26%, 65.34%, 33.08%,-, 1.58%
08021,3.57%, 51.40%, 47.83%,-, 0.77%
08023,23.05%, 38.07%, 61.13%,-, 0.80%
08025,31.17%, 65.03%, 33.86%,-, 1.11%
08027,54.07%, 76.12%, 22.05%,-, 1.83%
08029,39.87%, 69.28%, 29.41%,-, 1.31%
08031,2.32%, 47.83%, 50.15%,-, 2.02%
08033,58.12%, 78.47%, 20.35%,-, 1.18%
08035,59.83%, 79.33%, 19.50%,-, 1.17%
08037,37.21%, 67.84%, 30.63%,-, 1.52%
08039,52.09%, 75.27%, 23.17%,-, 1.56%
08041,51.11%, 75.04%, 23.93%,-, 1.03%
08043,35.53%, 67.31%, 31.78%,-, 0.91%
08045,39.23%, 69.14%, 29.91%,-, 0.95%
08047,16.68%, 57.03%, 40.36%,-, 0.38%
08049,46.90%, 72.72%, 25.81%,-, 1.47%
08051,36.40%, 67.32%, 30.92%,-, 1.76%
08053,51.21%, 74.88%, 23.67%,-, 1.45%
08055,0.65%, 49.04%, 49.69%,-, 1.27%
08057,57.53%, 78.22%, 20.69%,-, 1.08%
08059,39.19%, 68.92%, 29.73%,-, 1.35%
08061,51.77%, 75.22%, 23.45%,-, 1.33%
08063,55.36%, 77.06%, 21.71%,-, 1.23%
08065,1.46%, 49.65%, 48.20%,-, 2.15%
08067,36.22%, 67.49%, 31.27%,-, 1.23%
08069,34.72%, 66.65%, 31.93%,-, 1.43%
08071,10.06%, 44.38%, 54.43%,-, 1.19%
08073,47.15%, 72.91%, 25.77%,-, 1.32%
08075,45.84%, 72.33%, 26.50%,-, 1.17%
08077,40.49%, 69.66%, 29.17%,-, 1.17%
08079,47.06%, 72.55%, 25.49%,-, 1.96%
08081,48.22%, 72.88%, 24.65%,-, 2.47%
08083,47.46%, 73.06%, 25.59%,-, 1.35%
08085,42.25%, 70.40%, 28.15%,-, 1.45%
08087,44.02%, 71.26%, 27.24%,-, 1.50%
08089,27.49%, 62.37%, 34.88%,-, 2.75%
08091,42.48%, 70.85%, 28.37%,-, 0.78%
08093,43.38%, 70.33%, 26.95%,-, 2.72%
08095,43.85%, 71.36%, 27.50%,-, 1.14%
08097,14.91%, 56.39%, 41.48%,-, 2.13%
08099,39.92%, 68.71%, 28.79%,-, 2.49%
08101,4.77%, 47.19%, 51.97%,-, 0.84%
08103,62.46%, 80.81%, 18.35%,-, 0.83%
08105,47.35%, 73.25%, 25.90%,-, 0.84%
08107,34.14%, 66.15%, 32.01%,-, 1.84%
08109,16.03%, 57.63%, 41.60%,-, 0.77%
08111,26.40%, 61.66%, 35.26%,-, 3.08%
08113,11.77%, 54.77%, 43.00%,-, 2.24%
08115,45.29%, 72.39%, 27.10%,-, 0.51%
08117,33.86%, 66.14%, 32.29%,-, 1.57%
08119,52.98%, 75.84%, 22.86%,-, 1.29%
08121,56.33%, 77.50%, 21.16%,-, 1.34%
08123,38.16%, 68.51%, 30.35%,-, 1.14%
08125,49.77%, 74.32%, 24.55%,-, 1.14%
09001,31.97%, 65.78%, 33.81%,-, 0.41%
09003,10.47%, 55.02%, 44.56%,-, 0.42%
09005,32.76%, 66.21%, 33.45%,-, 0.34%
09007,18.98%, 59.32%, 40.34%,-, 0.34%
09009,20.08%, 59.81%, 39.74%,-, 0.45%
09011,23.68%, 61.59%, 37.91%,-, 0.50%
09013,24.16%, 61.88%, 37.72%,-, 0.40%
09015,23.65%, 61.59%, 37.95%,-, 0.46%
10001,29.17%, 64.46%, 35.29%,-, 0.25%
10003,14.57%, 57.14%, 42.57%,-, 0.29%
