id,margin,hoover,smith,other,hex_color
05101,42.16%, 70.87%, 28.70%, 0.43%,b40149
05103,20.17%, 39.92%, 60.08%,-,650099
05105,14.56%, 42.59%, 57.14%, 0.27%,6c0091
05107,61.68%, 19.08%, 80.76%, 0.16%,3000cd
05109,5.46%, 47.07%, 52.53%, 0.40%,780185
05111,32.46%, 33.60%, 66.06%, 0.34%,5500a8
05113,7.93%, 53.34%, 45.41%, 1.25%,880373
05115,27.24%, 36.11%, 63.35%, 0.53%,5c01a1
05117,23.87%, 37.82%, 61.69%, 0.49%,60019d
05119,30.69%, 34.55%, 65.24%, 0.21%,5800a6
05121,32.50%, 33.58%, 66.08%, 0.35%,5500a8
05123,37.91%, 30.82%, 68.73%, 0.45%,4e01af
05125,41.49%, 29.12%, 70.60%, 0.28%,4a00b4
05127,21.56%, 38.85%, 60.41%, 0.75%,63019a
05129,40.03%, 69.65%, 29.62%, 0.73%,b1014b
05131,4.17%, 51.84%, 47.67%, 0.49%,840179
05133,41.22%, 29.39%, 70.61%,-,4a00b4
05135,23.44%, 38.24%, 61.68%, 0.08%,61009d
05137,11.28%, 43.62%, 54.90%, 1.49%,6f038b
05139,31.93%, 33.95%, 65.88%, 0.17%,5600a7
05141,21.48%, 39.18%, 60.66%, 0.16%,63009a
05143,13.24%, 56.26%, 43.02%, 0.72%,8f016d
05145,7.99%, 45.73%, 53.73%, 0.54%,740189
05147,43.97%, 27.95%, 71.92%, 0.12%,4700b7
05149,44.26%, 27.65%, 71.91%, 0.45%,4601b7
06001,31.82%, 65.42%, 33.60%, 0.98%,a60255
06003,88.46%, 94.23%, 5.77%,-,f0000e
06005,11.41%, 44.12%, 55.53%, 0.36%,70008d
06007,22.62%, 60.45%, 37.83%, 1.73%,9a0460
06009,8.35%, 53.79%, 45.44%, 0.77%,890173
06011,13.30%, 56.30%, 42.99%, 0.71%,8f016d
06013,22.02%, 60.38%, 38.36%, 1.26%,990361
06015,12.46%, 55.87%, 43.41%, 0.72%,8e016e
06017,10.38%, 44.25%, 54.63%, 1.12%,70028b
06019,9.98%, 54.30%, 44.32%, 1.38%,8a0371
06021,30.83%, 65.03%, 34.20%, 0.76%,a50157
06023,41.39%, 69.75%, 28.37%, 1.88%,b10448
06025,36.58%, 67.61%, 31.03%, 1.36%,ac034f
06027,16.41%, 57.37%, 40.96%, 1.67%,920468
06029,26.24%, 62.67%, 36.43%, 0.90%,9f025c
06031,4.30%, 51.51%, 47.21%, 1.28%,830378
06033,32.11%, 65.37%, 33.26%, 1.36%,a60354
06035,13.81%, 56.73%, 42.92%, 0.35%,90006d
06037,41.51%, 70.22%, 28.71%, 1.07%,b30249
06039,10.68%, 54.88%, 44.21%, 0.91%,8b0270
06041,15.90%, 57.44%, 41.54%, 1.02%,920269
06043,11.66%, 55.03%, 43.37%, 1.59%,8c046e
06045,28.76%, 63.39%, 34.63%, 1.98%,a10558
06047,21.69%, 60.17%, 38.48%, 1.35%,990362
06049,13.92%, 56.75%, 42.83%, 0.42%,90016d
06051,26.12%, 61.80%, 35.67%,-,9d005a
06053,26.98%, 63.12%, 36.13%, 0.75%,a0015c
06055,15.62%, 57.48%, 41.86%, 0.66%,92016a
06057,5.12%, 52.00%, 46.88%, 1.12%,840277
06059,59.60%, 79.35%, 19.75%, 0.89%,ca0232
06061,0.21%, 49.25%, 49.46%, 1.29%,7d037e
06063,6.36%, 45.64%, 52.00%,-,740084
06065,56.82%, 77.94%, 21.12%, 0.94%,c60235
06067,2.64%, 50.83%, 48.19%, 0.99%,81027a
