id,margin,mccain,obama,other,hex_color
05103,10.85%, 54.49%, 43.63%, 1.88%,8a046f
05105,32.51%, 64.10%, 31.60%, 2.06%,a30550
05107,28.97%, 34.53%, 63.50%, 1.97%,5805a1
05109,41.30%, 68.76%, 27.46%, 3.78%,af0946
05111,27.26%, 61.84%, 34.59%, 1.03%,9d0258
05113,45.78%, 71.25%, 25.48%, 3.27%,b50840
05115,43.33%, 70.51%, 27.18%, 2.31%,b30545
05117,34.75%, 65.75%, 31.00%, 3.25%,a7084f
05119,11.55%, 43.52%, 55.07%, 1.41%,6e038c
05121,18.14%, 57.21%, 39.07%, 3.72%,910963
05123,16.51%, 41.21%, 57.72%, 1.07%,690293
05125,40.95%, 69.38%, 28.43%, 2.19%,b00548
05127,43.50%, 69.86%, 26.36%, 3.78%,b20943
05129,45.88%, 70.86%, 24.98%, 4.16%,b40a3f
05131,34.63%, 66.27%, 31.64%, 2.09%,a80550
05133,40.04%, 68.23%, 28.19%, 1.51%,ad0347
05135,28.94%, 62.53%, 33.59%, 1.67%,9f0455
05137,36.36%, 66.38%, 30.02%, 3.61%,a9094c
05139,26.12%, 62.15%, 36.03%, 1.82%,9e045b
05141,31.70%, 63.79%, 32.09%, 1.97%,a20551
05143,13.08%, 55.52%, 42.44%, 2.04%,8d056c
05145,47.25%, 72.22%, 24.97%, 2.80%,b8073f
05147,7.46%, 43.68%, 51.14%, 2.57%,6f0682
05149,29.90%, 63.09%, 33.18%, 3.73%,a00954
06001,59.33%, 19.19%, 78.52%, 2.29%,3005c8
06003,24.50%, 36.31%, 60.81%, 2.88%,5c079b
06005,14.56%, 55.94%, 41.38%, 2.67%,8e0669
06007,2.34%, 47.32%, 49.66%, 3.03%,78077e
06009,12.90%, 54.80%, 41.90%, 3.30%,8b086a
06011,18.05%, 57.89%, 39.84%, 2.26%,930565
06013,37.63%, 30.10%, 67.73%, 2.17%,4c05ac
06015,6.76%, 52.11%, 45.36%, 2.53%,840673
06017,10.49%, 53.92%, 43.44%, 2.64%,89066e
06019,2.08%, 47.91%, 49.99%, 2.10%,7a057f
06021,22.03%, 59.82%, 37.80%, 2.38%,980660
06023,28.11%, 33.94%, 62.05%, 4.01%,560a9e
06025,26.16%, 36.08%, 62.24%, 1.67%,5c049e
06027,9.12%, 52.88%, 43.76%, 3.37%,86086f
06029,17.68%, 57.65%, 39.97%, 2.38%,930665
06031,14.14%, 56.14%, 42.00%, 1.85%,8f046b
06033,19.19%, 38.76%, 57.96%, 3.28%,620893
06035,34.09%, 65.45%, 31.37%, 3.18%,a6084f
06037,40.37%, 28.82%, 69.19%, 1.99%,4905b0
06039,13.26%, 55.52%, 42.27%, 2.21%,8d056b
06041,57.58%, 20.19%, 77.77%, 2.04%,3305c6
06043,12.38%, 54.75%, 42.37%, 2.88%,8b076c
06045,42.61%, 26.68%, 69.29%, 4.03%,440ab0
06047,8.32%, 44.81%, 53.13%, 2.05%,720587
06049,37.74%, 67.44%, 29.71%, 2.85%,ab074b
06051,13.27%, 42.25%, 55.52%, 2.23%,6b058d
06053,38.26%, 29.89%, 68.15%, 1.95%,4c04ad
06055,32.47%, 32.67%, 65.14%, 2.19%,5305a6
06057,5.31%, 46.12%, 51.43%, 2.46%,750683
06059,2.56%, 50.19%, 47.63%, 2.17%,7f0579
06061,11.24%, 54.45%, 43.21%, 2.33%,8a056e
06063,11.97%, 54.72%, 42.75%, 2.52%,8b066d
06065,2.31%, 47.90%, 50.21%, 1.89%,7a0480
06067,18.96%, 39.34%, 58.30%, 2.35%,640594
06069,22.70%, 37.52%, 60.22%, 2.25%,5f0599
06071,6.32%, 45.75%, 52.07%, 2.18%,740584
06073,10.16%, 43.79%, 53.95%, 2.26%,6f0589
06075,70.33%, 13.62%, 83.96%, 2.42%,2206d6
06077,10.64%, 43.56%, 54.19%, 2.25%,6f058a
06079,5.35%, 45.85%, 51.20%, 2.95%,740782
06081,48.72%, 24.75%, 73.47%, 1.78%,3f04bb
06083,22.82%, 37.39%, 60.21%, 2.40%,5f0699
06085,40.90%, 28.55%, 69.45%, 2.00%,4805b1
06087,57.54%, 19.76%, 77.30%, 2.93%,3207c5
06089,25.78%, 61.68%, 35.91%, 2.41%,9d065b
06091,20.84%, 58.16%, 37.32%, 4.52%,940b5f
06093,10.33%, 53.42%, 43.09%, 3.49%,88086d
06095,28.50%, 34.68%, 63.18%, 2.14%,5805a1
06097,49.60%, 24.04%, 73.64%, 2.33%,3d05bb
06099,1.72%, 47.98%, 49.70%, 2.31%,7a057e
06101,16.65%, 57.27%, 40.62%, 2.11%,920567
06103,24.01%, 60.44%, 36.42%, 3.14%,9a085c
06105,4.56%, 45.72%, 50.28%, 4.00%,740a80
06107,15.29%, 56.64%, 41.35%, 2.01%,900569
06109,12.66%, 54.90%, 42.24%, 2.87%,8b076b
06111,12.24%, 42.77%, 55.01%, 2.22%,6d058c
06113,36.23%, 30.84%, 67.07%, 2.09%,4e05ab
06115,14.68%, 56.10%, 41.43%, 2.47%,8f0669
08001,18.36%, 39.86%, 58.22%, 1.92%,650494
