id,margin,taft,wilson,other,roosevelt,other2,hex_color
23015,2.85%, 12.28%, 43.89%,41.6%, 41.04%,-,1f6a6f
23017,1.72%, 16.69%, 39.79%,43.52%, 41.50%,-,2a6e65
23019,1.43%, 23.91%, 36.17%,39.92%, 37.59%,-,3c655c
23021,13.13%, 21.41%, 32.10%,46.5%, 45.23%,-,367651
23023,5.78%, 25.31%, 38.06%,33.54%, 32.28%,-,405561
23025,2.55%, 19.43%, 36.45%,39.61%, 39.00%,-,31655c
23027,10.51%, 18.20%, 44.31%,34.47%, 33.79%,-,2e5770
23029,18.22%, 26.40%, 45.07%,28.53%, 26.84%,-,434872
23031,8.87%, 30.25%, 39.12%,30.62%, 28.66%,-,4d4e63
24001,8.74%, 16.25%, 39.36%,32.34%, 30.62%,-,295264
24003,12.50%, 33.60%, 46.10%,20.3%, 12.00%, 7.17%,553375
24005,23.81%, 19.03%, 51.65%,29.32%, 27.84%,-,304a83
24009,23.63%, 58.38%, 34.74%,6.88%, 4.68%,-,941158
24011,11.99%, 39.64%, 51.63%,8.73%, 5.38%, 2.14%,651683
24013,14.83%, 35.28%, 50.11%,14.61%, 12.79%,-,59257f
24015,20.73%, 31.86%, 52.60%,15.540000000000001%, 13.64%,-,512786
24017,24.75%, 59.45%, 34.69%,5.859999999999999%, 4.27%,-,970e58
24019,2.29%, 44.79%, 47.08%,8.120000000000001%, 5.87%,-,721478
24021,24.05%, 24.76%, 48.81%,26.43%, 24.44%,-,3f437c
24023,2.19%, 22.43%, 34.42%,39.45%, 36.61%, 2.77%,396457
24025,23.23%, 30.40%, 53.63%,15.969999999999999%, 14.04%,-,4d2888
24027,17.53%, 33.92%, 51.45%,14.63%, 12.30%,-,562583
24029,23.52%, 30.21%, 53.73%,16.07%, 13.70%,-,4d2889
24031,29.26%, 26.84%, 56.10%,17.06%, 14.16%,-,442b8f
24033,18.12%, 27.26%, 45.38%,27.349999999999998%, 24.49%,-,454573
24035,17.25%, 38.27%, 55.52%,6.210000000000001%, 3.47%,-,610f8d
24037,17.94%, 54.02%, 36.09%,9.89%, 6.16%, 3.34%,89195c
24039,2.50%, 43.01%, 45.51%,11.48%, 10.41%,-,6d1d74
24041,1.32%, 45.81%, 47.13%,7.0600000000000005%, 4.74%, 2.07%,741278
24043,20.79%, 19.99%, 48.10%,28.37%, 27.32%,-,32487a
24045,19.72%, 35.31%, 55.02%,9.67%, 7.66%,-,5a188c
24047,31.01%, 23.31%, 54.33%,22.360000000000003%, 20.42%,-,3b398a
24510,14.45%, 15.70%, 48.36%,35.94%, 33.91%,-,285b7b
25001,19.96%, 25.11%, 26.57%,48.32%, 46.53%,-,407b43
