id,margin,nixon,mcgovern,other,other2,hex_color
05135,39.66%, 69.71%,30.060000000000002,0.23%,0,b1004c
05137,34.93%, 67.38%,32.45,0.17%,0,ab0052
05139,54.01%, 76.72%,22.72,0.56%,0,c30139
05141,24.27%, 61.91%,37.64,0.45%,0,9d015f
05143,42.16%, 70.94%,28.78,0.28%,0,b40049
05145,35.08%, 67.24%,32.150000000000006,0.61%,0,ab0151
05147,25.02%, 61.73%,36.720000000000006,1.55%,0,9d035d
05149,32.96%, 66.48%,33.519999999999996,0.0%,0,a90055
06001,12.18%, 42.84%,55.019999999999996,2.14%,0,6d058c
06003,29.69%, 63.54%,33.86,2.6%,0,a20656
06005,12.52%, 53.40%,40.89,5.71%, 5.14%,880e68
06007,20.82%, 57.61%,36.78,5.609999999999999%, 4.93%,920e5d
06009,27.30%, 60.76%,33.46000000000001,5.78%, 4.48%,9a0e55
06011,19.19%, 57.56%,38.37,4.07%, 3.54%,920a61
06013,10.64%, 54.13%,43.489999999999995,2.38%,0,8a066e
06015,13.65%, 51.82%,38.17,10.01%, 9.12%,841961
06017,12.80%, 54.20%,41.39,4.41%, 3.80%,8a0b69
06019,4.06%, 50.44%,46.370000000000005,3.19%, 2.51%,800876
06021,24.38%, 59.01%,34.620000000000005,6.37%, 5.92%,961058
06023,2.65%, 48.83%,46.18,4.989999999999999%, 4.14%,7c0c75
06025,27.12%, 62.05%,34.93000000000001,3.02%, 2.66%,9e0759
06027,40.05%, 68.07%,28.02000000000001,3.91%, 3.35%,ad0947
06029,24.96%, 60.14%,35.19,4.67%, 4.29%,990b59
06031,17.40%, 56.52%,39.11,4.37%, 3.99%,900b63
06033,15.00%, 55.12%,40.13,4.75%, 4.33%,8c0c66
06035,6.80%, 50.80%,44.010000000000005,5.19%, 4.49%,810d70
06037,12.71%, 54.75%,42.05,3.2%, 2.54%,8b086b
06039,8.43%, 52.61%,44.19,3.2%, 2.87%,860870
06041,6.46%, 52.10%,45.64,2.26%,0,840574
06043,16.80%, 56.15%,39.35,4.5%, 3.73%,8f0b64
06045,7.76%, 51.01%,43.260000000000005,5.7299999999999995%, 4.81%,820e6e
06047,11.71%, 54.33%,42.620000000000005,3.05%, 2.56%,8a076c
06049,22.83%, 58.49%,35.650000000000006,5.859999999999999%, 5.27%,950e5a
06051,37.30%, 66.88%,29.58,3.54%, 2.79%,aa094b
06053,17.55%, 57.04%,39.49,3.4699999999999998%, 2.76%,910864
06055,22.60%, 59.61%,37.0,3.39%, 2.91%,98085e
06057,15.79%, 54.68%,38.89,6.43%, 5.93%,8b1063
06059,41.34%, 68.27%,26.930000000000007,4.800000000000001%, 4.36%,ae0c44
06061,4.56%, 50.34%,45.769999999999996,3.89%, 3.39%,800974
06063,1.65%, 46.42%,48.06,5.52%, 5.00%,760e7a
06065,19.60%, 58.00%,38.41,3.59%, 3.13%,930961
06067,1.36%, 49.00%,47.63,3.37%, 2.72%,7c0879
06069,20.04%, 57.56%,37.519999999999996,4.920000000000001%, 4.48%,920c5f
06071,24.23%, 59.73%,35.49000000000001,4.779999999999999%, 4.27%,980c5a
06073,27.48%, 61.82%,34.34,3.84%, 3.36%,9d0957
06075,14.25%, 41.82%,56.07,2.11%,0,6a058e
06077,15.77%, 55.30%,39.53,5.17%, 4.51%,8d0d64
06079,15.26%, 55.98%,40.71,3.31%, 2.27%,8e0867
06081,10.00%, 52.82%,45.55,1.63%,0,860474
06083,13.55%, 55.19%,41.64,3.17%, 2.55%,8c086a
06085,6.30%, 51.90%,45.6,2.5%,0,840674
06087,3.53%, 49.88%,46.36,3.76%, 2.77%,7f0976
06089,1.67%, 46.68%,48.35,4.970000000000001%, 4.48%,770c7b
06091,2.19%, 47.51%,49.690000000000005,2.8%, 2.04%,79077e
06093,7.68%, 51.46%,43.78,4.760000000000001%, 4.23%,830c6f
06095,11.30%, 54.02%,42.73,3.25%, 2.79%,89086c
06097,13.23%, 54.72%,41.49,3.79%, 3.03%,8b0969
06099,5.88%, 51.41%,45.540000000000006,3.05%, 2.53%,830774
06101,29.41%, 62.45%,33.03999999999999,4.51%, 3.95%,9f0b54
06103,7.08%, 48.73%,41.660000000000004,9.61%, 9.34%,7c186a
06105,6.71%, 50.75%,44.04,5.21%, 4.59%,810d70
06107,23.73%, 59.93%,36.2,3.87%, 3.45%,98095c
06109,11.96%, 54.29%,42.34,3.37%, 2.75%,8a086b
06111,30.50%, 63.20%,32.7,4.1000000000000005%, 3.70%,a10a53
06113,13.40%, 42.04%,55.44,2.52%,0,6b068d
06115,18.81%, 56.95%,38.14,4.91%, 4.45%,910c61
08001,24.40%, 60.79%,36.39,2.82%,0,9b075c
08003,29.50%, 62.51%,33.010000000000005,4.4799999999999995%, 4.09%,9f0b54
08005,46.50%, 72.24%,25.74000000000001,2.02%,0,b80541
08007,32.55%, 64.47%,31.909999999999997,3.62%, 3.19%,a40951
08009,50.25%, 73.93%,23.689999999999998,2.38%, 2.25%,bc063c
08011,31.11%, 64.29%,33.17999999999999,2.53%, 2.19%,a30654
08013,15.72%, 56.80%,41.080000000000005,2.12%,0,900568
08014,0%,-,0,0.0%,0,000000
08015,35.07%, 66.63%,31.55000000000001,1.82%,0,a90450
08017,32.27%, 63.37%,31.11,5.5200000000000005%, 5.29%,a10e4f
08019,29.66%, 62.23%,32.57000000000001,5.199999999999999%, 3.76%,9e0d53
08021,17.34%, 55.51%,38.160000000000004,6.33%, 6.16%,8d1061
08023,9.94%, 42.16%,52.1,5.74%,0,6b0e84
08025,43.93%, 70.67%,26.75,2.5799999999999996%, 2.26%,b40644
08027,49.21%, 71.43%,22.22999999999999,6.34%, 6.20%,b61038
08029,41.37%, 67.73%,26.36,5.91%, 5.48%,ac0f43
08031,10.62%, 54.14%,43.519999999999996,2.34%,0,8a056e
08033,47.84%, 71.76%,23.919999999999987,4.32%, 4.03%,b60b3c
08035,53.69%, 75.52%,21.840000000000003,2.64%, 2.08%,c00637
08037,18.60%, 58.16%,39.57,2.27%,0,940564
08039,49.95%, 73.29%,23.33999999999999,3.37%, 2.90%,ba083b
08041,41.88%, 69.11%,27.22,3.67%, 2.90%,b00945
08043,39.69%, 68.41%,28.72,2.8699999999999997%, 2.53%,ae0749
08045,35.19%, 66.27%,31.08,2.65%, 2.13%,a8064f
08047,17.02%, 57.02%,40.0,2.98%, 2.10%,910766
08049,42.10%, 69.93%,27.83999999999999,2.23%,0,b20546
08051,29.76%, 63.60%,33.83,2.57%,0,a20656
08053,57.66%, 77.48%,19.819999999999993,2.7%, 2.25%,c50632
08055,9.22%, 53.52%,44.3,2.18%,0,880570
08057,54.80%, 76.72%,21.930000000000007,1.35%,0,c30337
08059,42.35%, 69.88%,27.540000000000006,2.58%,0,b20646
08061,38.16%, 67.92%,29.75999999999999,2.3200000000000003%, 2.16%,ad054b
08063,45.67%, 70.89%,25.22,3.8899999999999997%, 3.80%,b40940
08065,10.11%, 53.67%,43.57,2.76%,0,88076f
08067,31.29%, 62.24%,30.950000000000003,6.8100000000000005%, 6.29%,9e114e
08069,32.51%, 65.02%,32.52000000000001,2.46%,0,a50652
08071,6.28%, 52.59%,46.31999999999999,1.09%,0,860276
08073,41.44%, 70.03%,28.590000000000003,1.38%,0,b20348
08075,36.78%, 67.27%,30.49000000000001,2.24%,0,ab054d
08077,40.55%, 68.66%,28.120000000000005,3.2199999999999998%, 2.78%,af0847
08079,43.39%, 70.98%,27.58,1.44%,0,b40346
08081,46.95%, 67.70%,20.75,11.55%, 11.55%,ac1d34
08083,46.99%, 73.49%,26.510000000000005,0.0%,0,bb0043
08085,38.26%, 64.75%,26.489999999999995,8.76%, 8.29%,a51643
08087,43.09%, 70.40%,27.299999999999997,2.3%,0,b30545
08089,33.74%, 65.75%,32.010000000000005,2.24%,0,a70551
08091,53.85%, 74.58%,20.74000000000001,4.68%, 3.68%,be0b34
08093,43.19%, 70.29%,27.11,2.6%,0,b30645
08095,35.00%, 65.31%,30.319999999999993,4.37%, 4.15%,a60b4d
08097,9.99%, 44.16%,54.150000000000006,1.69%,0,70048a
08099,26.58%, 61.58%,35.019999999999996,3.4000000000000004%, 2.99%,9d0859
08101,12.73%, 54.43%,41.7,3.87%, 2.37%,8a096a
08103,57.09%, 77.25%,20.17,2.58%, 2.24%,c40633
08105,43.96%, 69.69%,25.730000000000004,4.58%, 4.28%,b10b41
08107,22.93%, 59.33%,36.400000000000006,4.27%, 3.59%,970a5c
08109,28.79%, 63.18%,34.379999999999995,2.44%, 2.26%,a10657
08111,24.02%, 58.33%,34.32000000000001,7.3500000000000005%, 6.86%,941257
08113,14.80%, 54.95%,40.15,4.9%, 3.96%,8c0c66
08115,38.70%, 67.85%,29.150000000000006,3.0%, 2.58%,ad074a
08117,20.46%, 59.03%,38.57,2.4%,0,960662
08119,44.28%, 70.45%,26.17,3.3800000000000003%, 2.45%,b30842
08121,45.42%, 69.87%,24.459999999999994,5.67%, 5.14%,b20e3e
08123,34.91%, 66.29%,31.36999999999999,2.34%,0,a9054f
08125,44.67%, 71.03%,26.349999999999994,2.6199999999999997%, 2.32%,b50643
09001,29.66%, 64.00%,34.34,1.66%,0,a30457
09003,5.17%, 52.09%,46.93,0.98%,0,840277
09005,21.53%, 60.20%,38.68,1.12%,0,990262
09007,16.85%, 57.90%,41.050000000000004,1.05%,0,930268
09009,19.30%, 59.01%,39.71,1.28%,0,960365
09011,27.71%, 63.40%,35.68000000000001,0.92%,0,a1025a
09013,13.77%, 56.45%,42.69,0.86%,0,8f026c
09015,13.38%, 56.04%,42.65,1.31%,0,8e036c
10001,25.39%, 62.03%,36.64,1.33%,0,9e035d
10003,17.63%, 58.21%,40.58,1.21%,0,940367
10005,30.39%, 64.59%,34.2,1.21%,0,a40357
11001,56.54%, 21.56%,78.09,0.35%,0,3600c7
12001,13.27%, 56.54%,43.26,0.2%,0,90006e
12003,67.33%, 83.64%,16.319999999999993,0.04%,0,d50029
12005,67.60%, 83.80%,16.200000000000003,0.0%,0,d50029
12007,49.12%, 73.67%,24.549999999999997,1.78%,0,bb043e
12009,57.59%, 78.73%,21.14,0.13%,0,c80035
12011,45.10%, 72.41%,27.310000000000002,0.28%,0,b80045
12013,63.48%, 81.68%,18.19999999999999,0.12%,0,d0002e
12015,53.60%, 76.64%,23.03,0.33%,0,c3003a
12017,54.47%, 77.22%,22.75,0.03%,0,c4003a
12019,71.25%, 85.53%,14.280000000000001,0.19%,0,da0024
12021,61.51%, 80.63%,19.120000000000005,0.25%,0,cd0030
12023,60.32%, 80.16%,19.840000000000003,0.0%,0,cc0032
12027,55.23%, 77.58%,22.340000000000003,0.08%,0,c50038
12029,63.14%, 81.52%,18.38000000000001,0.1%,0,cf002e
12031,44.69%, 72.19%,27.5,0.31%,0,b80046
12033,59.59%, 79.57%,19.980000000000004,0.45%,0,ca0132
12035,48.16%, 74.08%,25.92,0.0%,0,bc0042
12037,64.47%, 82.14%,17.679999999999993,0.18%,0,d1002d
12039,22.04%, 61.01%,38.97,0.02%,0,9b0063
12041,67.67%, 83.45%,15.780000000000001,0.77%,0,d40128
12043,59.24%, 78.81%,19.569999999999993,1.62%,0,c80431
12045,57.23%, 78.54%,21.309999999999988,0.15%,0,c80036
12047,46.97%, 73.34%,26.36999999999999,0.29%,0,bb0043
12049,69.21%, 84.57%,15.360000000000014,0.07%,0,d70027
12051,57.76%, 78.85%,21.090000000000003,0.06%,0,c90035
12053,49.78%, 74.87%,25.08999999999999,0.04%,0,be003f
12055,59.24%, 79.49%,20.260000000000005,0.25%,0,ca0033
12057,40.42%, 70.13%,29.710000000000008,0.16%,0,b2004b
12059,85.03%, 92.51%,7.489999999999995,0.0%,0,eb0013
12061,55.86%, 77.85%,21.980000000000004,0.17%,0,c60038
12063,60.04%, 79.99%,19.940000000000012,0.07%,0,cb0032
12065,33.18%, 66.04%,32.86,1.1%,0,a80253
12067,71.71%, 85.69%,13.990000000000009,0.32%,0,da0023
12069,65.44%, 82.63%,17.200000000000003,0.17%,0,d2002b
12071,59.12%, 79.46%,20.340000000000003,0.2%,0,ca0033
12073,27.65%, 63.72%,36.07,0.21%,0,a2005b
12075,58.28%, 79.12%,20.83,0.05%,0,c90035
12077,68.75%, 84.38%,15.620000000000005,0.0%,0,d70027
12079,46.17%, 72.92%,26.739999999999995,0.34%,0,b90044
12081,60.10%, 79.79%,19.679999999999993,0.53%,0,cb0132
12083,56.55%, 78.18%,21.639999999999986,0.18%,0,c70037
12085,58.27%, 78.83%,20.560000000000002,0.61%,0,c90134
12086,18.09%, 58.87%,40.78,0.35%,0,960067
