statecounty,Margin,McCain,Obama,Other
21189,53.26%, 75.86%, 22.60%, 1.54%
21191,28.42%, 63.36%, 34.94%, 1.71%
21193,31.98%, 65.18%, 33.20%, 1.63%
21195,13.82%, 55.89%, 42.07%, 2.04%
21197,15.53%, 57.06%, 41.53%, 1.41%
21199,55.39%, 77.09%, 21.70%, 1.22%
21201,8.08%, 52.51%, 44.43%, 0.79%
21203,53.35%, 75.82%, 22.47%, 1.71%
21205,2.05%, 47.92%, 49.96%, 2.12%
21207,56.32%, 77.31%, 20.99%, 1.70%
21209,20.63%, 59.72%, 39.09%, 1.20%
21211,24.70%, 61.76%, 37.06%, 1.18%
21213,22.74%, 60.71%, 37.97%, 1.33%
21215,35.52%, 66.82%, 31.30%, 1.89%
21217,40.54%, 69.69%, 29.14%, 1.17%
21219,36.29%, 67.52%, 31.23%, 1.25%
21221,29.77%, 64.18%, 34.41%, 1.41%
21223,19.81%, 58.74%, 38.93%, 2.33%
21225,5.24%, 51.71%, 46.47%, 1.82%
21227,18.86%, 58.88%, 40.02%, 1.09%
21229,26.82%, 62.65%, 35.83%, 1.52%
21231,37.06%, 67.65%, 30.59%, 1.76%
21233,11.68%, 54.82%, 43.14%, 2.04%
21235,47.66%, 73.08%, 25.42%, 1.50%
21237,2.86%, 47.44%, 50.30%, 2.26%
21239,17.10%, 57.98%, 40.88%, 1.14%
22001,45.68%, 71.99%, 26.31%, 1.70%
22003,36.36%, 66.90%, 30.54%, 2.57%
22005,35.67%, 67.08%, 31.40%, 1.52%
22007,11.18%, 54.57%, 43.39%, 2.03%
22009,23.08%, 60.43%, 37.35%, 2.21%
22011,54.33%, 76.15%, 21.82%, 2.03%
22013,2.52%, 50.82%, 48.30%, 0.87%
22015,43.66%, 71.37%, 27.71%, 0.91%
22017,3.04%, 48.07%, 51.11%, 0.82%
22019,24.60%, 61.43%, 36.82%, 1.75%
22021,52.69%, 75.54%, 22.85%, 1.61%
22023,65.28%, 81.44%, 16.16%, 2.40%
22025,34.97%, 66.72%, 31.75%, 1.53%
22027,10.60%, 54.82%, 44.22%, 0.96%
22029,19.96%, 59.49%, 39.53%, 0.98%
22031,13.39%, 56.16%, 42.77%, 1.08%
22033,2.16%, 48.34%, 50.50%, 1.17%
22035,28.46%, 35.23%, 63.70%, 1.07%
22037,10.55%, 54.61%, 44.06%, 1.33%
22039,24.66%, 61.30%, 36.64%, 2.07%
22041,35.45%, 67.09%, 31.64%, 1.27%
22043,63.48%, 80.71%, 17.22%, 2.07%
22045,23.02%, 60.68%, 37.66%, 1.66%
22047,11.19%, 43.75%, 54.95%, 1.30%
22049,35.34%, 67.09%, 31.75%, 1.16%
22051,26.55%, 62.50%, 35.94%, 1.56%
22053,39.66%, 68.72%, 29.06%, 2.22%
22055,31.27%, 64.88%, 33.61%, 1.51%
22057,45.99%, 71.49%, 25.50%, 3.01%
22059,72.36%, 85.49%, 13.12%, 1.39%
22061,12.45%, 55.69%, 43.23%, 1.08%
22063,71.89%, 85.02%, 13.13%, 1.85%
22065,17.89%, 40.60%, 58.49%, 0.91%
22067,11.11%, 54.98%, 43.88%, 1.14%
22069,7.34%, 53.05%, 45.71%, 1.24%
22071,60.34%, 19.08%, 79.42%, 1.50%
22073,25.17%, 62.07%, 36.90%, 1.03%
22075,33.63%, 65.98%, 32.35%, 1.67%
22077,9.54%, 53.90%, 44.36%, 1.75%
22079,28.66%, 63.65%, 34.99%, 1.36%
22081,8.73%, 53.66%, 44.93%, 1.40%
22083,26.58%, 62.64%, 36.06%, 1.30%
22085,51.61%, 74.87%, 23.26%, 1.88%
22087,45.43%, 71.21%, 25.78%, 3.01%
22089,31.24%, 64.80%, 33.56%, 1.65%
22091,16.90%, 40.78%, 57.68%, 1.54%
22093,12.43%, 43.23%, 55.67%, 1.10%
22095,16.22%, 41.15%, 57.37%, 1.48%
22097,3.25%, 50.95%, 47.70%, 1.35%
22099,20.72%, 59.55%, 38.84%, 1.61%
22101,16.76%, 57.56%, 40.80%, 1.64%
22103,53.39%, 75.84%, 22.45%, 1.71%
22105,30.85%, 64.68%, 33.82%, 1.50%
22107,9.18%, 44.97%, 54.14%, 0.89%
22109,40.86%, 69.32%, 28.46%, 2.22%
22111,41.55%, 70.10%, 28.55%, 1.34%
22113,47.53%, 72.76%, 25.23%, 2.01%
22115,53.35%, 75.76%, 22.41%, 1.83%
22117,32.72%, 65.59%, 32.87%, 1.54%
22119,26.31%, 62.49%, 36.18%, 1.33%
22121,13.58%, 56.08%, 42.50%, 1.42%
22123,63.51%, 81.11%, 17.61%, 1.28%
22125,13.08%, 56.05%, 42.97%, 0.98%
22127,38.17%, 68.40%, 30.23%, 1.37%
23001,15.22%, 41.33%, 56.55%, 2.12%
23003,9.58%, 44.17%, 53.75%, 2.09%
23005,29.87%, 34.23%, 64.10%, 1.67%
23007,20.29%, 38.58%, 58.87%, 0.52%
23009,19.30%, 39.44%, 58.74%, 1.82%
23011,14.78%, 41.65%, 56.43%, 1.92%
23013,21.38%, 38.36%, 59.74%, 1.90%
23015,12.04%, 43.03%, 55.07%, 1.90%
23017,16.04%, 40.64%, 56.68%, 0.63%
23019,5.12%, 46.60%, 51.72%, 1.69%
23021,3.76%, 50.72%, 46.96%, 2.32%
23023,16.11%, 40.94%, 57.05%, 2.01%
23025,5.70%, 46.07%, 51.77%, 2.16%
23027,11.64%, 43.13%, 54.77%, 2.11%
23029,1.01%, 48.50%, 49.51%, 1.99%
23031,20.53%, 38.83%, 59.36%, 1.81%
24001,25.93%, 61.88%, 35.95%, 2.17%
24003,1.80%, 49.95%, 48.15%, 1.90%
24005,14.55%, 41.66%, 56.22%, 2.12%
24009,6.35%, 52.42%, 46.07%, 1.50%
24011,23.03%, 60.64%, 37.61%, 1.76%
24013,31.20%, 64.30%, 33.11%, 2.59%
24015,14.57%, 56.14%, 41.57%, 2.29%
24017,25.53%, 36.69%, 62.22%, 1.08%
24019,8.22%, 53.48%, 45.25%, 1.27%
24021,1.04%, 49.62%, 48.58%, 1.80%
24023,40.14%, 69.17%, 29.02%, 1.81%
24025,18.82%, 58.19%, 39.38%, 2.43%
24027,21.85%, 38.14%, 59.99%, 1.87%
24029,0.48%, 48.95%, 49.43%, 1.62%
24031,44.58%, 27.00%, 71.58%, 1.41%
24033,78.49%, 10.38%, 88.87%, 0.75%
24035,27.08%, 62.74%, 35.66%, 1.59%
24037,12.79%, 55.63%, 42.84%, 1.53%
24039,2.60%, 50.76%, 48.16%, 1.09%
24041,9.64%, 54.09%, 44.45%, 1.47%
24043,12.86%, 55.47%, 42.61%, 1.93%
24045,5.77%, 52.20%, 46.44%, 1.36%
24047,15.48%, 57.07%, 41.59%, 1.33%
24510,75.50%, 11.66%, 87.16%, 1.18%
25001,14.03%, 42.08%, 56.11%, 1.81%
25003,52.45%, 22.50%, 74.94%, 2.56%
25005,23.17%, 37.24%, 60.41%, 2.36%
25007,51.84%, 23.14%, 74.98%, 1.88%
25009,20.33%, 38.80%, 59.12%, 2.08%
25011,47.69%, 24.77%, 72.46%, 2.76%
25013,25.34%, 36.09%, 61.43%, 2.49%
25015,45.56%, 25.91%, 71.47%, 2.62%
25017,30.13%, 33.85%, 63.98%, 2.17%
25019,36.52%, 30.78%, 67.30%, 1.92%
25021,18.51%, 39.67%, 58.18%, 2.15%
25023,7.57%, 45.19%, 52.77%, 2.04%
25025,55.69%, 21.24%, 76.94%, 1.82%
25027,13.75%, 41.83%, 55.59%, 2.58%
26001,7.91%, 53.02%, 45.11%, 1.87%
26003,5.98%, 46.06%, 52.04%, 1.89%
26005,10.65%, 54.28%, 43.63%, 2.08%
26007,3.83%, 47.11%, 50.95%, 1.94%
26009,10.30%, 54.19%, 43.89%, 1.93%
26011,4.28%, 46.84%, 51.12%, 2.04%
26013,3.31%, 50.53%, 47.22%, 2.24%
26015,9.74%, 53.65%, 43.91%, 2.45%
26017,15.27%, 41.32%, 56.59%, 2.09%
26019,7.41%, 45.47%, 52.88%, 1.66%
26021,5.46%, 46.42%, 51.88%, 1.70%
26023,6.13%, 52.14%, 46.01%, 1.85%
26025,9.36%, 44.48%, 53.84%, 1.69%
26027,4.11%, 47.14%, 51.25%, 1.61%
26029,3.40%, 50.74%, 47.35%, 1.91%
26031,1.44%, 49.78%, 48.34%, 1.88%
26033,0.50%, 49.48%, 48.98%, 1.54%
26035,4.81%, 46.51%, 51.32%, 2.16%
26037,0.69%, 48.85%, 49.54%, 1.61%
26039,1.67%, 49.61%, 47.94%, 2.45%
26041,6.35%, 45.97%, 52.32%, 1.72%
26043,7.92%, 52.96%, 45.04%, 2.01%
26045,8.40%, 44.95%, 53.36%, 1.69%
26047,4.40%, 51.32%, 46.92%, 1.76%
26049,32.42%, 32.86%, 65.27%, 1.87%
26051,1.50%, 48.27%, 49.77%, 1.96%
26053,17.23%, 40.21%, 57.44%, 2.34%
26055,2.99%, 50.60%, 47.62%, 1.78%
26057,4.41%, 46.92%, 51.33%, 1.75%
26059,12.01%, 54.87%, 42.86%, 2.26%
26061,3.91%, 50.72%, 46.81%, 2.47%
26063,0.39%, 49.22%, 48.83%, 1.95%
26065,33.22%, 32.50%, 65.72%, 1.78%
26067,5.82%, 51.74%, 45.93%, 2.33%
26069,5.10%, 46.28%, 51.38%, 2.34%
26071,2.16%, 47.83%, 49.98%, 2.19%
26073,19.22%, 39.49%, 58.71%, 1.80%
26075,2.39%, 47.79%, 50.19%, 2.02%
26077,19.45%, 39.34%, 58.79%, 1.87%
26079,8.79%, 53.27%, 44.48%, 2.26%
26081,0.52%, 48.83%, 49.34%, 1.83%
26083,10.35%, 53.62%, 43.26%, 3.12%
26085,12.28%, 42.88%, 55.16%, 1.97%
26087,3.03%, 50.33%, 47.30%, 2.37%
26089,2.88%, 47.97%, 50.85%, 1.18%
26091,5.05%, 46.43%, 51.48%, 2.09%
26093,13.26%, 55.64%, 42.39%, 1.97%
26095,10.91%, 54.38%, 43.47%, 2.15%
26097,3.76%, 50.99%, 47.23%, 1.78%
26099,8.60%, 44.66%, 53.26%, 2.08%
26101,13.26%, 42.36%, 55.62%, 2.03%
26103,20.23%, 38.80%, 59.03%, 2.16%
26105,4.40%, 46.89%, 51.29%, 1.82%
26107,0.73%, 49.41%, 48.68%, 1.91%
26109,10.17%, 43.85%, 54.02%, 2.13%
26111,3.57%, 50.83%, 47.26%, 1.90%
26113,20.97%, 59.65%, 38.68%, 1.67%
26115,4.34%, 46.79%, 51.13%, 2.08%
26117,0.31%, 49.05%, 48.75%, 2.20%
26119,8.17%, 53.00%, 44.83%, 2.16%
26121,29.22%, 34.51%, 63.73%, 1.76%
26123,4.62%, 51.14%, 46.52%, 2.35%
26125,14.48%, 41.94%, 56.42%, 1.65%
26127,4.36%, 46.85%, 51.20%, 1.95%
26129,2.39%, 47.54%, 49.93%, 2.54%
26131,3.68%, 46.92%, 50.60%, 2.47%
26133,10.14%, 54.17%, 44.03%, 1.80%
26135,9.96%, 53.38%, 43.42%, 3.20%
26137,8.84%, 53.39%, 44.55%, 2.06%
26139,23.80%, 61.03%, 37.23%, 1.74%
26141,1.54%, 48.01%, 49.55%, 2.44%
26143,2.52%, 47.72%, 50.24%, 2.04%
26145,17.31%, 40.49%, 57.80%, 1.71%
26147,2.65%, 47.63%, 50.28%, 2.09%
26149,2.19%, 50.00%, 47.81%, 2.18%
26151,8.09%, 52.95%, 44.86%, 2.20%
26153,2.91%, 47.47%, 50.38%, 2.15%
26155,8.59%, 44.67%, 53.27%, 2.06%
26157,0.85%, 49.33%, 48.48%, 2.19%
26159,8.78%, 44.68%, 53.47%, 1.85%
26161,40.86%, 28.76%, 69.62%, 1.61%
26163,49.40%, 24.62%, 74.02%, 1.35%
26165,4.22%, 51.10%, 46.88%, 2.02%
27001,0.06%, 48.77%, 48.83%, 2.40%
27003,2.40%, 50.13%, 47.73%, 2.14%
27005,6.86%, 52.17%, 45.31%, 2.52%
27007,10.15%, 43.90%, 54.05%, 2.05%
27009,9.74%, 53.46%, 43.71%, 2.83%
27011,6.35%, 45.55%, 51.91%, 2.54%
27013,12.95%, 42.15%, 55.10%, 2.75%
27015,12.09%, 54.74%, 42.65%, 2.61%
27017,26.84%, 35.50%, 62.34%, 2.16%
27019,15.10%, 56.67%, 41.57%, 1.76%
27021,8.49%, 53.11%, 44.62%, 2.28%
27023,5.87%, 45.74%, 51.60%, 2.66%
27025,10.26%, 53.88%, 43.62%, 2.50%
27027,16.02%, 40.94%, 56.96%, 2.10%
27029,9.72%, 53.77%, 44.05%, 2.18%
27031,23.27%, 37.04%, 60.30%, 2.66%
27033,6.59%, 52.30%, 45.71%, 1.99%
27035,7.70%, 52.80%, 45.10%, 2.10%
27037,5.51%, 46.29%, 51.79%, 1.92%
27039,9.84%, 53.54%, 43.70%, 2.76%
27041,9.49%, 53.74%, 44.25%, 2.01%
27043,5.64%, 51.47%, 45.83%, 2.70%
27045,8.26%, 44.45%, 52.71%, 2.85%
27047,17.13%, 40.25%, 57.38%, 2.37%
27049,1.38%, 49.53%, 48.15%, 2.33%
27051,5.66%, 45.66%, 51.32%, 3.02%
27053,28.61%, 34.81%, 63.42%, 1.77%
27055,10.69%, 43.58%, 54.27%, 2.15%
27057,14.49%, 56.35%, 41.86%, 1.79%
27059,15.34%, 56.47%, 41.13%, 2.40%
27061,12.92%, 42.26%, 55.18%, 2.57%
27063,4.27%, 50.83%, 46.56%, 2.61%
27065,8.66%, 52.70%, 44.04%, 3.26%
27067,5.45%, 51.70%, 46.24%, 2.06%
27069,18.54%, 39.56%, 58.10%, 2.34%
27071,10.10%, 43.55%, 53.65%, 2.81%
27073,5.92%, 45.61%, 51.53%, 2.86%
27075,22.07%, 37.82%, 59.89%, 2.28%
27077,13.27%, 55.25%, 41.98%, 2.77%
27079,4.28%, 50.88%, 46.60%, 2.53%
27081,0.83%, 47.70%, 48.53%, 3.77%
27083,1.61%, 49.69%, 48.08%, 2.23%
27085,18.33%, 57.77%, 39.44%, 2.79%
27087,25.31%, 35.98%, 61.29%, 2.73%
27089,0.55%, 48.22%, 48.77%, 3.02%
27091,15.25%, 56.29%, 41.04%, 2.68%
27093,10.82%, 53.70%, 42.89%, 3.41%
27095,7.21%, 52.05%, 44.83%, 3.12%
27097,19.04%, 58.14%, 39.10%, 2.75%
27099,23.61%, 36.87%, 60.48%, 2.64%
27101,0.52%, 48.20%, 48.72%, 3.08%
27103,10.52%, 43.67%, 54.19%, 2.14%
27105,1.41%, 49.56%, 48.16%, 2.28%
27107,26.94%, 35.06%, 62.00%, 2.94%
27109,3.28%, 47.34%, 50.62%, 2.04%
27111,12.91%, 55.30%, 42.39%, 2.31%
27113,2.14%, 47.61%, 49.75%, 2.64%
27115,1.54%, 47.71%, 49.25%, 3.04%
27117,13.10%, 55.24%, 42.14%, 2.62%
27119,4.58%, 46.62%, 51.19%, 2.19%
27121,3.79%, 46.96%, 50.75%, 2.29%
27123,33.90%, 32.06%, 65.96%, 1.97%
27125,6.25%, 44.87%, 51.12%, 1.87%
27127,13.55%, 55.19%, 41.63%, 3.18%
27129,0.64%, 48.63%, 47.99%, 0.97%
27131,11.50%, 43.16%, 54.66%, 2.19%
27133,13.99%, 55.78%, 41.79%, 2.43%
27135,17.42%, 57.64%, 40.22%, 2.14%
27137,32.50%, 32.61%, 65.10%, 2.29%
27139,11.20%, 54.70%, 43.51%, 1.79%
27141,18.19%, 58.10%, 39.91%, 1.98%
27143,19.33%, 58.12%, 38.79%, 0.92%
27145,6.99%, 52.31%, 45.32%, 2.38%
27147,5.35%, 51.22%, 45.87%, 2.91%
27149,1.26%, 48.10%, 49.36%, 2.54%
27151,13.79%, 41.65%, 55.43%, 2.92%
27153,11.10%, 54.15%, 43.05%, 2.80%
27155,5.41%, 45.85%, 51.25%, 2.90%
27157,2.43%, 49.90%, 47.47%, 2.62%
27159,17.38%, 57.58%, 40.20%, 2.22%
27161,8.19%, 52.70%, 44.51%, 2.79%
27163,4.34%, 46.94%, 51.27%, 1.79%
27165,0.68%, 48.04%, 48.73%, 3.23%
27167,6.91%, 52.31%, 45.40%, 2.28%
27169,19.09%, 39.29%, 58.38%, 2.33%
27171,17.44%, 57.61%, 40.17%, 2.22%
27173,4.26%, 46.31%, 50.57%, 3.12%
28001,15.64%, 41.83%, 57.47%, 0.69%
28003,43.97%, 71.17%, 27.20%, 1.63%
28005,11.73%, 55.49%, 43.76%, 0.75%
28007,15.51%, 57.42%, 41.91%, 0.66%
28009,2.20%, 50.22%, 48.02%, 1.77%
28011,35.39%, 31.80%, 67.19%, 1.01%
28013,27.65%, 63.51%, 35.85%, 0.64%
28015,31.27%, 65.41%, 34.15%, 0.44%
28017,2.13%, 48.52%, 50.65%, 0.83%
28019,28.22%, 63.57%, 35.34%, 1.09%
28021,72.14%, 13.72%, 85.86%, 0.42%
28023,25.10%, 62.27%, 37.17%, 0.56%
28025,18.86%, 40.26%, 59.12%, 0.61%
28027,44.28%, 27.60%, 71.89%, 0.51%
28029,6.96%, 46.21%, 53.17%, 0.63%
28031,17.66%, 58.38%, 40.71%, 0.91%
28033,38.24%, 68.75%, 30.51%, 0.74%
28035,13.52%, 56.27%, 42.75%, 0.98%
28037,25.10%, 62.09%, 36.99%, 0.92%
28039,66.07%, 82.49%, 16.41%, 1.10%
28041,51.74%, 75.33%, 23.60%, 1.07%
28043,10.64%, 55.07%, 44.42%, 0.51%
28045,54.24%, 76.34%, 22.09%, 1.57%
28047,25.96%, 62.55%, 36.59%, 0.85%
28049,38.98%, 30.26%, 69.24%, 0.51%
28051,63.41%, 17.96%, 81.37%, 0.67%
28053,42.37%, 28.52%, 70.89%, 0.59%
28055,22.63%, 38.32%, 60.95%, 0.74%
28057,56.06%, 77.01%, 20.94%, 2.05%
28059,33.54%, 66.29%, 32.75%, 0.96%
28061,9.66%, 44.90%, 54.56%, 0.54%
28063,74.41%, 12.30%, 86.71%, 0.98%
28065,21.48%, 38.96%, 60.43%, 0.61%
28067,38.64%, 68.86%, 30.22%, 0.92%
28069,25.29%, 37.05%, 62.34%, 0.61%
28071,12.36%, 55.68%, 43.32%, 1.00%
28073,55.78%, 77.36%, 21.58%, 1.06%
28075,18.87%, 59.14%, 40.26%, 0.60%
28077,25.42%, 62.33%, 36.91%, 0.76%
28079,10.65%, 55.01%, 44.35%, 0.64%
28081,30.53%, 64.91%, 34.39%, 0.70%
28083,36.76%, 31.38%, 68.14%, 0.47%
28085,32.17%, 65.73%, 33.56%, 0.71%
28087,2.86%, 50.95%, 48.09%, 0.95%
28089,15.60%, 57.55%, 41.95%, 0.50%
28091,31.45%, 65.43%, 33.99%, 0.58%
28093,18.22%, 40.56%, 58.78%, 0.67%
28095,17.23%, 58.21%, 40.98%, 0.82%
28097,8.09%, 53.76%, 45.68%, 0.56%
28099,44.69%, 72.00%, 27.31%, 0.69%
28101,34.10%, 66.76%, 32.65%, 0.59%
28103,53.19%, 23.14%, 76.34%, 0.52%
28105,0.03%, 49.60%, 49.63%, 0.78%
28107,6.52%, 46.42%, 52.94%, 0.65%
28109,60.42%, 79.67%, 19.25%, 1.08%
28111,44.74%, 71.80%, 27.07%, 1.13%
28113,3.46%, 47.91%, 51.38%, 0.71%
28115,52.42%, 75.59%, 23.17%, 1.24%
28117,42.79%, 70.39%, 27.60%, 2.02%
28119,35.24%, 32.01%, 67.25%, 0.74%
28121,53.45%, 76.20%, 22.75%, 1.05%
28123,13.36%, 56.41%, 43.06%, 0.53%
28125,36.99%, 31.23%, 68.23%, 0.54%
28127,22.39%, 60.59%, 38.20%, 1.21%
28129,51.74%, 75.44%, 23.70%, 0.87%
28131,43.51%, 71.06%, 27.55%, 1.39%
28133,41.03%, 28.99%, 70.03%, 0.98%
28135,19.00%, 40.13%, 59.12%, 0.75%
28137,20.93%, 60.09%, 39.15%, 0.76%
28139,44.36%, 71.33%, 26.97%, 1.70%
28141,50.92%, 74.22%, 23.30%, 2.47%
28143,52.22%, 23.48%, 75.69%, 0.83%
28145,49.91%, 74.39%, 24.48%, 1.13%
28147,10.24%, 54.67%, 44.42%, 0.91%
28149,3.05%, 51.24%, 48.19%, 0.57%
28151,34.73%, 32.41%, 67.14%, 0.45%
28153,21.75%, 60.57%, 38.81%, 0.62%
28155,49.90%, 74.62%, 24.72%, 0.66%
28157,38.41%, 30.36%, 68.77%, 0.88%
28159,8.26%, 53.78%, 45.52%, 0.69%
28161,6.99%, 53.15%, 46.16%, 0.69%
28163,7.20%, 46.09%, 53.29%, 0.62%
29001,1.31%, 49.63%, 48.31%, 2.06%
29003,22.00%, 60.06%, 38.05%, 1.89%
29005,31.45%, 65.05%, 33.60%, 1.34%
29007,16.07%, 57.20%, 41.13%, 1.67%
29009,35.02%, 66.63%, 31.62%, 1.75%
29011,49.75%, 74.21%, 24.46%, 1.33%
29013,18.86%, 58.35%, 39.49%, 2.16%
29015,22.16%, 59.92%, 37.76%, 2.32%
29017,39.45%, 68.67%, 29.22%, 2.11%
29019,11.98%, 43.22%, 55.20%, 1.57%
29021,0.14%, 48.68%, 48.81%, 2.51%
29023,37.43%, 68.09%, 30.66%, 1.25%
29025,18.40%, 58.15%, 39.75%, 2.10%
29027,19.67%, 58.81%, 39.14%, 2.05%
29029,28.39%, 63.40%, 35.02%, 1.58%
29031,33.54%, 66.14%, 32.60%, 1.26%
29033,31.29%, 65.12%, 33.83%, 1.06%
29035,29.54%, 63.49%, 33.95%, 2.55%
29037,19.57%, 58.99%, 39.42%, 1.59%
29039,33.59%, 66.01%, 32.42%, 1.57%
29041,12.81%, 55.51%, 42.69%, 1.80%
29043,35.68%, 67.08%, 31.41%, 1.51%
29045,6.08%, 51.56%, 45.49%, 2.95%
29047,0.69%, 49.55%, 48.86%, 1.59%
29049,11.13%, 54.61%, 43.48%, 1.91%
29051,26.85%, 62.79%, 35.95%, 1.26%
29053,23.75%, 61.08%, 37.33%, 1.59%
29055,20.78%, 59.56%, 38.78%, 1.66%
29057,40.86%, 69.65%, 28.79%, 1.56%
29059,29.14%, 63.71%, 34.57%, 1.72%
29061,22.79%, 59.77%, 36.98%, 3.25%
29063,25.39%, 61.29%, 35.89%, 2.82%
29065,37.84%, 67.78%, 29.94%, 2.29%
29067,33.75%, 65.63%, 31.88%, 2.49%
29069,21.29%, 59.88%, 38.59%, 1.53%
29071,12.33%, 55.31%, 42.98%, 1.71%
29073,23.99%, 61.29%, 37.31%, 1.40%
29075,22.14%, 59.66%, 37.52%, 2.83%
29077,15.79%, 57.06%, 41.26%, 1.68%
29079,30.08%, 63.42%, 33.33%, 3.25%
29081,31.29%, 64.16%, 32.87%, 2.96%
29083,10.99%, 54.62%, 43.63%, 1.75%
29085,13.27%, 55.72%, 42.44%, 1.84%
29087,37.68%, 68.14%, 30.46%, 1.41%
29089,13.84%, 55.78%, 41.94%, 2.29%
29091,30.81%, 64.49%, 33.68%, 1.83%
29093,2.79%, 47.35%, 50.14%, 2.51%
29095,25.39%, 36.75%, 62.14%, 1.11%
29097,33.05%, 65.67%, 32.62%, 1.70%
29099,2.51%, 47.91%, 50.42%, 1.68%
29101,12.24%, 55.18%, 42.93%, 1.89%
29103,22.33%, 59.73%, 37.41%, 2.86%
29105,34.54%, 66.40%, 31.86%, 1.75%
29107,15.30%, 56.88%, 41.58%, 1.54%
29109,36.96%, 67.50%, 30.55%, 1.95%
29111,16.81%, 57.62%, 40.80%, 1.58%
29113,11.39%, 54.72%, 43.33%, 1.95%
29115,8.46%, 52.94%, 44.48%, 2.58%
29117,23.78%, 60.94%, 37.16%, 1.89%
29119,37.43%, 67.60%, 30.17%, 2.24%
29121,24.11%, 61.36%, 37.25%, 1.39%
29123,17.00%, 57.62%, 40.61%, 1.77%
29125,27.51%, 62.58%, 35.07%, 2.35%
29127,23.91%, 61.38%, 37.47%, 1.16%
29129,37.19%, 66.88%, 29.69%, 3.43%
29131,36.70%, 67.43%, 30.73%, 1.84%
29133,14.69%, 56.65%, 41.95%, 1.40%
29135,35.75%, 67.02%, 31.27%, 1.71%
29137,19.24%, 58.72%, 39.48%, 1.81%
29139,18.46%, 58.54%, 40.08%, 1.38%
29141,20.61%, 59.58%, 38.97%, 1.45%
29143,15.11%, 56.76%, 41.65%, 1.59%
29145,40.10%, 69.42%, 29.32%, 1.26%
29147,10.52%, 54.49%, 43.97%, 1.55%
29149,18.32%, 57.77%, 39.45%, 2.79%
29151,44.57%, 71.51%, 26.94%, 1.55%
29153,26.82%, 62.27%, 35.45%, 2.28%
29155,13.13%, 56.11%, 42.98%, 0.91%
29157,29.17%, 63.92%, 34.75%, 1.33%
29159,22.37%, 60.32%, 37.95%, 1.72%
29161,22.09%, 59.96%, 37.87%, 2.17%
29163,9.88%, 53.97%, 44.09%, 1.93%
29165,6.43%, 52.44%, 46.01%, 1.55%
29167,32.15%, 65.39%, 33.24%, 1.37%
29169,28.69%, 63.68%, 34.99%, 1.33%
29171,38.31%, 68.02%, 29.71%, 2.27%
29173,18.61%, 58.75%, 40.15%, 1.10%
29175,23.21%, 60.59%, 37.39%, 2.02%
29177,3.18%, 50.60%, 47.42%, 1.98%
29179,11.07%, 54.21%, 43.14%, 2.65%
29181,30.06%, 63.53%, 33.47%, 3.00%
29183,9.72%, 54.27%, 44.55%, 1.18%
29185,21.95%, 59.76%, 37.81%, 2.43%
29186,14.13%, 42.29%, 56.42%, 1.29%
29187,4.56%, 51.57%, 47.01%, 1.43%
29189,19.90%, 39.60%, 59.50%, 0.90%
29195,2.54%, 50.39%, 47.85%, 1.77%
29197,18.36%, 57.44%, 39.08%, 3.48%
29199,21.73%, 59.53%, 37.80%, 2.67%
29201,29.34%, 63.95%, 34.61%, 1.44%
29203,11.41%, 54.06%, 42.65%, 3.28%
29205,31.72%, 65.32%, 33.59%, 1.09%
29207,39.76%, 69.16%, 29.40%, 1.44%
29209,37.20%, 67.78%, 30.58%, 1.64%
29211,15.13%, 56.01%, 40.89%, 3.10%
29213,37.04%, 67.78%, 30.74%, 1.48%
29215,35.07%, 66.49%, 31.43%, 2.08%
29217,22.00%, 60.08%, 38.08%, 1.84%
29219,12.65%, 55.69%, 43.05%, 1.26%
29221,0.05%, 48.95%, 49.00%, 2.05%
29223,25.04%, 61.49%, 36.45%, 2.06%
29225,29.02%, 63.77%, 34.76%, 1.47%
29227,23.85%, 60.22%, 36.37%, 3.41%
29229,37.90%, 67.94%, 30.03%, 2.03%
29510,68.05%, 15.50%, 83.55%, 0.95%
30001,29.20%, 63.15%, 33.95%, 2.90%
30003,36.18%, 31.19%, 67.37%, 1.44%
30005,19.24%, 38.93%, 58.17%, 2.90%
30007,36.27%, 66.80%, 30.53%, 2.67%
30009,11.57%, 54.05%, 42.49%, 1.20%
30011,63.99%, 79.36%, 15.37%, 1.80%
30013,2.28%, 47.62%, 49.90%, 2.47%
30015,17.90%, 57.11%, 39.22%, 3.67%
30017,14.31%, 55.89%, 41.58%, 2.53%
30019,32.71%, 64.68%, 31.97%, 3.36%
30021,23.54%, 59.38%, 35.85%, 1.94%
30023,37.45%, 29.60%, 67.05%, 3.35%
30025,52.06%, 74.25%, 22.19%, 1.19%
30027,34.90%, 65.92%, 31.02%, 1.01%
30029,21.54%, 58.43%, 36.89%, 0.83%
30031,3.37%, 46.77%, 50.14%, 1.06%
30033,67.13%, 82.26%, 15.13%, 2.61%
30035,39.67%, 29.19%, 68.86%, 1.95%
30037,44.51%, 69.72%, 25.20%, 1.22%
30039,23.98%, 58.96%, 34.98%, 1.46%
30041,12.21%, 42.07%, 54.28%, 1.65%
30043,15.08%, 55.80%, 40.72%, 0.93%
30045,32.69%, 64.81%, 32.12%, 3.07%
30047,1.92%, 46.56%, 48.48%, 1.12%
30049,6.50%, 45.31%, 51.82%, 2.87%
30051,22.68%, 59.34%, 36.66%, 1.20%
