statecounty,Margin,McCain,Obama,Other
08117,33.02%, 32.77%, 65.79%, 1.44%
08119,28.15%, 63.12%, 34.97%, 1.91%
08121,56.51%, 77.56%, 21.05%, 1.39%
08123,8.72%, 53.39%, 44.67%, 1.93%
08125,48.38%, 73.30%, 24.92%, 1.78%
09001,18.18%, 40.54%, 58.72%, 0.74%
09003,31.43%, 33.67%, 65.11%, 1.22%
09005,4.92%, 46.66%, 51.57%, 1.77%
09007,23.00%, 37.73%, 60.72%, 1.55%
09009,23.23%, 37.78%, 61.01%, 1.21%
09011,21.05%, 38.83%, 59.88%, 1.29%
09013,20.91%, 38.76%, 59.67%, 1.57%
09015,14.68%, 41.72%, 56.39%, 1.89%
10001,9.81%, 44.57%, 54.38%, 1.05%
10003,40.59%, 29.07%, 69.66%, 1.26%
10005,8.58%, 53.82%, 45.24%, 0.93%
11001,85.92%, 6.53%, 92.46%, 1.01%
12001,21.48%, 38.51%, 59.99%, 1.50%
12003,57.23%, 78.22%, 20.99%, 0.79%
12005,40.59%, 69.66%, 29.07%, 1.27%
12007,40.21%, 69.52%, 29.31%, 1.17%
12009,10.37%, 54.54%, 44.17%, 1.29%
12011,34.68%, 32.34%, 67.02%, 0.64%
12013,40.29%, 69.36%, 29.07%, 1.56%
12015,7.22%, 52.87%, 45.65%, 1.48%
12017,16.01%, 57.13%, 41.12%, 1.76%
12019,42.76%, 70.95%, 28.18%, 0.87%
12021,22.49%, 60.84%, 38.35%, 0.82%
12023,33.67%, 66.17%, 32.50%, 1.33%
12027,12.29%, 55.41%, 43.12%, 1.47%
12029,44.82%, 71.22%, 26.40%, 2.39%
12031,1.90%, 50.53%, 48.63%, 0.85%
12033,19.27%, 59.02%, 39.76%, 1.22%
12035,1.57%, 48.66%, 50.24%, 1.10%
12037,27.84%, 63.12%, 35.28%, 1.60%
12039,38.92%, 30.22%, 69.14%, 0.64%
12041,46.81%, 72.34%, 25.53%, 2.14%
12043,20.16%, 59.45%, 39.29%, 1.27%
12045,39.22%, 68.99%, 29.77%, 1.23%
12047,14.56%, 56.81%, 42.24%, 0.95%
12049,29.49%, 64.00%, 34.51%, 1.49%
12051,7.16%, 52.94%, 45.78%, 1.27%
12053,3.55%, 51.01%, 47.46%, 1.53%
12055,18.00%, 58.37%, 40.37%, 1.26%
12057,7.12%, 45.94%, 53.05%, 1.01%
12059,64.84%, 81.63%, 16.78%, 1.59%
12061,14.78%, 56.74%, 41.96%, 1.29%
12063,27.97%, 63.47%, 35.49%, 1.04%
12065,3.65%, 47.59%, 51.24%, 1.17%
12067,60.32%, 79.33%, 19.01%, 1.66%
12069,13.47%, 56.19%, 42.71%, 1.10%
12071,10.34%, 54.67%, 44.34%, 0.99%
12073,24.20%, 37.40%, 61.60%, 1.00%
12075,26.84%, 62.56%, 35.72%, 1.72%
12077,43.94%, 71.18%, 27.24%, 1.58%
12079,3.08%, 51.02%, 47.94%, 1.04%
12081,7.01%, 52.94%, 45.93%, 1.12%
12083,11.56%, 55.14%, 43.58%, 1.28%
12085,13.54%, 56.22%, 42.67%, 1.11%
12086,16.11%, 41.70%, 57.81%, 0.49%
12087,4.89%, 46.86%, 51.75%, 1.39%
12089,43.72%, 71.38%, 27.66%, 0.97%
12091,44.81%, 71.82%, 27.01%, 1.17%
12093,19.11%, 58.89%, 39.79%, 1.32%
12095,18.61%, 40.35%, 58.96%, 0.69%
12097,19.69%, 39.72%, 59.41%, 0.87%
12099,22.87%, 38.22%, 61.08%, 0.70%
12101,3.57%, 51.07%, 47.51%, 1.42%
12103,8.22%, 45.16%, 53.38%, 1.46%
12105,6.11%, 52.45%, 46.34%, 1.21%
12107,19.23%, 59.01%, 39.77%, 1.22%
12109,31.51%, 65.25%, 33.74%, 1.01%
12111,12.08%, 43.41%, 55.49%, 1.11%
12113,47.79%, 73.28%, 25.49%, 1.22%
12115,0.10%, 49.47%, 49.37%, 1.16%
12117,2.78%, 50.90%, 48.12%, 0.98%
12119,26.97%, 63.01%, 36.04%, 0.94%
12121,43.01%, 70.77%, 27.76%, 1.47%
12123,38.93%, 68.79%, 29.86%, 1.35%
12125,49.72%, 74.20%, 24.48%, 1.32%
12127,5.66%, 46.53%, 52.19%, 1.28%
12129,24.81%, 61.75%, 36.94%, 1.31%
12131,45.64%, 72.08%, 26.43%, 1.49%
12133,47.60%, 73.23%, 25.64%, 1.13%
13001,46.26%, 72.62%, 26.36%, 1.01%
13003,34.50%, 66.77%, 32.27%, 0.96%
13005,57.64%, 78.36%, 20.73%, 0.91%
13007,1.07%, 49.02%, 50.09%, 0.89%
13009,4.61%, 47.23%, 51.84%, 0.93%
13011,65.50%, 81.93%, 16.43%, 1.63%
13013,44.53%, 71.55%, 27.02%, 1.42%
13015,45.10%, 71.81%, 26.71%, 1.48%
13017,13.66%, 56.46%, 42.80%, 0.74%
13019,53.15%, 75.95%, 22.80%, 1.26%
13021,17.98%, 40.69%, 58.67%, 0.64%
13023,44.79%, 71.93%, 27.14%, 0.92%
13025,62.99%, 80.79%, 17.80%, 1.42%
