id,margin,wh
12071,16.509999999999998,69.2
12073,-23.590000000000003,57.5
12075,32.160000000000004,80.0
12077,41.31999999999999,71.4
12079,3.4200000000000017,54.5
12081,12.43,72.1
12083,16.21,72.2
12085,22.869999999999997,79.3
12086,-23.71,14.8
12087,-0.44000000000000483,68.6
12089,48.44,87.2
12091,49.17,74.7
12093,19.979999999999997,63.6
12095,-18.200000000000003,43.3
12097,-24.459999999999994,36.1
12099,-17.009999999999998,57.3
12101,6.619999999999997,77.4
12103,-5.6299999999999955,75.4
12105,6.799999999999997,62.1
12107,24.369999999999997,71.7
12109,37.66,84.0
12111,-7.840000000000003,59.5
12113,52.45,82.8
12115,7.399999999999999,83.7
12117,6.450000000000003,63.6
12119,34.879999999999995,84.6
12121,44.779999999999994,75.3
12123,38.13000000000001,72.3
12125,48.83,70.3
12127,1.1599999999999966,73.8
12129,28.0,78.2
12131,51.849999999999994,84.2
12133,47.25000000000001,77.2
13000,,54.3
13001,49.0,69.8
13003,34.68000000000001,56.9
13005,58.48,74.1
13007,-0.5699999999999932,47.9
13009,-5.5,53.3
13011,73.72999999999999,88.1
13013,50.24999999999999,73.4
13015,51.480000000000004,78.7
13017,14.800000000000004,56.5
13019,57.36,82.4
13021,-20.0,40.3
13023,47.12,68.9
13025,66.86,92.5
13027,6.159999999999997,57.6
13029,43.42999999999999,74.0
13031,18.979999999999997,64.2
13033,-11.269999999999996,47.0
13035,35.52,67.6
13037,-18.959999999999994,32.9
13039,27.510000000000005,70.0
13043,33.60999999999999,62.8
13045,37.41,71.8
13047,52.510000000000005,91.4
13049,35.330000000000005,62.1
13051,-11.979999999999997,49.8
13053,0.3999999999999986,60.0
13055,40.92,82.8
13057,57.57000000000001,80.1
13059,-28.67,56.0
13061,-23.159999999999997,37.6
13063,-69.95,13.5
13065,30.14999999999999,65.7
13067,12.420000000000002,53.9
13069,28.950000000000003,59.4
13071,39.480000000000004,57.1
13073,42.85,70.5
13075,31.340000000000003,64.4
13077,43.95,71.9
13079,32.31,73.7
13081,13.71,51.3
13083,50.61,93.9
13085,74.1,93.0
13087,11.75,51.6
13089,-56.64999999999999,29.9
13091,35.75,65.6
13093,-6.969999999999999,42.2
13095,-39.089999999999996,27.3
13097,-3.979999999999997,44.9
13099,-3.8900000000000006,46.5
13101,67.33,63.6
13103,51.07000000000001,79.6
13105,20.58,63.7
13107,26.869999999999997,59.8
13109,28.049999999999997,56.2
13111,57.94,95.2
13113,31.22,65.0
13115,39.760000000000005,72.3
13117,62.68,76.4
13119,59.35000000000001,83.8
13121,-29.709999999999994,40.5
13123,63.050000000000004,86.8
13125,71.78999999999999,86.5
13127,26.950000000000003,64.1
13129,57.599999999999994,78.2
13131,26.61,58.7
13133,22.46,56.0
13135,9.199999999999996,40.6
13137,67.22,78.7
13139,56.06,61.9
13141,-62.08,24.3
13143,63.97,91.1
13145,45.43,77.2
13147,38.269999999999996,75.4
13149,52.94,84.4
13151,3.289999999999999,48.6
13153,20.559999999999995,58.3
13155,37.620000000000005,68.4
13157,62.74,82.7
13159,37.910000000000004,72.5
13161,50.97,72.0
13163,-17.28,41.9
13165,11.759999999999998,51.2
13167,30.060000000000002,61.8
13169,28.629999999999995,71.9
13171,30.18,64.1
13173,23.700000000000003,68.0
13175,22.590000000000003,59.3
13177,52.16,72.9
13179,-30.209999999999994,42.2
13181,27.560000000000002,65.6
13183,22.650000000000006,59.1
13185,9.840000000000003,54.9
13187,60.21000000000001,90.5
13189,14.899999999999999,54.7
13191,8.579999999999998,61.4
13193,-34.81,34.0
13195,53.440000000000005,83.6
13197,10.089999999999996,59.3
13199,5.659999999999997,56.5
13201,37.88,68.2
13205,0.8999999999999986,46.3
13207,37.22,72.0
13209,39.809999999999995,66.5
13211,37.97,71.7
13213,52.42999999999999,83.3
13215,-21.300000000000004,42.4
13217,-2.0,50.0
13219,48.58,84.9
13221,37.19,76.1
13223,43.480000000000004,73.8
13225,-7.460000000000001,45.3
13227,67.48,93.1
13229,66.27000000000001,83.5
13231,65.27000000000001,86.0
13233,45.400000000000006,72.1
13235,33.239999999999995,62.7
13237,35.64,65.0
13239,-9.049999999999997,50.4
13241,56.2,87.7
13243,-16.300000000000004,36.3
13245,-33.75,36.4
13247,-16.53,36.4
13249,47.830000000000005,73.0
13251,8.399999999999999,55.1
13253,20.309999999999995,62.3
13255,19.940000000000005,60.0
13257,53.38999999999999,82.7
13259,-27.839999999999996,27.6
13261,-8.410000000000004,40.0
13263,-30.430000000000007,40.1
13265,-32.50000000000001,37.5
13267,42.07000000000001,58.8
13269,10.620000000000005,58.4
13271,15.560000000000002,49.4
13273,-16.11,35.6
13275,18.440000000000005,57.8
13277,32.459999999999994,56.6
13279,40.37,61.1
13281,57.7,94.7
13283,21.009999999999998,63.7
13285,17.79,57.8
13287,14.520000000000003,55.0
13289,-8.629999999999995,55.7
13291,59.72,94.0
13293,28.999999999999993,67.7
13295,49.879999999999995,91.3
13297,55.44,76.5
13299,33.809999999999995,64.3
13301,-21.33,37.6
13303,-7.700000000000003,43.9
13305,48.22,71.0
13307,1.6000000000000014,52.8
13309,27.430000000000007,55.8
13311,66.33,92.3
13313,44.84,60.1
13315,31.709999999999994,58.7
13317,11.5,51.7
13319,1.4499999999999957,56.8
13321,40.08999999999999,67.6
15000,,23.0
15001,-51.17,30.6
15003,-39.05,19.6
15005,0.0,27.0
15007,-49.34,30.1
15009,-50.24999999999999,31.3
16000,,82.8
16001,11.200000000000003,85.5
16003,40.56,93.6
16005,21.939999999999998,85.0
16007,77.5,93.7
16009,36.85999999999999,84.5
16011,54.41,74.4
16013,-20.14,76.9
16015,35.72,92.3
16017,25.880000000000003,93.4
16019,51.77000000000001,83.8
16021,42.1,91.0
16023,57.78,90.6
16025,42.03999999999999,87.3
16027,36.709999999999994,71.3
16029,72.8,92.2
16031,71.82000000000001,71.0
16033,51.53,54.0
16035,40.83,91.3
16037,51.55,93.2
16039,33.910000000000004,74.1
16041,86.97,91.1
16043,70.60999999999999,85.2
16045,44.78,87.6
16047,47.07,68.6
16049,53.73,91.5
16051,75.49,87.2
16053,46.23,63.4
16055,33.93000000000001,91.1
16057,-4.189999999999998,89.8
16059,50.34,93.3
16061,48.11,86.8
16063,40.41,66.8
16065,87.52000000000001,89.4
16067,58.11000000000001,63.6
16069,20.689999999999998,87.4
16071,77.59,93.7
16073,52.66,68.2
16075,43.95,79.2
16077,30.57,64.3
16079,8.200000000000003,92.1
16081,11.760000000000005,80.4
16083,43.120000000000005,80.8
16085,11.569999999999993,92.9
16087,46.730000000000004,79.2
17000,,62.3
17001,35.080000000000005,92.4
17003,-13.660000000000004,58.8
17005,14.579999999999998,87.8
17007,5.659999999999997,74.4
17009,30.71,74.0
17011,0.17999999999999972,88.7
17013,13.969999999999999,97.7
17015,-1.490000000000002,93.6
17017,13.399999999999999,76.5
17019,-7.019999999999996,69.1
17021,23.019999999999996,95.1
17023,32.370000000000005,96.8
17025,44.11,96.3
17027,29.909999999999997,91.6
17029,11.049999999999997,91.1
17031,-49.28999999999999,43.0
17033,31.58,91.3
