id,1988,1992,1996,2000,2004,2008,2012
6011,-20.4,-14,-17.7,-33.7,-35.6,-18.1,-21.3
6013,3.2,21.4,20.5,21.7,25.8,37.6,35.1
6015,-1.7,5.9,-0.2,-17,-15.6,-6.7,-9.4
6017,-20.2,-7.5,-15.5,-22,-23.9,-10.5,-17.8
6019,-1.1,1.5,-2.1,-10.1,-15.7,2.1,1.8
6021,-25.8,-13,-24.9,-37.8,-35,-22,-25.3
6023,15.9,17.6,8.7,2.9,18.7,28.1,27.1
6025,-11.4,5.4,18.5,10.2,6,26.1,32.1
6027,-30.4,-11.8,-17.4,-26.4,-20.2,-9.1,-11.4
6029,-24.1,-11.3,-17.2,-24.5,-34,-17.7,-16.7
6031,-13.8,-2.7,-4.3,-18.8,-31.7,-14.1,-14.9
6033,2.4,16.6,13.9,9.6,8.3,19.2,17
6035,-19.4,-4.3,-19,-38.7,-43.4,-34.1,-39.5
6037,5,23.5,28.3,31.1,27.5,40.4,41.9
6039,-10.8,-7.3,-17.1,-25.8,-29.3,-13.2,-17.1
6041,19.1,35,29.8,36,47.8,57.6,51.2
6043,-11.1,0.5,-13.3,-23.6,-22.7,-12.3,-18.2
6045,13.5,28.4,15.8,12.6,29.8,42.6,38.5
6047,-3.8,4.4,2,-6.7,-14.2,8.3,8.7
6049,-27.4,-6.8,-21.3,-49.3,-46.7,-37.7,-41.5
6051,-25.2,-1.9,-7.4,-11.6,0.1,13.2,8.7
6053,-1,15.8,16.5,20.3,22,38.3,36.8
6055,-2.1,16,14.8,14.4,20.5,32.4,28.7
6057,-17.3,-4.3,-14.8,-17.6,-8.5,5.3,-0.7
6059,-36.6,-12.3,-13.8,-15.4,-20.7,-2.6,-6.3
6061,-20.6,-8.2,-15.7,-23.3,-26.3,-11.3,-19.3
6063,-3.9,1.4,-14,-27.8,-24.8,-11.9,-16.9
6065,-19.9,1.5,-2.6,-6.5,-16.8,2.3,1.6
6067,-3.3,8.2,9,4,0.2,19,19
6069,-9.9,9.7,11.9,12.6,6.1,22.7,20.6
6071,-21.5,1.5,0.8,-1.5,-11.8,6.3,7.3
6073,-21.9,1.5,-1.5,-3.9,-6.2,10.2,7.5
6075,46.7,54.6,56.5,59.4,67.8,70.4,70.4
6077,-9.8,3.5,1.4,-1.2,-7.4,10.6,13.7
6079,-13.1,3.6,-6.3,-11.3,-7.2,5.3,1
6081,12.8,26.8,31.4,33.3,40.3,48.8,46.6
6083,-9.7,7.2,4.5,1.3,8,22.8,18
6085,4.3,20.8,24.7,26.3,29.3,40.8,42.9
6087,24.7,36.2,29.6,34.2,48.1,57.5,55.4
6089,-20.6,-9.6,-22.1,-34.8,-35.9,-25.8,-29.1
6091,-4.1,-2.1,-17.8,-34.3,-30.9,-20.9,-22.4
6093,-3.9,7.7,-8.9,-29.6,-22.9,-10.3,-15.2
6095,3.8,19.3,20.4,17.8,15.3,28.5,29.2
6097,14.6,28.7,26.1,27.3,36.3,49.6,45.7
6099,-7.2,4,1.1,-8.4,-18.2,1.7,2.8
6101,-36.1,-19.6,-23.2,-33.6,-35.3,-16.7,-19.1
6103,-15.1,0.4,-14.6,-32.4,-34.4,-24,-27.5
6105,-12.5,1.3,-5.5,-24.3,-12,4.6,-0.7
6107,-20.6,-10.5,-15.8,-23.5,-33.3,-15.3,-15
6109,-9.8,2.8,-6.6,-16.1,-21.5,-12.7,-15.7
6111,-24.4,1.5,0.6,-1.1,-3.7,12.2,7.1
6113,15.1,25.2,24.5,17.4,20.5,36.3,33.9
6115,-24,-9.2,-14.1,-26.6,-35.4,-14.7,-18.1
8001,6.7,14.1,12.4,6.1,2.4,18.3,16.8
8003,-8.8,7.8,5.9,-7.1,-2.6,14.1,16.5
8005,-21.8,-3.1,-8.9,-8,-3.9,12.9,9.9
8007,-28.6,-15,-28.1,-32.7,-25,-12.1,-17.7
8009,-32,-19.6,-29.8,-49.7,-54.8,-47.7,-51.8
8011,2.6,10,5.9,-15.9,-25.7,-14.5,-13.4
8013,8.5,24.4,17.7,13.7,33.9,46.2,41.9
8014,-4.6,,,,,11.6,5.9
8015,-9.3,-2.1,-4.3,-20.1,-12.7,-0.1,0.1
8017,-30.5,-25.9,-34.9,-61.8,-63.9,-62.3,-65.6
8019,-3.3,8.7,2.8,-1.2,8.4,17.9,12
8021,15.4,15.7,18.1,-0.7,0.8,12.9,9.3
8023,42.1,46.4,50.9,33.4,34.3,48.9,48.6
8025,-15.5,-2.2,-8.8,-23.8,-35.4,-27.2,-25.9
8027,-40.9,-22.4,-32.5,-44.7,-37.8,-28.9,-33.9
8029,-21.1,-8.9,-22.2,-40.3,-38.9,-32.3,-39.5
8031,23.6,30.6,31.8,31,40.3,52.5,49.2
8033,-35.3,-8.6,-17.5,-39.5,-39.4,-36.9,-42.2
8035,-41.5,-21.5,-30.6,-33.6,-33.8,-17.2,-25.8
8037,-13.5,7.1,4,-2.6,6.5,23.1,14.9
8039,-27.9,-19.2,-33,-42.7,-48.9,-40.1,-47
8041,-41.1,-24.1,-26.8,-33.1,-34.6,-18.8,-20.4
8043,-17.9,-4,-14.4,-28.7,-34.5,-29.2,-31.7
8045,-15.6,4.9,-3.9,-17.6,-9.2,0,-5.1
8047,4.8,15,6.6,3.8,14.9,21,16.4
8049,-22.3,-1.7,-5.2,-19.9,-13.4,-1.1,-6.9
8051,-13.8,12.6,9.7,-0.9,15.5,27.3,19.7
8053,-45.2,-7.8,-19,-22.6,-19.8,-17.3,-20.6
8055,26.8,23.3,17.5,0.9,-1.3,11.2,8.3
8057,-32.5,-21.3,-31.6,-55,-53.5,-38,-45.3
8059,-14.8,-0.9,-5.7,-8.1,-5.2,9,4.8
8061,-23.5,-17.6,-34.2,-53.4,-60.5,-55.4,-68.1
8063,-30.3,-23.9,-29,-50.1,-56.9,-44.8,-52.6
8065,21.5,28.1,24.9,9.1,12.2,26,24.4
8067,-17,2.5,-8.9,-10.4,6.7,16.3,9.1
8069,-12.3,2.3,-5.1,-13.8,-5.2,9.7,5.8
8071,30.3,32.1,28.3,11,1.6,7.1,2.6
8073,-21.4,-19,-24.6,-50.9,-56.3,-50.8,-49.7
8075,-13.8,-8.4,-16.8,-39.9,-42,-35.2,-38
8077,-20.9,-6.8,-16.4,-33.2,-35.5,-29.5,-32.4
8079,-10.9,2.7,3,-25.9,-25.2,-10.3,-8.1
8081,-24.8,-8.3,-17.2,-49.1,-50.5,-43.5,-54.5
8083,-30.1,-11.2,-20.4,-38.4,-28.3,-19.5,-23.2
8085,-22.7,-9.6,-22.2,-36.8,-39.8,-29.8,-36.8
8087,-12.3,-8.3,-13.9,-31.5,-37.7,-24,-25
8089,-4.3,4.4,0.4,-15.3,-21.8,-10.5,-9
8091,-29.4,-12.2,-23.1,-25.7,-4.5,8.8,5.1
8093,-16.9,-5.2,-15.6,-19.3,-16,-6.9,-14.7
8095,-17.3,-16.7,-26.5,-45.5,-48.8,-43.8,-46.3
8097,9.8,28.5,28.3,20.1,38.3,48.8,38
8099,-14.5,-11.2,-16.3,-36.8,-43.9,-33.7,-35.2
8101,23.8,25,22.6,11.2,6.3,14.9,14
8103,-38.2,-15.9,-35.6,-57.5,-61.2,-56.6,-64
8105,-25.5,-8.5,-9.5,-27.7,-26.1,-8.8,-7.9
8107,-5.5,10.2,8.2,-2.7,10.1,26.9,15.6
8109,4.4,15.5,13.1,2.7,15.4,28.1,30.7
8111,-4.4,6.5,-5.5,-14,7.7,9.2,10.7
8113,8.9,28.2,27.8,17.1,44.8,55.6,43.2
8115,-20.1,-4.4,-14.5,-37.8,-43.9,-28.8,-34.5
8117,-5.3,13,8.5,7.3,20.2,33,24.6
8119,-38.3,-17,-27.9,-37.9,-38.3,-28.1,-32.4
8121,-27.6,-23.2,-37.6,-57.3,-63,-56.5,-62
8123,-12.4,-3.1,-9.8,-21.7,-26.8,-8.7,-12.6
8125,-15.3,-16.6,-26.1,-47.6,-52.5,-48.4,-54.7
9001,-19.1,-3.7,7.8,9.2,4.1,18.2,10.7
9003,7.1,15.1,25.7,25.5,19.2,31.4,25.9
9005,-13.1,-0.9,7,3,-5.7,4.9,-3.7
9007,-1,12.4,20.5,18.1,14.3,23,15.9
9009,-3.2,5.2,22,22,10.5,23.2,22.4
9011,-3.7,12.9,20.7,17.7,13.6,21.1,18.2
9013,-2.7,10.2,18.1,14.1,11,20.9,12.6
9015,-3,9.6,20.6,16.6,6.4,14.7,13.3
10001,-21,-0.5,6.1,-2.7,-13.8,9.8,4.9
10003,-7.8,12.8,21.1,23,22,40.6,34.1
10005,-24.3,-2.4,1.9,-7.3,-21.8,-8.6,-13
11001,68.3,75.5,75.9,76.2,79.9,86,83.6
12001,-1.3,19.7,19.9,15.4,13.2,21.5,17.3
12003,-43.2,-21.4,-21.3,-39.5,-55.8,-57.2,-58.5
12005,-46,-21.9,-21.9,-33.6,-43.1,-40.6,-43.5
12007,-27.6,-7.5,-8.3,-27,-39.7,-40.2,-42
12009,-41.5,-12,-3.9,-8.2,-16.1,-10.3,-12.7
12011,-0.5,20.9,35.2,36.5,29.6,34.7,34.9
12013,-28.9,-1.2,1.8,-13.8,-27.9,-40.3,-43.7
12015,-28.6,-2.3,-1.2,-8.7,-12.8,-7.2,-14.2
12017,-26.6,-1.1,3.8,-7.5,-14.8,-16,-21.8
12019,-53.7,-34.7,-36.3,-47.3,-52.9,-42.7,-45.7
12021,-50.3,-27.3,-26.7,-33.1,-30.9,-22.5,-30
12023,-30.9,-6.4,-5.5,-21.1,-35,-33.7,-36.6
12027,-17,,-0.7,,,-12.3,-14.3
